schema_id,dataset_id,schema_path,test_id,test_index,expected_validity,framework_id,framework,actual_result,accepted,result_available,schema_file_bytes,schema_json_chars,instance_json_chars,engine_tokenizer_load_us,engine_init_us,schema_load_us,compile_grammar_us,test_json_dumps_us,tokenize_us,reset_matcher_us,validation_loop_us,compute_mask_us,commit_token_us,max_compute_mask_us,max_commit_token_us,num_tokens,tokens_checked,first_rejected_token_index,error_message,outlines_core_version,schema_serialize_us,regex_build_us,regex_built,regex_chars,regex_bytes,regex_hash,regex_expansion_ratio,regex_num_alternations_proxy,regex_num_groups_proxy,regex_num_repetitions_proxy,regex_max_group_depth_proxy,index_build_us,index_built,guide_init_us,guide_built,total_compile_us,final_status,last_stage,exception_type,exception_message
Github_easy---o10008.json,Github_easy,maskbench/data/Github_easy---o10008.json,Github_easy---o10008.json::test_00000,0,valid,llg,LLGuidance,passed,True,True,1896,265,39,1200043,1045722,266,983,13,832,14,766,678,58,221,12,10,10,,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10008.json,Github_easy,maskbench/data/Github_easy---o10008.json,Github_easy---o10008.json::test_00001,1,invalid,llg,LLGuidance,passed,False,True,1896,265,41,1200043,1045722,266,983,13,105,10,366,306,37,52,7,11,9,8,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10008.json,Github_easy,maskbench/data/Github_easy---o10008.json,Github_easy---o10008.json::test_00002,2,invalid,llg,LLGuidance,passed,False,True,1896,265,39,1200043,1045722,266,983,13,89,7,371,311,36,52,6,10,9,8,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10009.json,Github_easy,maskbench/data/Github_easy---o10009.json,Github_easy---o10009.json::test_00000,0,valid,llg,LLGuidance,passed,True,True,4036,368,127,1207391,1050864,1259,1919,14,944,13,11529,11289,147,2819,11,36,36,,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10009.json,Github_easy,maskbench/data/Github_easy---o10009.json,Github_easy---o10009.json::test_00001,1,invalid,llg,LLGuidance,passed,False,True,4036,368,128,1207391,1050864,1259,1919,12,160,11,6338,6248,52,1566,6,37,19,18,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10009.json,Github_easy,maskbench/data/Github_easy---o10009.json,Github_easy---o10009.json::test_00002,2,invalid,llg,LLGuidance,passed,False,True,4036,368,108,1207391,1050864,1259,1919,10,118,6,5857,5780,42,1466,5,34,16,15,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10009.json,Github_easy,maskbench/data/Github_easy---o10009.json,Github_easy---o10009.json::test_00003,3,invalid,llg,LLGuidance,passed,False,True,4036,368,159,1207391,1050864,1259,1919,11,142,6,5937,5855,40,1467,5,44,18,17,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10011.json,Github_easy,maskbench/data/Github_easy---o10011.json,Github_easy---o10011.json::test_00000,0,valid,llg,LLGuidance,passed,True,True,3864,636,138,1227123,1051034,279,867,15,938,14,2365,2122,156,223,11,36,36,,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10011.json,Github_easy,maskbench/data/Github_easy---o10011.json,Github_easy---o10011.json::test_00001,1,valid,llg,LLGuidance,passed,True,True,3864,636,171,1227123,1051034,279,867,15,169,10,2133,1915,127,84,6,44,44,,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10011.json,Github_easy,maskbench/data/Github_easy---o10011.json,Github_easy---o10011.json::test_00002,2,invalid,llg,LLGuidance,passed,False,True,3864,636,172,1227123,1051034,279,867,13,139,8,458,380,46,51,6,44,14,13,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10011.json,Github_easy,maskbench/data/Github_easy---o10011.json,Github_easy---o10011.json::test_00003,3,invalid,llg,LLGuidance,passed,False,True,3864,636,144,1227123,1051034,279,867,13,142,7,508,421,51,46,6,40,17,16,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10012.json,Github_easy,maskbench/data/Github_easy---o10012.json,Github_easy---o10012.json::test_00000,0,valid,llg,LLGuidance,passed,True,True,4104,410,90,1478792,1031605,111,734,12,854,14,11627,11490,89,1703,10,18,18,,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10012.json,Github_easy,maskbench/data/Github_easy---o10012.json,Github_easy---o10012.json::test_00001,1,invalid,llg,LLGuidance,passed,False,True,4104,410,90,1478792,1031605,111,734,10,132,10,2183,2139,26,1193,6,18,7,6,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10012.json,Github_easy,maskbench/data/Github_easy---o10012.json,Github_easy---o10012.json::test_00002,2,invalid,llg,LLGuidance,passed,False,True,4104,410,91,1478792,1031605,111,734,10,96,7,2137,2097,24,1141,5,18,7,6,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10012.json,Github_easy,maskbench/data/Github_easy---o10012.json,Github_easy---o10012.json::test_00003,3,invalid,llg,LLGuidance,passed,False,True,4104,410,115,1478792,1031605,111,734,10,127,7,2131,2093,23,1144,5,25,7,6,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10013.json,Github_easy,maskbench/data/Github_easy---o10013.json,Github_easy---o10013.json::test_00000,0,valid,llg,LLGuidance,passed,True,True,4797,816,290,1211093,1056246,1283,2431,16,968,14,11764,11350,256,2595,13,69,69,,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10013.json,Github_easy,maskbench/data/Github_easy---o10013.json,Github_easy---o10013.json::test_00001,1,valid,llg,LLGuidance,passed,True,True,4797,816,212,1211093,1056246,1283,2431,14,188,11,7273,7030,132,1509,5,54,54,,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10013.json,Github_easy,maskbench/data/Github_easy---o10013.json,Github_easy---o10013.json::test_00002,2,invalid,llg,LLGuidance,passed,False,True,4797,816,213,1211093,1056246,1283,2431,11,147,7,7073,6844,121,1479,5,54,53,52,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10013.json,Github_easy,maskbench/data/Github_easy---o10013.json,Github_easy---o10013.json::test_00003,3,invalid,llg,LLGuidance,passed,False,True,4797,816,213,1211093,1056246,1283,2431,12,140,7,1228,1082,82,61,5,54,34,33,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10014.json,Github_easy,maskbench/data/Github_easy---o10014.json,Github_easy---o10014.json::test_00000,0,valid,llg,LLGuidance,passed,True,True,2473,313,202,1213197,1048856,1445,644,17,1030,14,3608,3302,183,220,11,58,58,,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10014.json,Github_easy,maskbench/data/Github_easy---o10014.json,Github_easy---o10014.json::test_00001,1,invalid,llg,LLGuidance,passed,False,True,2473,313,222,1213197,1048856,1445,644,16,194,10,1997,1813,100,76,6,64,39,38,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10016.json,Github_easy,maskbench/data/Github_easy---o10016.json,Github_easy---o10016.json::test_00000,0,valid,llg,LLGuidance,failed,False,True,7591,610,271,1205322,1048852,172,1631,13,823,14,6845,5910,105,911,41,87,11,,OverflowError('Python integer 2147483648 out of bounds for int32'),,,,,,,,,,,,,,,,,,,,,
Github_easy---o10016.json,Github_easy,maskbench/data/Github_easy---o10016.json,Github_easy---o10016.json::test_00001,1,invalid,llg,LLGuidance,passed,False,True,7591,610,267,1205322,1048852,172,1631,13,195,14,2534,2491,23,781,5,80,8,7,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10016.json,Github_easy,maskbench/data/Github_easy---o10016.json,Github_easy---o10016.json::test_00002,2,invalid,llg,LLGuidance,passed,False,True,7591,610,268,1205322,1048852,172,1631,12,180,6,5634,4796,30,785,5,87,11,,OverflowError('Python integer 2147483648 out of bounds for int32'),,,,,,,,,,,,,,,,,,,,,
Github_easy---o10016.json,Github_easy,maskbench/data/Github_easy---o10016.json,Github_easy---o10016.json::test_00003,3,invalid,llg,LLGuidance,passed,False,True,7591,610,273,1205322,1048852,172,1631,12,169,6,5641,4805,27,780,5,87,11,,OverflowError('Python integer 2147483648 out of bounds for int32'),,,,,,,,,,,,,,,,,,,,,
Github_easy---o10016.json,Github_easy,maskbench/data/Github_easy---o10016.json,Github_easy---o10016.json::test_00004,4,invalid,llg,LLGuidance,passed,False,True,7591,610,271,1205322,1048852,172,1631,12,191,6,7942,7875,37,779,5,87,15,14,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10016.json,Github_easy,maskbench/data/Github_easy---o10016.json,Github_easy---o10016.json::test_00005,5,valid,llg,LLGuidance,failed,False,True,7591,610,276,1205322,1048852,172,1631,12,182,6,5651,4802,27,780,5,90,11,,OverflowError('Python integer 2147483648 out of bounds for int32'),,,,,,,,,,,,,,,,,,,,,
Github_easy---o10016.json,Github_easy,maskbench/data/Github_easy---o10016.json,Github_easy---o10016.json::test_00006,6,invalid,llg,LLGuidance,passed,False,True,7591,610,273,1205322,1048852,172,1631,12,171,6,5634,4797,27,779,5,90,11,,OverflowError('Python integer 2147483648 out of bounds for int32'),,,,,,,,,,,,,,,,,,,,,
Github_easy---o10016.json,Github_easy,maskbench/data/Github_easy---o10016.json,Github_easy---o10016.json::test_00007,7,invalid,llg,LLGuidance,passed,False,True,7591,610,272,1205322,1048852,172,1631,12,167,6,2507,2469,21,773,5,83,8,7,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10016.json,Github_easy,maskbench/data/Github_easy---o10016.json,Github_easy---o10016.json::test_00008,8,invalid,llg,LLGuidance,passed,False,True,7591,610,289,1205322,1048852,172,1631,11,172,6,2514,2475,23,776,5,85,8,7,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10030.json,Github_easy,maskbench/data/Github_easy---o10030.json,Github_easy---o10030.json::test_00000,0,valid,llg,LLGuidance,passed,True,True,3244,257,101,1207226,1046618,245,1311,14,885,14,2755,2482,186,229,39,34,34,,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10030.json,Github_easy,maskbench/data/Github_easy---o10030.json,Github_easy---o10030.json::test_00001,1,invalid,llg,LLGuidance,passed,False,True,3244,257,27,1207226,1046618,245,1311,12,95,11,399,353,28,76,6,8,7,6,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10030.json,Github_easy,maskbench/data/Github_easy---o10030.json,Github_easy---o10030.json::test_00002,2,invalid,llg,LLGuidance,passed,False,True,3244,257,87,1207226,1046618,245,1311,12,108,6,1325,1189,81,69,5,28,26,25,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10030.json,Github_easy,maskbench/data/Github_easy---o10030.json,Github_easy---o10030.json::test_00003,3,invalid,llg,LLGuidance,passed,False,True,3244,257,48,1207226,1046618,245,1311,10,76,7,611,545,41,66,5,14,12,11,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10059.json,Github_easy,maskbench/data/Github_easy---o10059.json,Github_easy---o10059.json::test_00000,0,valid,llg,LLGuidance,passed,True,True,1767,198,30,1487087,1061202,1421,562,13,794,15,1396,1286,69,216,11,15,15,,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10059.json,Github_easy,maskbench/data/Github_easy---o10059.json,Github_easy---o10059.json::test_00001,1,invalid,llg,LLGuidance,passed,False,True,1767,198,28,1487087,1061202,1421,562,13,104,11,726,654,42,73,6,14,13,12,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10059.json,Github_easy,maskbench/data/Github_easy---o10059.json,Github_easy---o10059.json::test_00002,2,invalid,llg,LLGuidance,passed,False,True,1767,198,28,1487087,1061202,1421,562,11,85,7,463,411,31,72,6,14,9,8,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10065.json,Github_easy,maskbench/data/Github_easy---o10065.json,Github_easy---o10065.json::test_00000,0,valid,llg,LLGuidance,failed,False,True,2384,260,54,1243399,1074638,1469,685,13,829,14,1009,839,68,218,11,22,14,,OverflowError('Python integer 2147483648 out of bounds for int32'),,,,,,,,,,,,,,,,,,,,,
Github_easy---o10065.json,Github_easy,maskbench/data/Github_easy---o10065.json,Github_easy---o10065.json::test_00001,1,invalid,llg,LLGuidance,passed,False,True,2384,260,55,1243399,1074638,1469,685,13,117,26,179,150,16,51,6,22,4,3,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10065.json,Github_easy,maskbench/data/Github_easy---o10065.json,Github_easy---o10065.json::test_00002,2,invalid,llg,LLGuidance,passed,False,True,2384,260,85,1243399,1074638,1469,685,13,149,8,595,454,48,58,8,30,14,,OverflowError('Python integer 2147483648 out of bounds for int32'),,,,,,,,,,,,,,,,,,,,,
Github_easy---o10077.json,Github_easy,maskbench/data/Github_easy---o10077.json,Github_easy---o10077.json::test_00000,0,valid,llg,LLGuidance,passed,True,True,1389,299,101,1277401,1046454,524,1177,13,855,14,2751,2473,181,310,11,27,27,,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10077.json,Github_easy,maskbench/data/Github_easy---o10077.json,Github_easy---o10077.json::test_00001,1,valid,llg,LLGuidance,passed,True,True,1389,299,108,1277401,1046454,524,1177,15,187,12,2021,1745,177,81,20,32,32,,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o1008.json,Github_easy,maskbench/data/Github_easy---o1008.json,Github_easy---o1008.json::test_00000,0,valid,llg,LLGuidance,passed,True,True,2271,640,115,1404392,1055032,644,1006,13,782,13,3162,2897,176,194,33,39,39,,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o1008.json,Github_easy,maskbench/data/Github_easy---o1008.json,Github_easy---o1008.json::test_00001,1,invalid,llg,LLGuidance,passed,False,True,2271,640,103,1404392,1055032,644,1006,13,168,13,208,175,20,50,6,38,5,4,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o1008.json,Github_easy,maskbench/data/Github_easy---o1008.json,Github_easy---o1008.json::test_00002,2,valid,llg,LLGuidance,passed,True,True,2271,640,114,1404392,1055032,644,1006,12,153,7,2048,1877,93,72,5,39,39,,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10086.json,Github_easy,maskbench/data/Github_easy---o10086.json,Github_easy---o10086.json::test_00000,0,valid,llg,LLGuidance,passed,True,True,2825,260,56,1336168,1045623,258,563,12,865,13,2727,2601,72,647,10,19,19,,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10086.json,Github_easy,maskbench/data/Github_easy---o10086.json,Github_easy---o10086.json::test_00001,1,invalid,llg,LLGuidance,passed,False,True,2825,260,56,1336168,1045623,258,563,11,116,9,191,159,19,61,6,19,5,4,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10086.json,Github_easy,maskbench/data/Github_easy---o10086.json,Github_easy---o10086.json::test_00002,2,invalid,llg,LLGuidance,passed,False,True,2825,260,89,1336168,1045623,258,563,10,102,7,176,146,18,47,5,27,5,4,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10086.json,Github_easy,maskbench/data/Github_easy---o10086.json,Github_easy---o10086.json::test_00003,3,invalid,llg,LLGuidance,passed,False,True,2825,260,56,1336168,1045623,258,563,10,85,6,164,137,16,45,5,19,5,4,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10088.json,Github_easy,maskbench/data/Github_easy---o10088.json,Github_easy---o10088.json::test_00000,0,valid,llg,LLGuidance,passed,True,True,8307,391,279,1208965,1046742,292,1040,17,891,13,8304,7838,292,635,14,87,87,,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10088.json,Github_easy,maskbench/data/Github_easy---o10088.json,Github_easy---o10088.json::test_00001,1,invalid,llg,LLGuidance,passed,False,True,8307,391,463,1208965,1046742,292,1040,18,299,11,260,214,28,44,6,130,8,7,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10088.json,Github_easy,maskbench/data/Github_easy---o10088.json,Github_easy---o10088.json::test_00002,2,invalid,llg,LLGuidance,passed,False,True,8307,391,279,1208965,1046742,292,1040,15,177,7,256,210,30,43,6,87,8,7,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10088.json,Github_easy,maskbench/data/Github_easy---o10088.json,Github_easy---o10088.json::test_00003,3,invalid,llg,LLGuidance,passed,False,True,8307,391,401,1208965,1046742,292,1040,16,217,7,254,209,28,43,6,113,8,7,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10088.json,Github_easy,maskbench/data/Github_easy---o10088.json,Github_easy---o10088.json::test_00004,4,invalid,llg,LLGuidance,passed,False,True,8307,391,255,1208965,1046742,292,1040,13,167,6,256,211,28,43,6,70,8,7,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10091.json,Github_easy,maskbench/data/Github_easy---o10091.json,Github_easy---o10091.json::test_00000,0,valid,llg,LLGuidance,passed,True,True,1403,216,46,1225490,1050740,244,1111,13,778,14,1816,1552,216,263,48,16,16,,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10091.json,Github_easy,maskbench/data/Github_easy---o10091.json,Github_easy---o10091.json::test_00001,1,invalid,llg,LLGuidance,passed,False,True,1403,216,45,1225490,1050740,244,1111,12,112,10,856,774,48,80,6,16,15,14,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10093.json,Github_easy,maskbench/data/Github_easy---o10093.json,Github_easy---o10093.json::test_00000,0,valid,llg,LLGuidance,passed,True,True,4030,497,291,1224322,1057175,272,1317,18,959,14,7036,6430,369,207,10,113,113,,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10093.json,Github_easy,maskbench/data/Github_easy---o10093.json,Github_easy---o10093.json::test_00001,1,invalid,llg,LLGuidance,passed,False,True,4030,497,291,1224322,1057175,272,1317,17,243,12,355,301,34,60,6,113,9,8,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10093.json,Github_easy,maskbench/data/Github_easy---o10093.json,Github_easy---o10093.json::test_00002,2,invalid,llg,LLGuidance,passed,False,True,4030,497,77,1224322,1057175,272,1317,10,102,7,334,284,29,58,5,24,9,8,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10094.json,Github_easy,maskbench/data/Github_easy---o10094.json,Github_easy---o10094.json::test_00000,0,valid,llg,LLGuidance,compile_error,,True,3794,488,,1215218,1049003,1046,251,,,,,,,,,,,,ValueError('Unknown format: '),,,,,,,,,,,,,,,,,,,,,
Github_easy---o10094.json,Github_easy,maskbench/data/Github_easy---o10094.json,Github_easy---o10094.json::test_00001,1,invalid,llg,LLGuidance,compile_error,,True,3794,488,,1215218,1049003,1046,251,,,,,,,,,,,,ValueError('Unknown format: '),,,,,,,,,,,,,,,,,,,,,
Github_easy---o10094.json,Github_easy,maskbench/data/Github_easy---o10094.json,Github_easy---o10094.json::test_00002,2,invalid,llg,LLGuidance,compile_error,,True,3794,488,,1215218,1049003,1046,251,,,,,,,,,,,,ValueError('Unknown format: '),,,,,,,,,,,,,,,,,,,,,
Github_easy---o10295.json,Github_easy,maskbench/data/Github_easy---o10295.json,Github_easy---o10295.json::test_00000,0,valid,llg,LLGuidance,passed,True,True,6893,454,404,1220028,1065129,1373,1022,22,946,13,6201,5444,429,203,9,167,167,,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10295.json,Github_easy,maskbench/data/Github_easy---o10295.json,Github_easy---o10295.json::test_00001,1,invalid,llg,LLGuidance,passed,False,True,6893,454,161,1220028,1065129,1373,1022,14,171,12,52,45,3,45,3,63,1,0,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10295.json,Github_easy,maskbench/data/Github_easy---o10295.json,Github_easy---o10295.json::test_00002,2,invalid,llg,LLGuidance,passed,False,True,6893,454,166,1220028,1065129,1373,1022,13,145,6,51,44,3,44,3,64,1,0,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10295.json,Github_easy,maskbench/data/Github_easy---o10295.json,Github_easy---o10295.json::test_00003,3,invalid,llg,LLGuidance,passed,False,True,6893,454,160,1220028,1065129,1373,1022,13,140,6,50,44,2,44,2,63,1,0,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10298.json,Github_easy,maskbench/data/Github_easy---o10298.json,Github_easy---o10298.json::test_00000,0,valid,llg,LLGuidance,passed,True,True,7235,487,493,1205466,1053516,295,1023,22,990,14,7746,6781,549,203,10,203,203,,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10298.json,Github_easy,maskbench/data/Github_easy---o10298.json,Github_easy---o10298.json::test_00001,1,invalid,llg,LLGuidance,passed,False,True,7235,487,200,1205466,1053516,295,1023,14,189,13,53,46,3,46,3,75,1,0,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10298.json,Github_easy,maskbench/data/Github_easy---o10298.json,Github_easy---o10298.json::test_00002,2,invalid,llg,LLGuidance,passed,False,True,7235,487,196,1205466,1053516,295,1023,13,159,6,51,44,3,44,3,75,1,0,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10298.json,Github_easy,maskbench/data/Github_easy---o10298.json,Github_easy---o10298.json::test_00003,3,invalid,llg,LLGuidance,passed,False,True,7235,487,163,1205466,1053516,295,1023,13,149,6,51,44,3,44,3,67,1,0,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10337.json,Github_easy,maskbench/data/Github_easy---o10337.json,Github_easy---o10337.json::test_00000,0,valid,llg,LLGuidance,passed,True,True,1233,382,58,1198686,1049366,213,913,14,863,16,1854,1711,94,215,11,19,19,,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10467.json,Github_easy,maskbench/data/Github_easy---o10467.json,Github_easy---o10467.json::test_00000,0,valid,llg,LLGuidance,passed,True,True,2408,569,144,1216905,1055628,251,1033,13,766,14,2897,2658,155,191,23,38,38,,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10467.json,Github_easy,maskbench/data/Github_easy---o10467.json,Github_easy---o10467.json::test_00001,1,invalid,llg,LLGuidance,passed,False,True,2408,569,102,1216905,1055628,251,1033,12,130,11,208,176,19,46,6,31,5,4,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10467.json,Github_easy,maskbench/data/Github_easy---o10467.json,Github_easy---o10467.json::test_00002,2,valid,llg,LLGuidance,passed,True,True,2408,569,158,1216905,1055628,251,1033,11,131,7,1927,1765,86,65,5,39,39,,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10468.json,Github_easy,maskbench/data/Github_easy---o10468.json,Github_easy---o10468.json::test_00000,0,valid,llg,LLGuidance,passed,True,True,2073,301,55,1204627,1057941,252,560,11,726,14,1279,1171,66,195,10,16,16,,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10468.json,Github_easy,maskbench/data/Github_easy---o10468.json,Github_easy---o10468.json::test_00001,1,invalid,llg,LLGuidance,passed,False,True,2073,301,87,1204627,1057941,252,560,12,128,11,801,721,45,64,6,27,16,15,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10468.json,Github_easy,maskbench/data/Github_easy---o10468.json,Github_easy---o10468.json::test_00002,2,valid,llg,LLGuidance,passed,True,True,2073,301,56,1204627,1057941,252,560,10,92,8,856,778,42,60,5,18,18,,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10475.json,Github_easy,maskbench/data/Github_easy---o10475.json,Github_easy---o10475.json::test_00000,0,valid,llg,LLGuidance,passed,True,True,2763,448,98,1220136,1052724,253,1025,12,725,14,1645,1480,104,193,23,25,25,,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10475.json,Github_easy,maskbench/data/Github_easy---o10475.json,Github_easy---o10475.json::test_00001,1,valid,llg,LLGuidance,passed,True,True,2763,448,87,1220136,1052724,253,1025,11,114,14,915,803,61,62,5,24,24,,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10475.json,Github_easy,maskbench/data/Github_easy---o10475.json,Github_easy---o10475.json::test_00002,2,invalid,llg,LLGuidance,passed,False,True,2763,448,108,1220136,1052724,253,1025,10,103,7,416,349,36,42,5,28,14,13,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10475.json,Github_easy,maskbench/data/Github_easy---o10475.json,Github_easy---o10475.json::test_00003,3,invalid,llg,LLGuidance,passed,False,True,2763,448,64,1220136,1052724,253,1025,9,88,7,548,462,48,42,5,21,19,18,,,,,,,,,,,,,,,,,,,,,,
Github_easy---o10514.json,Github_easy,maskbench/data/Github_easy---o10514.json,Github_easy---o10514.json::test_00000,0,valid,llg,LLGuidance,failed,False,True,6730,504,161,1202436,1048405,189,1089,14,789,14,310,194,10,194,10,54,1,,OverflowError('Python integer 2147483648 out of bounds for int32'),,,,,,,,,,,,,,,,,,,,,
Github_easy---o10514.json,Github_easy,maskbench/data/Github_easy---o10514.json,Github_easy---o10514.json::test_00001,1,invalid,llg,LLGuidance,passed,False,True,6730,504,243,1202436,1048405,189,1089,13,225,10,124,58,7,58,7,70,1,,OverflowError('Python integer 2147483648 out of bounds for int32'),,,,,,,,,,,,,,,,,,,,,
