cause,schema_count,test_count
keyword: patternProperties,288,1460
format: uri,127,594
keyword: oneOf,122,522
keyword: minProperties,66,321
format: path,44,111
keyword: dependencies,39,168
keyword: not,37,189
format: url,27,123
format: topic,27,58
keyword: maxProperties,16,84
regex: lookaround unsupported,14,88
other compile error,11,41
keyword: propertyNames,7,48
format: uri-reference,7,35
format: html-selector,6,15
format: color,5,18
keyword: if,4,24
keyword: then,4,24
format: semver,4,11
format: cidr,3,6
format: textarea,2,11
format: defFile,2,10
format: regex,2,8
keyword: else,2,8
format: country-code,2,7
format: mongoId,2,7
format: css-color,2,6
format: non-blank,2,5
format: ipandport,1,9
format: ^[0-9]([0-9]){1},1,6
format: ^\d{4}-\d{2}-\d{2}$,1,6
format: only-a,1,5
format: chickenbutt,1,4
format: collection-category,1,4
format: full-date,1,4
format: partial-date,1,4
format: positiveInteger,1,4
format: source-category,1,4
format: textFile,1,4
format: ISO,1,3
format: animationFile,1,3
format: code,1,3
format: feed-onestop-id,1,3
format: html,1,3
format: bar,1,2
format: big-integer,1,2
format: binary,1,2
format: counter,1,2
format: date-type,1,2
format: datetime,1,2
format: evenlength,1,2
format: google-datetime,1,2
format: iri,1,2
format: localization,1,2
format: sha1,1,2
format: string,1,1
