feature,n_schemas,n_completed_tests,under_rate,over_rate,correct_rate,timeout_rate
has_minProperties,85,457,0,1,0.693654,0
has_not,56,327,0,1,0.737003,0
has_maxProperties,31,188,0,1,0.728723,0
has_propertyNames,11,74,0,1,0.783784,0
has_if_then_else,10,60,0,1,0.75,0
has_contains,1,3,0,1,0.666667,0
has_patternProperties,314,1596,0,0.992606,0.663534,0
has_allOf,149,817,0,0.8583,0.740514,0
large_enum,753,3858,0,0.856664,0.735096,0
has_oneOf,502,2450,0,0.85363,0.702449,0
many_properties,2323,12281,0,0.831392,0.732595,0
deep_schema,979,5093,0,0.82684,0.737483,0
has_const,39,223,0,0.8,0.766816,0
has_ref,1051,5607,0,0.7625,0.760656,0
has_pattern,1135,7321,0,0.761589,0.811501,0
has_maxItems,212,1340,0,0.75942,0.804478,0
has_defs,1144,6017,0,0.755358,0.759847,0
has_minItems,576,3467,0,0.752621,0.792905,0
many_required,1796,9467,0,0.746379,0.765924,0
has_anyOf,413,2561,0,0.746224,0.807107,0
has_exclusiveMinimum,16,108,0,0.740741,0.814815,0
has_maximum,352,2244,0,0.729965,0.81328,0
has_exclusiveMaximum,4,25,0,0.714286,0.8,0
has_enum,1961,9764,0,0.7125,0.772327,0
has_items,2400,12619,0,0.71144,0.779222,0
has_maxLength,545,3421,0,0.708947,0.817013,0
has_default,1115,5433,0,0.70466,0.769004,0
has_minLength,701,4277,0,0.692443,0.815759,0
has_minimum,769,4711,0,0.691574,0.815326,0
has_multipleOf,37,190,0,0.65625,0.778947,0
has_boolean_schema,2285,11768,0,0.655607,0.796822,0
has_additionalProperties,2364,12229,0,0.653816,0.79753,0
has_required,3621,17427,0,0.626186,0.791703,0
has_properties,4840,22609,0,0.616822,0.789818,0
has_type,4950,23022,0,0.613587,0.791287,0
has_content,3,11,0,0.4,0.818182,0
