feature,correct,timeout,under,over,correct_n,timeout_n,under_n,over_n
has_additionalProperties,0.418383,0,0,0.515662,1991,0,0,2969
has_allOf,0.0110497,0,0,0.0427753,1991,0,0,2969
has_anyOf,0.0497238,0,0,0.10576,1991,0,0,2969
has_boolean_schema,0.40231,0,0,0.499832,1991,0,0,2969
has_const,0.00401808,0,0,0.0104412,1991,0,0,2969
has_contains,0,0,0,0.000336814,1991,0,0,2969
has_content,0.00100452,0,0,0.000336814,1991,0,0,2969
has_default,0.168759,0,0,0.262378,1991,0,0,2969
has_defs,0.14214,0,0,0.289997,1991,0,0,2969
has_enum,0.284279,0,0,0.469855,1991,0,0,2969
has_exclusiveMaximum,0.00050226,0,0,0.00101044,1991,0,0,2969
has_exclusiveMinimum,0.00200904,0,0,0.00404176,1991,0,0,2969
has_if_then_else,0,0,0,0.00336814,1991,0,0,2969
has_items,0.354596,0,0,0.570562,1991,0,0,2969
has_maxItems,0.0266198,0,0,0.0535534,1991,0,0,2969
has_maxLength,0.0833752,0,0,0.127652,1991,0,0,2969
has_maxProperties,0,0,0,0.0104412,1991,0,0,2969
has_maximum,0.0477147,0,0,0.0865611,1991,0,0,2969
has_minItems,0.0763435,0,0,0.142809,1991,0,0,2969
has_minLength,0.112506,0,0,0.16066,1991,0,0,2969
has_minProperties,0,0,0,0.0286292,1991,0,0,2969
has_minimum,0.122049,0,0,0.177164,1991,0,0,2969
has_multipleOf,0.00652938,0,0,0.00808353,1991,0,0,2969
has_not,0,0,0,0.0188616,1991,0,0,2969
has_oneOf,0.0381718,0,0,0.143483,1991,0,0,2969
has_pattern,0.130085,0,0,0.295049,1991,0,0,2969
has_patternProperties,0.00100452,0,0,0.105086,1991,0,0,2969
has_properties,0.959819,0,0,0.986527,1991,0,0,2969
has_propertyNames,0,0,0,0.00370495,1991,0,0,2969
has_ref,0.126067,0,0,0.269451,1991,0,0,2969
has_required,0.69563,0,0,0.753116,1991,0,0,2969
has_type,0.996986,0,0,0.998653,1991,0,0,2969
large_enum,0.0517328,0,0,0.218929,1991,0,0,2969
many_required,0.216976,0,0,0.459414,1991,0,0,2969
many_properties,0.176293,0,0,0.664197,1991,0,0,2969
deep_schema,0.0798594,0,0,0.276187,1991,0,0,2969
