feature,schemas_with_feature,schemas_without_feature,over_with_feature,over_without_feature,over_denominator_with,over_denominator_without,over_rate_with,over_rate_without,lift,delta,support,global_over_rate,eligible_lift
many_properties,2323,2637,3284,1527,3950,3895,0.831392,0.392041,2.12068,0.439351,0.468347,0.613257,true
has_patternProperties,314,4646,537,4274,541,7304,0.992606,0.585159,1.6963,0.407447,0.0633065,0.613257,true
has_minProperties,85,4875,140,4671,140,7705,1,0.60623,1.64954,0.39377,0.0171371,0.613257,true
has_not,56,4904,86,4725,86,7759,1,0.60897,1.64212,0.39103,0.0112903,0.613257,true
has_maxProperties,31,4929,51,4760,51,7794,1,0.610726,1.63739,0.389274,0.00625,0.613257,true
large_enum,753,4207,1022,3789,1193,6652,0.856664,0.569603,1.50397,0.287061,0.151815,0.613257,true
deep_schema,979,3981,1337,3474,1617,6228,0.82684,0.557803,1.48231,0.269036,0.197379,0.613257,true
has_properties,4840,120,4752,59,7704,141,0.616822,0.41844,1.4741,0.198383,0.975806,0.613257,true
has_oneOf,502,4458,729,4082,854,6991,0.85363,0.583894,1.46196,0.269736,0.10121,0.613257,true
has_allOf,149,4811,212,4599,247,7598,0.8583,0.605291,1.418,0.253009,0.0300403,0.613257,true
many_required,1796,3164,2216,2595,2969,4876,0.746379,0.532199,1.40245,0.214181,0.362097,0.613257,true
has_items,2400,2560,2786,2025,3916,3929,0.71144,0.515398,1.38037,0.196042,0.483871,0.613257,true
has_pattern,1135,3825,1380,3431,1812,6033,0.761589,0.568705,1.33916,0.192884,0.228831,0.613257,true
has_ref,1051,3909,1342,3469,1760,6085,0.7625,0.57009,1.33751,0.19241,0.211895,0.613257,true
has_defs,1144,3816,1445,3366,1913,5932,0.755358,0.567431,1.33119,0.187927,0.230645,0.613257,true
has_const,39,4921,52,4759,65,7780,0.8,0.611697,1.30784,0.188303,0.0078629,0.613257,true
has_enum,1961,2999,2223,2588,3120,4725,0.7125,0.547725,1.30084,0.164775,0.395363,0.613257,true
has_minItems,576,4384,718,4093,954,6891,0.752621,0.593963,1.26712,0.158657,0.116129,0.613257,true
has_maxItems,212,4748,262,4549,345,7500,0.75942,0.606533,1.25207,0.152887,0.0427419,0.613257,true
has_anyOf,413,4547,494,4317,662,7183,0.746224,0.601002,1.24163,0.145221,0.0832661,0.613257,true
has_exclusiveMinimum,16,4944,20,4791,27,7818,0.740741,0.612817,1.20875,0.127924,0.00322581,0.613257,true
has_maximum,352,4608,419,4392,574,7271,0.729965,0.604043,1.20846,0.125922,0.0709677,0.613257,true
has_default,1115,3845,1255,3556,1781,6064,0.70466,0.586412,1.20165,0.118249,0.224798,0.613257,true
has_maxLength,545,4415,626,4185,883,6962,0.708947,0.60112,1.17938,0.107826,0.109879,0.613257,true
has_minimum,769,4191,870,3941,1258,6587,0.691574,0.5983,1.1559,0.0932742,0.15504,0.613257,true
has_minLength,701,4259,788,4023,1138,6707,0.692443,0.599821,1.15442,0.0926218,0.141331,0.613257,true
has_boolean_schema,2285,2675,2391,2420,3647,4198,0.655607,0.576465,1.13729,0.0791424,0.460685,0.613257,true
has_additionalProperties,2364,2596,2476,2335,3787,4058,0.653816,0.575407,1.13627,0.0784091,0.476613,0.613257,true
has_required,3621,1339,3630,1181,5797,2048,0.626186,0.57666,1.08588,0.0495258,0.73004,0.613257,true
has_multipleOf,37,4923,42,4769,64,7781,0.65625,0.612903,1.07072,0.0433468,0.00745968,0.613257,true
has_propertyNames,11,4949,16,4795,16,7829,1,0.612466,1.63274,0.387534,0.00221774,0.613257,false
has_if_then_else,10,4950,15,4796,15,7830,1,0.612516,1.63261,0.387484,0.00201613,0.613257,false
has_contains,1,4959,1,4810,1,7844,1,0.613208,1.63077,0.386792,0.000201613,0.613257,false
has_type,4950,10,4805,6,7831,14,0.613587,0.428571,1.4317,0.185016,0.997984,0.613257,false
has_exclusiveMaximum,4,4956,5,4806,7,7838,0.714286,0.613167,1.16491,0.101119,0.000806452,0.613257,false
has_content,3,4957,2,4809,5,7840,0.4,0.613393,0.652111,-0.213393,0.000604839,0.613257,false
