feature,feature_pair,feature_a,feature_b,n_schemas,support,risk_count,interest_score,timeout_lift,timeout_delta,under_lift,under_delta,over_lift,over_delta,correct,timeout,under,over,correct_n,timeout_n,under_n,over_n
[P] has_patternProperties + has_type,has_patternProperties__AND__has_type,has_patternProperties,has_type,313,0.0631048,1,1.00174e+06,0,0,0,0,1.69593,0.407306,0.00100452,0,0,0.104749,1991,0,0,2969
[P] has_patternProperties + has_required,has_patternProperties__AND__has_required,has_patternProperties,has_required,242,0.0487903,1,1.00173e+06,0,0,0,0,1.69175,0.408895,0,0,0,0.0815089,1991,0,0,2969
[P] has_patternProperties + has_properties,has_patternProperties__AND__has_properties,has_patternProperties,has_properties,291,0.0586694,1,1.00173e+06,0,0,0,0,1.6899,0.40503,0.00100452,0,0,0.0973392,1991,0,0,2969
[P] has_additionalProperties + has_patternProperties,has_additionalProperties__AND__has_patternProperties,has_additionalProperties,has_patternProperties,250,0.0504032,1,1.00172e+06,0,0,0,0,1.68389,0.40425,0.00050226,0,0,0.0838666,1991,0,0,2969
[P] has_boolean_schema + has_patternProperties,has_boolean_schema__AND__has_patternProperties,has_boolean_schema,has_patternProperties,245,0.0493952,1,1.00172e+06,0,0,0,0,1.68267,0.403787,0.00050226,0,0,0.0821826,1991,0,0,2969
[P] has_items + has_patternProperties,has_items__AND__has_patternProperties,has_items,has_patternProperties,206,0.0415323,1,1.00171e+06,0,0,0,0,1.67137,0.399452,0.00050226,0,0,0.0690468,1991,0,0,2969
[P] has_oneOf + has_patternProperties,has_oneOf__AND__has_patternProperties,has_oneOf,has_patternProperties,115,0.0231855,1,1.0017e+06,0,0,0,0,1.65742,0.396653,0,0,0,0.0387336,1991,0,0,2969
[P] has_enum + has_patternProperties,has_enum__AND__has_patternProperties,has_enum,has_patternProperties,156,0.0314516,1,1.00169e+06,0,0,0,0,1.65409,0.392453,0.00050226,0,0,0.0522061,1991,0,0,2969
[P] has_minLength + has_patternProperties,has_minLength__AND__has_patternProperties,has_minLength,has_patternProperties,91,0.0183468,1,1.00169e+06,0,0,0,0,1.65261,0.394898,0,0,0,0.0306501,1991,0,0,2969
[P] has_minProperties + has_type,has_minProperties__AND__has_type,has_minProperties,has_type,85,0.0171371,1,1.00169e+06,0,0,0,0,1.64954,0.39377,0,0,0,0.0286292,1991,0,0,2969
[P] has_anyOf + has_patternProperties,has_anyOf__AND__has_patternProperties,has_anyOf,has_patternProperties,76,0.0153226,1,1.00169e+06,0,0,0,0,1.64829,0.393311,0,0,0,0.0255978,1991,0,0,2969
[P] has_minItems + has_patternProperties,has_minItems__AND__has_patternProperties,has_minItems,has_patternProperties,75,0.015121,1,1.00169e+06,0,0,0,0,1.64815,0.39326,0,0,0,0.025261,1991,0,0,2969
[P] has_minProperties + has_properties,has_minProperties__AND__has_properties,has_minProperties,has_properties,73,0.0147177,1,1.00169e+06,0,0,0,0,1.64677,0.392751,0,0,0,0.0245874,1991,0,0,2969
[P] has_minProperties + has_required,has_minProperties__AND__has_required,has_minProperties,has_required,68,0.0137097,1,1.00168e+06,0,0,0,0,1.64567,0.392344,0,0,0,0.0229033,1991,0,0,2969
[P] has_additionalProperties + has_minProperties,has_additionalProperties__AND__has_minProperties,has_additionalProperties,has_minProperties,68,0.0137097,1,1.00168e+06,0,0,0,0,1.64539,0.392243,0,0,0,0.0229033,1991,0,0,2969
[P] has_pattern + has_patternProperties,has_pattern__AND__has_patternProperties,has_pattern,has_patternProperties,130,0.0262097,1,1.00168e+06,0,0,0,0,1.64483,0.388455,0.00050226,0,0,0.043449,1991,0,0,2969
[P] has_boolean_schema + has_minProperties,has_boolean_schema__AND__has_minProperties,has_boolean_schema,has_minProperties,61,0.0122984,1,1.00168e+06,0,0,0,0,1.64375,0.391635,0,0,0,0.0205456,1991,0,0,2969
[P] has_maxLength + has_patternProperties,has_maxLength__AND__has_patternProperties,has_maxLength,has_patternProperties,55,0.0110887,1,1.00168e+06,0,0,0,0,1.64334,0.391484,0,0,0,0.0185248,1991,0,0,2969
[P] has_items + has_minProperties,has_items__AND__has_minProperties,has_items,has_minProperties,53,0.0106855,1,1.00168e+06,0,0,0,0,1.64293,0.391332,0,0,0,0.0178511,1991,0,0,2969
[P] has_not + has_type,has_not__AND__has_type,has_not,has_type,56,0.0112903,1,1.00168e+06,0,0,0,0,1.64212,0.39103,0,0,0,0.0188616,1991,0,0,2969
