feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,over_with_pair,over_without_pair,over_denominator_with,over_denominator_without,over_rate_with,over_rate_without,lift,delta,eligible_lift
has_patternProperties__AND__has_type,has_patternProperties,has_type,313,4647,0.0631048,535,4276,539,7306,0.992579,0.585272,1.69593,0.407306,true
has_patternProperties__AND__has_required,has_patternProperties,has_required,242,4718,0.0487903,425,4386,425,7420,1,0.591105,1.69175,0.408895,true
has_patternProperties__AND__has_properties,has_patternProperties,has_properties,291,4669,0.0586694,503,4308,507,7338,0.99211,0.587081,1.6899,0.40503,true
has_additionalProperties__AND__has_patternProperties,has_additionalProperties,has_patternProperties,250,4710,0.0504032,428,4383,430,7415,0.995349,0.591099,1.68389,0.40425,true
has_boolean_schema__AND__has_patternProperties,has_boolean_schema,has_patternProperties,245,4715,0.0493952,421,4390,423,7422,0.995272,0.591485,1.68267,0.403787,true
has_items__AND__has_patternProperties,has_items,has_patternProperties,206,4754,0.0415323,357,4454,359,7486,0.994429,0.594977,1.67137,0.399452,true
has_oneOf__AND__has_patternProperties,has_oneOf,has_patternProperties,115,4845,0.0231855,196,4615,196,7649,1,0.603347,1.65742,0.396653,true
has_enum__AND__has_patternProperties,has_enum,has_patternProperties,156,4804,0.0314516,263,4548,265,7580,0.992453,0.6,1.65409,0.392453,true
has_minLength__AND__has_patternProperties,has_minLength,has_patternProperties,91,4869,0.0183468,162,4649,162,7683,1,0.605102,1.65261,0.394898,true
has_minProperties__AND__has_type,has_minProperties,has_type,85,4875,0.0171371,140,4671,140,7705,1,0.60623,1.64954,0.39377,true
has_anyOf__AND__has_patternProperties,has_anyOf,has_patternProperties,76,4884,0.0153226,131,4680,131,7714,1,0.606689,1.64829,0.393311,true
has_minItems__AND__has_patternProperties,has_minItems,has_patternProperties,75,4885,0.015121,130,4681,130,7715,1,0.60674,1.64815,0.39326,true
has_minProperties__AND__has_properties,has_minProperties,has_properties,73,4887,0.0147177,120,4691,120,7725,1,0.607249,1.64677,0.392751,true
has_minProperties__AND__has_required,has_minProperties,has_required,68,4892,0.0137097,112,4699,112,7733,1,0.607656,1.64567,0.392344,true
has_additionalProperties__AND__has_minProperties,has_additionalProperties,has_minProperties,68,4892,0.0137097,110,4701,110,7735,1,0.607757,1.64539,0.392243,true
has_pattern__AND__has_patternProperties,has_pattern,has_patternProperties,130,4830,0.0262097,217,4594,219,7626,0.990868,0.602413,1.64483,0.388455,true
has_boolean_schema__AND__has_minProperties,has_boolean_schema,has_minProperties,61,4899,0.0122984,98,4713,98,7747,1,0.608365,1.64375,0.391635,true
has_maxLength__AND__has_patternProperties,has_maxLength,has_patternProperties,55,4905,0.0110887,95,4716,95,7750,1,0.608516,1.64334,0.391484,true
has_items__AND__has_minProperties,has_items,has_minProperties,53,4907,0.0106855,92,4719,92,7753,1,0.608668,1.64293,0.391332,true
has_defs__AND__has_patternProperties,has_defs,has_patternProperties,157,4803,0.0316532,267,4544,271,7574,0.98524,0.599947,1.64221,0.385293,true
has_not__AND__has_type,has_not,has_type,56,4904,0.0112903,86,4725,86,7759,1,0.60897,1.64212,0.39103,true
has_patternProperties__AND__has_ref,has_patternProperties,has_ref,156,4804,0.0314516,266,4545,270,7575,0.985185,0.6,1.64198,0.385185,true
has_not__AND__has_properties,has_not,has_properties,55,4905,0.0110887,84,4727,84,7761,1,0.609071,1.64184,0.390929,true
has_not__AND__has_required,has_not,has_required,53,4907,0.0106855,82,4729,82,7763,1,0.609172,1.64157,0.390828,true
has_defs__AND__has_minProperties,has_defs,has_minProperties,47,4913,0.00947581,79,4732,79,7766,1,0.609323,1.64117,0.390677,true
has_minProperties__AND__has_ref,has_minProperties,has_ref,46,4914,0.00927419,77,4734,77,7768,1,0.609423,1.6409,0.390577,true
has_defs__AND__has_not,has_defs,has_not,43,4917,0.00866935,68,4743,68,7777,1,0.609875,1.63968,0.390125,true
has_enum__AND__has_not,has_enum,has_not,43,4917,0.00866935,68,4743,68,7777,1,0.609875,1.63968,0.390125,true
has_not__AND__has_ref,has_not,has_ref,43,4917,0.00866935,68,4743,68,7777,1,0.609875,1.63968,0.390125,true
has_enum__AND__has_minProperties,has_enum,has_minProperties,41,4919,0.00826613,67,4744,67,7778,1,0.609925,1.63954,0.390075,true
has_minProperties__AND__has_pattern,has_minProperties,has_pattern,39,4921,0.0078629,64,4747,64,7781,1,0.610076,1.63914,0.389924,true
has_items__AND__has_not,has_items,has_not,40,4920,0.00806452,62,4749,62,7783,1,0.610176,1.63887,0.389824,true
has_boolean_schema__AND__has_not,has_boolean_schema,has_not,39,4921,0.0078629,60,4751,60,7785,1,0.610276,1.6386,0.389724,true
has_additionalProperties__AND__has_not,has_additionalProperties,has_not,39,4921,0.0078629,59,4752,59,7786,1,0.610326,1.63847,0.389674,true
has_maxItems__AND__has_patternProperties,has_maxItems,has_patternProperties,32,4928,0.00645161,52,4759,52,7793,1,0.610676,1.63753,0.389324,true
has_not__AND__has_oneOf,has_not,has_oneOf,32,4928,0.00645161,52,4759,52,7793,1,0.610676,1.63753,0.389324,true
has_maxProperties__AND__has_properties,has_maxProperties,has_properties,31,4929,0.00625,51,4760,51,7794,1,0.610726,1.63739,0.389274,true
has_maxProperties__AND__has_type,has_maxProperties,has_type,31,4929,0.00625,51,4760,51,7794,1,0.610726,1.63739,0.389274,true
has_items__AND__has_maxProperties,has_items,has_maxProperties,29,4931,0.00584677,49,4762,49,7796,1,0.610826,1.63713,0.389174,true
has_minItems__AND__has_minProperties,has_minItems,has_minProperties,27,4933,0.00544355,49,4762,49,7796,1,0.610826,1.63713,0.389174,true
has_maxProperties__AND__has_required,has_maxProperties,has_required,28,4932,0.00564516,48,4763,48,7797,1,0.610876,1.63699,0.389124,true
has_allOf__AND__has_patternProperties,has_allOf,has_patternProperties,27,4933,0.00544355,44,4767,44,7801,1,0.611076,1.63646,0.388924,true
has_allOf__AND__has_not,has_allOf,has_not,28,4932,0.00564516,43,4768,43,7802,1,0.611125,1.63633,0.388875,true
has_minProperties__AND__has_oneOf,has_minProperties,has_oneOf,27,4933,0.00544355,42,4769,42,7803,1,0.611175,1.63619,0.388825,true
has_not__AND__has_pattern,has_not,has_pattern,27,4933,0.00544355,42,4769,42,7803,1,0.611175,1.63619,0.388825,true
has_additionalProperties__AND__has_maxProperties,has_additionalProperties,has_maxProperties,26,4934,0.00524194,42,4769,42,7803,1,0.611175,1.63619,0.388825,true
has_boolean_schema__AND__has_maxProperties,has_boolean_schema,has_maxProperties,25,4935,0.00504032,41,4770,41,7804,1,0.611225,1.63606,0.388775,true
has_minProperties__AND__has_patternProperties,has_minProperties,has_patternProperties,23,4937,0.0046371,40,4771,40,7805,1,0.611275,1.63593,0.388725,true
has_anyOf__AND__has_not,has_anyOf,has_not,27,4933,0.00544355,39,4772,39,7806,1,0.611325,1.63579,0.388675,true
has_minimum__AND__has_not,has_minimum,has_not,24,4936,0.00483871,39,4772,39,7806,1,0.611325,1.63579,0.388675,true
has_minLength__AND__has_not,has_minLength,has_not,24,4936,0.00483871,37,4774,37,7808,1,0.611424,1.63553,0.388576,true
has_enum__AND__has_maxProperties,has_enum,has_maxProperties,22,4938,0.00443548,36,4775,36,7809,1,0.611474,1.63539,0.388526,true
has_maxProperties__AND__has_pattern,has_maxProperties,has_pattern,21,4939,0.00423387,36,4775,36,7809,1,0.611474,1.63539,0.388526,true
has_const__AND__has_defs,has_const,has_defs,21,4939,0.00423387,34,4777,34,7811,1,0.611573,1.63513,0.388427,true
has_anyOf__AND__has_minProperties,has_anyOf,has_minProperties,22,4938,0.00443548,33,4778,33,7812,1,0.611623,1.63499,0.388377,true
has_minItems__AND__has_not,has_minItems,has_not,21,4939,0.00423387,33,4778,33,7812,1,0.611623,1.63499,0.388377,true
has_const__AND__has_ref,has_const,has_ref,19,4941,0.00383065,30,4781,30,7815,1,0.611772,1.6346,0.388228,true
has_defs__AND__has_maxProperties,has_defs,has_maxProperties,16,4944,0.00322581,29,4782,29,7816,1,0.611822,1.63446,0.388178,true
has_maxProperties__AND__has_ref,has_maxProperties,has_ref,16,4944,0.00322581,29,4782,29,7816,1,0.611822,1.63446,0.388178,true
has_maximum__AND__has_not,has_maximum,has_not,18,4942,0.00362903,28,4783,28,7817,1,0.611872,1.63433,0.388128,true
has_maxProperties__AND__has_oneOf,has_maxProperties,has_oneOf,16,4944,0.00322581,28,4783,28,7817,1,0.611872,1.63433,0.388128,true
has_maxProperties__AND__has_minProperties,has_maxProperties,has_minProperties,17,4943,0.00342742,27,4784,27,7818,1,0.611921,1.6342,0.388079,true
has_minProperties__AND__has_minimum,has_minProperties,has_minimum,16,4944,0.00322581,27,4784,27,7818,1,0.611921,1.6342,0.388079,true
has_minLength__AND__has_minProperties,has_minLength,has_minProperties,15,4945,0.00302419,26,4785,26,7819,1,0.611971,1.63406,0.388029,true
has_not__AND__has_patternProperties,has_not,has_patternProperties,16,4944,0.00322581,25,4786,25,7820,1,0.61202,1.63393,0.38798,true
has_maxLength__AND__has_not,has_maxLength,has_not,14,4946,0.00282258,23,4788,23,7822,1,0.61212,1.63367,0.38788,true
has_default__AND__has_not,has_default,has_not,12,4948,0.00241935,21,4790,21,7824,1,0.612219,1.6334,0.387781,true
has_minimum__AND__has_patternProperties,has_minimum,has_patternProperties,82,4878,0.0165323,143,4668,145,7700,0.986207,0.606234,1.62678,0.379973,true
has_default__AND__has_patternProperties,has_default,has_patternProperties,54,4906,0.0108871,97,4714,99,7746,0.979798,0.608572,1.60999,0.371226,true
has_maximum__AND__has_patternProperties,has_maximum,has_patternProperties,53,4907,0.0106855,92,4719,94,7751,0.978723,0.608825,1.60756,0.369899,true
has_maximum__AND__has_oneOf,has_maximum,has_oneOf,65,4895,0.0131048,106,4705,109,7736,0.972477,0.608195,1.59895,0.364282,true
has_oneOf__AND__has_ref,has_oneOf,has_ref,288,4672,0.0580645,474,4337,504,7341,0.940476,0.590791,1.59189,0.349685,true
has_defs__AND__has_oneOf,has_defs,has_oneOf,291,4669,0.0586694,478,4333,510,7335,0.937255,0.590729,1.58661,0.346526,true
has_allOf__AND__has_maximum,has_allOf,has_maximum,18,4942,0.00362903,25,4786,26,7819,0.961538,0.612099,1.57089,0.34944,true
has_maxItems__AND__has_oneOf,has_maxItems,has_oneOf,58,4902,0.0116935,88,4723,92,7753,0.956522,0.609184,1.57017,0.347338,true
has_defs__AND__has_maximum,has_defs,has_maximum,114,4846,0.0229839,182,4629,192,7653,0.947917,0.604861,1.56716,0.343056,true
has_allOf__AND__has_minItems,has_allOf,has_minItems,39,4921,0.0078629,64,4747,67,7778,0.955224,0.610311,1.56514,0.344913,true
has_anyOf__AND__has_maximum,has_anyOf,has_maximum,47,4913,0.00947581,79,4732,83,7762,0.951807,0.609637,1.56127,0.342171,true
has_allOf__AND__has_default,has_allOf,has_default,33,4927,0.00665323,55,4756,58,7787,0.948276,0.610762,1.55261,0.337514,true
has_items__AND__has_oneOf,has_items,has_oneOf,384,4576,0.0774194,610,4201,672,7173,0.907738,0.585668,1.54992,0.32207,true
has_maximum__AND__has_ref,has_maximum,has_ref,113,4847,0.0227823,180,4631,192,7653,0.9375,0.605122,1.54927,0.332378,true
has_anyOf__AND__has_oneOf,has_anyOf,has_oneOf,96,4864,0.0193548,149,4662,160,7685,0.93125,0.606636,1.5351,0.324614,true
has_minItems__AND__has_oneOf,has_minItems,has_oneOf,134,4826,0.0270161,214,4597,231,7614,0.926407,0.603756,1.53441,0.322651,true
has_oneOf__AND__has_pattern,has_oneOf,has_pattern,180,4780,0.0362903,270,4541,294,7551,0.918367,0.601377,1.52711,0.31699,true
has_boolean_schema__AND__has_oneOf,has_boolean_schema,has_oneOf,334,4626,0.0673387,508,4303,564,7281,0.900709,0.59099,1.52407,0.309719,true
has_additionalProperties__AND__has_oneOf,has_additionalProperties,has_oneOf,343,4617,0.0691532,522,4289,581,7264,0.898451,0.590446,1.52165,0.308005,true
has_const__AND__has_oneOf,has_const,has_oneOf,15,4945,0.00302419,25,4786,27,7818,0.925926,0.612177,1.51251,0.313749,true
has_allOf__AND__has_items,has_allOf,has_items,112,4848,0.0225806,174,4637,190,7655,0.915789,0.605748,1.51183,0.310042,true
has_minimum__AND__has_oneOf,has_minimum,has_oneOf,115,4845,0.0231855,183,4628,200,7645,0.915,0.605363,1.51149,0.309637,true
