feature_pair,feature_a,feature_b,n_schemas,support,timeout_rate,under_rate,over_rate
has_properties__AND__has_type,has_properties,has_type,4834,0.974597,0,0,0.617024
has_properties__AND__has_required,has_properties,has_required,3620,0.729839,0,0,0.626057
has_required__AND__has_type,has_required,has_type,3619,0.729637,0,0,0.626165
has_items__AND__has_type,has_items,has_type,2399,0.483669,0,0,0.711622
has_items__AND__has_properties,has_items,has_properties,2371,0.478024,0,0,0.714985
has_additionalProperties__AND__has_type,has_additionalProperties,has_type,2363,0.476411,0,0,0.653633
has_additionalProperties__AND__has_properties,has_additionalProperties,has_properties,2338,0.471371,0,0,0.653518
has_boolean_schema__AND__has_type,has_boolean_schema,has_type,2284,0.460484,0,0,0.655418
has_additionalProperties__AND__has_boolean_schema,has_additionalProperties,has_boolean_schema,2270,0.457661,0,0,0.655715
has_boolean_schema__AND__has_properties,has_boolean_schema,has_properties,2266,0.456855,0,0,0.654611
has_enum__AND__has_type,has_enum,has_type,1955,0.394153,0,0,0.713781
has_enum__AND__has_properties,has_enum,has_properties,1942,0.391532,0,0,0.716866
has_items__AND__has_required,has_items,has_required,1924,0.387903,0,0,0.728257
has_additionalProperties__AND__has_required,has_additionalProperties,has_required,1908,0.384677,0,0,0.668085
has_boolean_schema__AND__has_required,has_boolean_schema,has_required,1856,0.374194,0,0,0.669706
has_enum__AND__has_required,has_enum,has_required,1516,0.305645,0,0,0.720588
has_additionalProperties__AND__has_items,has_additionalProperties,has_items,1380,0.278226,0,0,0.76683
has_boolean_schema__AND__has_items,has_boolean_schema,has_items,1330,0.268145,0,0,0.769159
has_defs__AND__has_type,has_defs,has_type,1141,0.23004,0,0,0.756162
has_defs__AND__has_properties,has_defs,has_properties,1135,0.228831,0,0,0.7567
has_pattern__AND__has_type,has_pattern,has_type,1133,0.228427,0,0,0.7623
has_pattern__AND__has_properties,has_pattern,has_properties,1122,0.22621,0,0,0.764739
has_default__AND__has_type,has_default,has_type,1115,0.224798,0,0,0.70466
has_default__AND__has_properties,has_default,has_properties,1103,0.222379,0,0,0.70944
has_enum__AND__has_items,has_enum,has_items,1070,0.215726,0,0,0.814815
has_ref__AND__has_type,has_ref,has_type,1050,0.211694,0,0,0.762799
has_properties__AND__has_ref,has_properties,has_ref,1046,0.210887,0,0,0.763398
has_additionalProperties__AND__has_enum,has_additionalProperties,has_enum,1044,0.210484,0,0,0.765894
has_defs__AND__has_ref,has_defs,has_ref,1033,0.208266,0,0,0.765896
has_boolean_schema__AND__has_enum,has_boolean_schema,has_enum,1015,0.204637,0,0,0.768428
has_pattern__AND__has_required,has_pattern,has_required,924,0.18629,0,0,0.753898
has_defs__AND__has_required,has_defs,has_required,912,0.183871,0,0,0.782438
has_default__AND__has_required,has_default,has_required,890,0.179435,0,0,0.712482
has_ref__AND__has_required,has_ref,has_required,866,0.174597,0,0,0.784679
has_defs__AND__has_items,has_defs,has_items,842,0.169758,0,0,0.829285
has_items__AND__has_ref,has_items,has_ref,792,0.159677,0,0,0.828171
has_minimum__AND__has_type,has_minimum,has_type,769,0.15504,0,0,0.691574
has_minimum__AND__has_properties,has_minimum,has_properties,759,0.153024,0,0,0.697115
has_additionalProperties__AND__has_pattern,has_additionalProperties,has_pattern,755,0.152218,0,0,0.799334
has_boolean_schema__AND__has_pattern,has_boolean_schema,has_pattern,741,0.149395,0,0,0.801527
has_items__AND__has_pattern,has_items,has_pattern,740,0.149194,0,0,0.826565
has_additionalProperties__AND__has_defs,has_additionalProperties,has_defs,736,0.148387,0,0,0.816212
has_minLength__AND__has_type,has_minLength,has_type,701,0.141331,0,0,0.692443
has_boolean_schema__AND__has_defs,has_boolean_schema,has_defs,697,0.140524,0,0,0.82568
has_minLength__AND__has_properties,has_minLength,has_properties,696,0.140323,0,0,0.694346
has_additionalProperties__AND__has_ref,has_additionalProperties,has_ref,695,0.140121,0,0,0.811224
has_minimum__AND__has_required,has_minimum,has_required,658,0.132661,0,0,0.720588
has_boolean_schema__AND__has_ref,has_boolean_schema,has_ref,655,0.132056,0,0,0.820814
has_enum__AND__has_pattern,has_enum,has_pattern,639,0.128831,0,0,0.826347
has_minLength__AND__has_required,has_minLength,has_required,597,0.120363,0,0,0.70522
has_minItems__AND__has_type,has_minItems,has_type,575,0.115927,0,0,0.753151
has_defs__AND__has_enum,has_defs,has_enum,570,0.114919,0,0,0.858775
has_minItems__AND__has_properties,has_minItems,has_properties,566,0.114113,0,0,0.7569
has_items__AND__has_minItems,has_items,has_minItems,565,0.113911,0,0,0.760986
has_default__AND__has_enum,has_default,has_enum,563,0.113508,0,0,0.754759
has_enum__AND__has_ref,has_enum,has_ref,551,0.111089,0,0,0.856989
has_maxLength__AND__has_type,has_maxLength,has_type,545,0.109879,0,0,0.708947
has_maxLength__AND__has_properties,has_maxLength,has_properties,540,0.108871,0,0,0.712984
has_minItems__AND__has_required,has_minItems,has_required,539,0.108669,0,0,0.764771
has_additionalProperties__AND__has_default,has_additionalProperties,has_default,530,0.106855,0,0,0.729858
has_boolean_schema__AND__has_default,has_boolean_schema,has_default,504,0.101613,0,0,0.737767
has_oneOf__AND__has_type,has_oneOf,has_type,502,0.10121,0,0,0.85363
has_default__AND__has_items,has_default,has_items,499,0.100605,0,0,0.801235
has_oneOf__AND__has_properties,has_oneOf,has_properties,497,0.100202,0,0,0.856974
has_oneOf__AND__has_required,has_oneOf,has_required,438,0.0883065,0,0,0.863271
has_maxLength__AND__has_required,has_maxLength,has_required,430,0.0866935,0,0,0.730226
has_additionalProperties__AND__has_minLength,has_additionalProperties,has_minLength,428,0.0862903,0,0,0.764789
has_boolean_schema__AND__has_minLength,has_boolean_schema,has_minLength,423,0.0852823,0,0,0.768571
has_anyOf__AND__has_type,has_anyOf,has_type,412,0.0830645,0,0,0.74697
has_anyOf__AND__has_properties,has_anyOf,has_properties,410,0.0826613,0,0,0.74772
has_items__AND__has_minLength,has_items,has_minLength,397,0.0800403,0,0,0.775264
has_maxLength__AND__has_minLength,has_maxLength,has_minLength,394,0.0794355,0,0,0.728414
has_additionalProperties__AND__has_minimum,has_additionalProperties,has_minimum,392,0.0790323,0,0,0.757296
has_items__AND__has_oneOf,has_items,has_oneOf,384,0.0774194,0,0,0.907738
has_items__AND__has_minimum,has_items,has_minimum,379,0.0764113,0,0,0.805947
has_boolean_schema__AND__has_minimum,has_boolean_schema,has_minimum,378,0.0762097,0,0,0.754386
has_additionalProperties__AND__has_maxLength,has_additionalProperties,has_maxLength,372,0.075,0,0,0.752475
has_boolean_schema__AND__has_maxLength,has_boolean_schema,has_maxLength,368,0.0741935,0,0,0.751252
has_maximum__AND__has_type,has_maximum,has_type,352,0.0709677,0,0,0.729965
has_anyOf__AND__has_required,has_anyOf,has_required,350,0.0705645,0,0,0.778571
has_enum__AND__has_minimum,has_enum,has_minimum,350,0.0705645,0,0,0.794613
has_maximum__AND__has_properties,has_maximum,has_properties,347,0.0699597,0,0,0.73638
has_maximum__AND__has_minimum,has_maximum,has_minimum,346,0.0697581,0,0,0.728723
has_defs__AND__has_pattern,has_defs,has_pattern,344,0.0693548,0,0,0.860714
has_additionalProperties__AND__has_oneOf,has_additionalProperties,has_oneOf,343,0.0691532,0,0,0.898451
has_enum__AND__has_minLength,has_enum,has_minLength,342,0.0689516,0,0,0.791304
has_default__AND__has_pattern,has_default,has_pattern,341,0.06875,0,0,0.851782
has_boolean_schema__AND__has_oneOf,has_boolean_schema,has_oneOf,334,0.0673387,0,0,0.900709
has_pattern__AND__has_ref,has_pattern,has_ref,329,0.0663306,0,0,0.872897
has_minLength__AND__has_pattern,has_minLength,has_pattern,328,0.066129,0,0,0.775547
has_anyOf__AND__has_items,has_anyOf,has_items,323,0.065121,0,0,0.827652
has_enum__AND__has_oneOf,has_enum,has_oneOf,319,0.0643145,0,0,0.876384
has_additionalProperties__AND__has_minItems,has_additionalProperties,has_minItems,318,0.0641129,0,0,0.80791
has_patternProperties__AND__has_type,has_patternProperties,has_type,313,0.0631048,0,0,0.992579
has_boolean_schema__AND__has_minItems,has_boolean_schema,has_minItems,312,0.0629032,0,0,0.813462
has_enum__AND__has_maxLength,has_enum,has_maxLength,308,0.0620968,0,0,0.828125
has_maximum__AND__has_required,has_maximum,has_required,299,0.0602823,0,0,0.771429
has_maxLength__AND__has_pattern,has_maxLength,has_pattern,296,0.0596774,0,0,0.79878
has_enum__AND__has_minItems,has_enum,has_minItems,292,0.058871,0,0,0.864754
has_defs__AND__has_oneOf,has_defs,has_oneOf,291,0.0586694,0,0,0.937255
has_patternProperties__AND__has_properties,has_patternProperties,has_properties,291,0.0586694,0,0,0.99211
has_oneOf__AND__has_ref,has_oneOf,has_ref,288,0.0580645,0,0,0.940476
has_default__AND__has_minimum,has_default,has_minimum,278,0.0560484,0,0,0.76087
has_additionalProperties__AND__has_anyOf,has_additionalProperties,has_anyOf,275,0.0554435,0,0,0.837963
has_anyOf__AND__has_defs,has_anyOf,has_defs,273,0.0550403,0,0,0.824053
has_anyOf__AND__has_ref,has_anyOf,has_ref,271,0.0546371,0,0,0.823266
has_anyOf__AND__has_boolean_schema,has_anyOf,has_boolean_schema,262,0.0528226,0,0,0.845588
has_items__AND__has_maxLength,has_items,has_maxLength,258,0.0520161,0,0,0.802353
has_additionalProperties__AND__has_patternProperties,has_additionalProperties,has_patternProperties,250,0.0504032,0,0,0.995349
has_anyOf__AND__has_enum,has_anyOf,has_enum,249,0.0502016,0,0,0.845758
has_boolean_schema__AND__has_patternProperties,has_boolean_schema,has_patternProperties,245,0.0493952,0,0,0.995272
has_patternProperties__AND__has_required,has_patternProperties,has_required,242,0.0487903,0,0,1
has_defs__AND__has_minItems,has_defs,has_minItems,236,0.0475806,0,0,0.874372
has_minItems__AND__has_ref,has_minItems,has_ref,229,0.0461694,0,0,0.865285
has_minimum__AND__has_pattern,has_minimum,has_pattern,222,0.0447581,0,0,0.805405
has_enum__AND__has_maximum,has_enum,has_maximum,221,0.0445565,0,0,0.831978
has_additionalProperties__AND__has_maximum,has_additionalProperties,has_maximum,217,0.04375,0,0,0.789916
has_boolean_schema__AND__has_maximum,has_boolean_schema,has_maximum,215,0.0433468,0,0,0.786932
has_defs__AND__has_minimum,has_defs,has_minimum,212,0.0427419,0,0,0.828729
has_maxItems__AND__has_type,has_maxItems,has_type,210,0.0423387,0,0,0.763158
has_items__AND__has_maxItems,has_items,has_maxItems,209,0.0421371,0,0,0.761765
has_maxItems__AND__has_properties,has_maxItems,has_properties,209,0.0421371,0,0,0.766082
has_minimum__AND__has_ref,has_minimum,has_ref,209,0.0421371,0,0,0.829609
has_items__AND__has_patternProperties,has_items,has_patternProperties,206,0.0415323,0,0,0.994429
has_default__AND__has_defs,has_default,has_defs,203,0.0409274,0,0,0.847222
has_items__AND__has_maximum,has_items,has_maximum,187,0.0377016,0,0,0.859935
has_minItems__AND__has_pattern,has_minItems,has_pattern,186,0.0375,0,0,0.866013
has_default__AND__has_ref,has_default,has_ref,182,0.0366935,0,0,0.853659
has_oneOf__AND__has_pattern,has_oneOf,has_pattern,180,0.0362903,0,0,0.918367
has_minItems__AND__has_minLength,has_minItems,has_minLength,176,0.0354839,0,0,0.819398
has_minLength__AND__has_minimum,has_minLength,has_minimum,170,0.0342742,0,0,0.82069
has_maxItems__AND__has_required,has_maxItems,has_required,167,0.0336694,0,0,0.761029
has_maxLength__AND__has_minimum,has_maxLength,has_minimum,162,0.0326613,0,0,0.843066
has_defs__AND__has_patternProperties,has_defs,has_patternProperties,157,0.0316532,0,0,0.98524
has_additionalProperties__AND__has_maxItems,has_additionalProperties,has_maxItems,156,0.0314516,0,0,0.8125
has_enum__AND__has_patternProperties,has_enum,has_patternProperties,156,0.0314516,0,0,0.992453
has_minItems__AND__has_minimum,has_minItems,has_minimum,156,0.0314516,0,0,0.83209
has_patternProperties__AND__has_ref,has_patternProperties,has_ref,156,0.0314516,0,0,0.985185
has_boolean_schema__AND__has_maxItems,has_boolean_schema,has_maxItems,154,0.0310484,0,0,0.81746
has_allOf__AND__has_type,has_allOf,has_type,149,0.0300403,0,0,0.8583
has_allOf__AND__has_properties,has_allOf,has_properties,148,0.0298387,0,0,0.861789
has_anyOf__AND__has_pattern,has_anyOf,has_pattern,148,0.0298387,0,0,0.872146
has_maxItems__AND__has_minItems,has_maxItems,has_minItems,143,0.0288306,0,0,0.735931
has_defs__AND__has_minLength,has_defs,has_minLength,142,0.028629,0,0,0.831276
has_maximum__AND__has_pattern,has_maximum,has_pattern,136,0.0274194,0,0,0.853333
has_minItems__AND__has_oneOf,has_minItems,has_oneOf,134,0.0270161,0,0,0.926407
has_minLength__AND__has_ref,has_minLength,has_ref,134,0.0270161,0,0,0.831169
has_allOf__AND__has_defs,has_allOf,has_defs,133,0.0268145,0,0,0.874439
has_enum__AND__has_maxItems,has_enum,has_maxItems,132,0.0266129,0,0,0.835681
has_minLength__AND__has_oneOf,has_minLength,has_oneOf,131,0.0264113,0,0,0.846847
has_pattern__AND__has_patternProperties,has_pattern,has_patternProperties,130,0.0262097,0,0,0.990868
has_allOf__AND__has_required,has_allOf,has_required,125,0.0252016,0,0,0.855072
has_default__AND__has_maximum,has_default,has_maximum,125,0.0252016,0,0,0.729858
has_allOf__AND__has_ref,has_allOf,has_ref,121,0.0243952,0,0,0.860697
has_maxLength__AND__has_maximum,has_maxLength,has_maximum,116,0.0233871,0,0,0.871795
has_minimum__AND__has_oneOf,has_minimum,has_oneOf,115,0.0231855,0,0,0.915
has_oneOf__AND__has_patternProperties,has_oneOf,has_patternProperties,115,0.0231855,0,0,1
has_default__AND__has_minLength,has_default,has_minLength,114,0.0229839,0,0,0.8
has_defs__AND__has_maximum,has_defs,has_maximum,114,0.0229839,0,0,0.947917
has_maximum__AND__has_ref,has_maximum,has_ref,113,0.0227823,0,0,0.9375
has_allOf__AND__has_items,has_allOf,has_items,112,0.0225806,0,0,0.915789
has_anyOf__AND__has_minItems,has_anyOf,has_minItems,109,0.0219758,0,0,0.913793
