feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,under_with_pair,under_without_pair,under_denominator_with,under_denominator_without,under_rate_with,under_rate_without,lift,delta,eligible_lift
has_properties__AND__has_type,has_properties,has_type,4834,126,0.974597,0,0,14898,310,0,0,0,0,true
has_properties__AND__has_required,has_properties,has_required,3620,1340,0.729839,0,0,11629,3579,0,0,0,0,true
has_required__AND__has_type,has_required,has_type,3619,1341,0.729637,0,0,11629,3579,0,0,0,0,true
has_items__AND__has_type,has_items,has_type,2399,2561,0.483669,0,0,8699,6509,0,0,0,0,true
has_items__AND__has_properties,has_items,has_properties,2371,2589,0.478024,0,0,8610,6598,0,0,0,0,true
has_additionalProperties__AND__has_type,has_additionalProperties,has_type,2363,2597,0.476411,0,0,8440,6768,0,0,0,0,true
has_additionalProperties__AND__has_properties,has_additionalProperties,has_properties,2338,2622,0.471371,0,0,8388,6820,0,0,0,0,true
has_boolean_schema__AND__has_type,has_boolean_schema,has_type,2284,2676,0.460484,0,0,8119,7089,0,0,0,0,true
has_additionalProperties__AND__has_boolean_schema,has_additionalProperties,has_boolean_schema,2270,2690,0.457661,0,0,8095,7113,0,0,0,0,true
has_boolean_schema__AND__has_properties,has_boolean_schema,has_properties,2266,2694,0.456855,0,0,8086,7122,0,0,0,0,true
has_enum__AND__has_type,has_enum,has_type,1955,3005,0.394153,0,0,6630,8578,0,0,0,0,true
has_enum__AND__has_properties,has_enum,has_properties,1942,3018,0.391532,0,0,6594,8614,0,0,0,0,true
has_items__AND__has_required,has_items,has_required,1924,3036,0.387903,0,0,7152,8056,0,0,0,0,true
has_additionalProperties__AND__has_required,has_additionalProperties,has_required,1908,3052,0.384677,0,0,7076,8132,0,0,0,0,true
has_boolean_schema__AND__has_required,has_boolean_schema,has_required,1856,3104,0.374194,0,0,6832,8376,0,0,0,0,true
has_enum__AND__has_required,has_enum,has_required,1516,3444,0.305645,0,0,5367,9841,0,0,0,0,true
has_additionalProperties__AND__has_items,has_additionalProperties,has_items,1380,3580,0.278226,0,0,5451,9757,0,0,0,0,true
has_boolean_schema__AND__has_items,has_boolean_schema,has_items,1330,3630,0.268145,0,0,5242,9966,0,0,0,0,true
has_defs__AND__has_type,has_defs,has_type,1141,3819,0.23004,0,0,4104,11104,0,0,0,0,true
has_defs__AND__has_properties,has_defs,has_properties,1135,3825,0.228831,0,0,4077,11131,0,0,0,0,true
has_pattern__AND__has_type,has_pattern,has_type,1133,3827,0.228427,0,0,5505,9703,0,0,0,0,true
has_pattern__AND__has_properties,has_pattern,has_properties,1122,3838,0.22621,0,0,5450,9758,0,0,0,0,true
has_default__AND__has_type,has_default,has_type,1115,3845,0.224798,0,0,3652,11556,0,0,0,0,true
has_default__AND__has_properties,has_default,has_properties,1103,3857,0.222379,0,0,3617,11591,0,0,0,0,true
has_enum__AND__has_items,has_enum,has_items,1070,3890,0.215726,0,0,4348,10860,0,0,0,0,true
has_ref__AND__has_type,has_ref,has_type,1050,3910,0.211694,0,0,3847,11361,0,0,0,0,true
has_properties__AND__has_ref,has_properties,has_ref,1046,3914,0.210887,0,0,3828,11380,0,0,0,0,true
has_additionalProperties__AND__has_enum,has_additionalProperties,has_enum,1044,3916,0.210484,0,0,4209,10999,0,0,0,0,true
has_defs__AND__has_ref,has_defs,has_ref,1033,3927,0.208266,0,0,3813,11395,0,0,0,0,true
has_boolean_schema__AND__has_enum,has_boolean_schema,has_enum,1015,3945,0.204637,0,0,4110,11098,0,0,0,0,true
has_pattern__AND__has_required,has_pattern,has_required,924,4036,0.18629,0,0,4460,10748,0,0,0,0,true
has_defs__AND__has_required,has_defs,has_required,912,4048,0.183871,0,0,3405,11803,0,0,0,0,true
has_default__AND__has_required,has_default,has_required,890,4070,0.179435,0,0,2904,12304,0,0,0,0,true
has_ref__AND__has_required,has_ref,has_required,866,4094,0.174597,0,0,3271,11937,0,0,0,0,true
