feature,schemas_with_feature,schemas_without_feature,timeout_with_feature,timeout_without_feature,timeout_rate_with,timeout_rate_without,lift,support,global_timeout_rate
has_additionalProperties,2364,2596,0,0,0,0,0,0.476613,0
has_allOf,149,4811,0,0,0,0,0,0.0300403,0
has_anyOf,413,4547,0,0,0,0,0,0.0832661,0
has_boolean_schema,2285,2675,0,0,0,0,0,0.460685,0
has_const,39,4921,0,0,0,0,0,0.0078629,0
has_contains,1,4959,0,0,0,0,0,0.000201613,0
has_content,3,4957,0,0,0,0,0,0.000604839,0
has_default,1115,3845,0,0,0,0,0,0.224798,0
has_defs,1144,3816,0,0,0,0,0,0.230645,0
has_enum,1961,2999,0,0,0,0,0,0.395363,0
has_exclusiveMaximum,4,4956,0,0,0,0,0,0.000806452,0
has_exclusiveMinimum,16,4944,0,0,0,0,0,0.00322581,0
has_if_then_else,10,4950,0,0,0,0,0,0.00201613,0
has_items,2400,2560,0,0,0,0,0,0.483871,0
has_maxItems,212,4748,0,0,0,0,0,0.0427419,0
has_maxLength,545,4415,0,0,0,0,0,0.109879,0
has_maxProperties,31,4929,0,0,0,0,0,0.00625,0
has_maximum,352,4608,0,0,0,0,0,0.0709677,0
has_minItems,576,4384,0,0,0,0,0,0.116129,0
has_minLength,701,4259,0,0,0,0,0,0.141331,0
has_minProperties,85,4875,0,0,0,0,0,0.0171371,0
has_minimum,769,4191,0,0,0,0,0,0.15504,0
has_multipleOf,37,4923,0,0,0,0,0,0.00745968,0
has_not,56,4904,0,0,0,0,0,0.0112903,0
has_oneOf,502,4458,0,0,0,0,0,0.10121,0
has_pattern,1135,3825,0,0,0,0,0,0.228831,0
has_patternProperties,314,4646,0,0,0,0,0,0.0633065,0
has_properties,4840,120,0,0,0,0,0,0.975806,0
has_propertyNames,11,4949,0,0,0,0,0,0.00221774,0
has_ref,1051,3909,0,0,0,0,0,0.211895,0
has_required,3621,1339,0,0,0,0,0,0.73004,0
has_type,4950,10,0,0,0,0,0,0.997984,0
large_enum,753,4207,0,0,0,0,0,0.151815,0
many_required,1796,3164,0,0,0,0,0,0.362097,0
many_properties,2323,2637,0,0,0,0,0,0.468347,0
deep_schema,979,3981,0,0,0,0,0,0.197379,0
