feature,schemas_with_feature,schemas_without_feature,under_with_feature,under_without_feature,under_denominator_with,under_denominator_without,under_rate_with,under_rate_without,lift,delta,support,global_under_rate,eligible_lift
has_additionalProperties,2364,2596,0,0,8442,6766,0,0,0,0,0.476613,0,true
has_allOf,149,4811,0,0,570,14638,0,0,0,0,0.0300403,0,true
has_anyOf,413,4547,0,0,1899,13309,0,0,0,0,0.0832661,0,true
has_boolean_schema,2285,2675,0,0,8121,7087,0,0,0,0,0.460685,0,true
has_const,39,4921,0,0,158,15050,0,0,0,0,0.0078629,0,true
has_default,1115,3845,0,0,3652,11556,0,0,0,0,0.224798,0,true
has_defs,1144,3816,0,0,4104,11104,0,0,0,0,0.230645,0,true
has_enum,1961,2999,0,0,6644,8564,0,0,0,0,0.395363,0,true
has_exclusiveMinimum,16,4944,0,0,81,15127,0,0,0,0,0.00322581,0,true
has_if_then_else,10,4950,0,0,45,15163,0,0,0,0,0.00201613,0,true
has_items,2400,2560,0,0,8703,6505,0,0,0,0,0.483871,0,true
has_maxItems,212,4748,0,0,995,14213,0,0,0,0,0.0427419,0,true
has_maxLength,545,4415,0,0,2538,12670,0,0,0,0,0.109879,0,true
has_maxProperties,31,4929,0,0,137,15071,0,0,0,0,0.00625,0,true
has_maximum,352,4608,0,0,1670,13538,0,0,0,0,0.0709677,0,true
has_minItems,576,4384,0,0,2513,12695,0,0,0,0,0.116129,0,true
has_minLength,701,4259,0,0,3139,12069,0,0,0,0,0.141331,0,true
has_minProperties,85,4875,0,0,317,14891,0,0,0,0,0.0171371,0,true
has_minimum,769,4191,0,0,3453,11755,0,0,0,0,0.15504,0,true
has_multipleOf,37,4923,0,0,126,15082,0,0,0,0,0.00745968,0,true
has_not,56,4904,0,0,241,14967,0,0,0,0,0.0112903,0,true
has_oneOf,502,4458,0,0,1596,13612,0,0,0,0,0.10121,0,true
has_pattern,1135,3825,0,0,5509,9699,0,0,0,0,0.228831,0,true
has_patternProperties,314,4646,0,0,1055,14153,0,0,0,0,0.0633065,0,true
has_properties,4840,120,0,0,14905,303,0,0,0,0,0.975806,0,true
has_propertyNames,11,4949,0,0,58,15150,0,0,0,0,0.00221774,0,true
has_ref,1051,3909,0,0,3847,11361,0,0,0,0,0.211895,0,true
has_required,3621,1339,0,0,11630,3578,0,0,0,0,0.73004,0,true
large_enum,753,4207,0,0,2665,12543,0,0,0,0,0.151815,0,true
many_required,1796,3164,0,0,6498,8710,0,0,0,0,0.362097,0,true
many_properties,2323,2637,0,0,8331,6877,0,0,0,0,0.468347,0,true
deep_schema,979,3981,0,0,3476,11732,0,0,0,0,0.197379,0,true
has_contains,1,4959,0,0,2,15206,0,0,0,0,0.000201613,0,false
has_content,3,4957,0,0,6,15202,0,0,0,0,0.000604839,0,false
has_exclusiveMaximum,4,4956,0,0,18,15190,0,0,0,0,0.000806452,0,false
has_type,4950,10,0,0,15191,17,0,0,0,0,0.997984,0,false
