schema_id,test_id,tokens_checked,num_tokens,rejection_ratio,first_rejected_token_index
Github_easy---o10016.json,Github_easy---o10016.json::test_00000,11,87,0.126437,
Github_easy---o10016.json,Github_easy---o10016.json::test_00005,11,90,0.122222,
Github_easy---o10065.json,Github_easy---o10065.json::test_00000,14,22,0.636364,
Github_easy---o10514.json,Github_easy---o10514.json::test_00000,1,54,0.0185185,
Github_easy---o11173.json,Github_easy---o11173.json::test_00003,17,88,0.193182,
Github_easy---o11513.json,Github_easy---o11513.json::test_00000,29,67,0.432836,
Github_easy---o11787.json,Github_easy---o11787.json::test_00000,34,99,0.343434,
Github_easy---o11787.json,Github_easy---o11787.json::test_00003,34,96,0.354167,
Github_easy---o11798.json,Github_easy---o11798.json::test_00000,34,99,0.343434,
Github_easy---o11798.json,Github_easy---o11798.json::test_00003,34,98,0.346939,
Github_easy---o11801.json,Github_easy---o11801.json::test_00000,40,71,0.56338,
Github_easy---o11859.json,Github_easy---o11859.json::test_00000,11,45,0.244444,
Github_easy---o11859.json,Github_easy---o11859.json::test_00003,11,45,0.244444,
Github_easy---o12068.json,Github_easy---o12068.json::test_00000,5,22,0.227273,
Github_easy---o12078.json,Github_easy---o12078.json::test_00000,30,60,0.5,
Github_easy---o12078.json,Github_easy---o12078.json::test_00004,15,77,0.194805,
Github_easy---o12215.json,Github_easy---o12215.json::test_00000,61,73,0.835616,
Github_easy---o12215.json,Github_easy---o12215.json::test_00002,61,73,0.835616,
Github_easy---o12218.json,Github_easy---o12218.json::test_00000,61,73,0.835616,
Github_easy---o12218.json,Github_easy---o12218.json::test_00003,62,74,0.837838,
Github_easy---o12229.json,Github_easy---o12229.json::test_00000,4,62,0.0645161,
Github_easy---o12229.json,Github_easy---o12229.json::test_00003,13,70,0.185714,
Github_easy---o12235.json,Github_easy---o12235.json::test_00000,4,33,0.121212,
Github_easy---o12290.json,Github_easy---o12290.json::test_00000,1,83,0.0120482,
Github_easy---o12381.json,Github_easy---o12381.json::test_00000,7,25,0.28,
