characteristic,bucket,n_schemas,value_min,value_max,schemas_with_under_rate,schemas_with_over_rate,under_test_rate,over_test_rate,timeout_schema_rate
schema_json_chars,q1_low,1240,18,460,0,0.262097,0,0.272459,0
schema_json_chars,q2_mid_low,1243,461,890,0,0.481899,0,0.485555,0
schema_json_chars,q3_mid_high,1237,892,2007,0,0.738076,0,0.722355,0
schema_json_chars,q4_high,1240,2008,80756,0,0.912903,0,0.900526,0
schema_file_bytes,q1_low,1240,461,3393,0,0.291129,0,0.30479,0
schema_file_bytes,q2_mid_low,1241,3395,6394,0,0.500403,0,0.492886,0
schema_file_bytes,q3_mid_high,1239,6399,13634,0,0.702986,0,0.702754,0
schema_file_bytes,q4_high,1240,13636,212170,0,0.9,0,0.881485,0
nb_keywords,q1_low,1334,1,15,0,0.268366,0,0.27726,0
nb_keywords,q2_mid_low,1160,16,27,0,0.493966,0,0.492341,0
nb_keywords,q3_mid_high,1234,28,60,0,0.742301,0,0.729679,0
nb_keywords,q4_high,1232,61,1542,0,0.910714,0,0.896435,0
nb_properties,q1_low,1468,0,4,0,0.280654,0,0.292331,0
nb_properties,q2_mid_low,1169,5,9,0,0.500428,0,0.498145,0
nb_properties,q3_mid_high,1099,10,20,0,0.767971,0,0.747881,0
nb_properties,q4_high,1224,21,411,0,0.921569,0,0.907856,0
nb_required,q1_low,1391,0,0,0,0.551402,0,0.580479,0
nb_required,q2_mid_low,1443,1,3,0,0.465696,0,0.488025,0
nb_required,q3_mid_high,982,4,7,0,0.590631,0,0.597516,0
nb_required,q4_high,1144,8,317,0,0.83042,0,0.810153,0
schema_depth,q1_low,2481,0,4,0,0.466747,0,0.486768,0
schema_depth,q2_mid_low,0,,,0,0,0,0,0
schema_depth,q3_mid_high,1500,5,7,0,0.660667,0,0.664656,0
schema_depth,q4_high,979,8,22,0,0.837589,0,0.82684,0
nb_branches_combinators,q1_low,4083,0,0,0,0.557188,0,0.572992,0
nb_branches_combinators,q2_mid_low,0,,,0,0,0,0,0
nb_branches_combinators,q3_mid_high,0,,,0,0,0,0,0
nb_branches_combinators,q4_high,877,1,546,0,0.791334,0,0.791292,0
nb_enum_values,q1_low,2999,0,0,0,0.524842,0,0.547725,0
nb_enum_values,q2_mid_low,0,,,0,0,0,0,0
nb_enum_values,q3_mid_high,817,1,4,0,0.580171,0,0.584426,0
nb_enum_values,q4_high,1144,5,1554,0,0.80507,0,0.80362,0
nb_regex,q1_low,3641,0,0,0,0.524581,0,0.544738,0
nb_regex,q2_mid_low,0,,,0,0,0,0,0
nb_regex,q3_mid_high,483,1,1,0,0.708075,0,0.71195,0
nb_regex,q4_high,836,2,41,0,0.857656,0,0.846901,0
n_tests,q1_low,1676,1,3,0,0.528043,0,0.564391,0
n_tests,q2_mid_low,1077,4,4,0,0.54039,0,0.567262,0
n_tests,q3_mid_high,1327,5,6,0,0.659382,0,0.650022,0
n_tests,q4_high,880,7,18,0,0.7125,0,0.681525,0
mean_num_tokens,q1_low,1033,1,35,0,0.148112,0,0.151267,0
mean_num_tokens,q2_mid_low,1009,35.125,81.6667,0,0.371655,0,0.360902,0
mean_num_tokens,q3_mid_high,1021,81.75,199,0,0.662096,0,0.641343,0
mean_num_tokens,q4_high,1021,199.8,5847,0,0.870715,0,0.844717,0
