context_feature,context_value,support_schemas,support_tests,under_rate,over_rate,baseline_under_rate,baseline_over_rate,under_lift,over_lift,low_support
allOf_satisfied_branch_count_bucket,0,4902,22631,0,0.208077,0,0.208693,0,0.99705,false
allOf_satisfied_branch_count_bucket,1,57,210,0,0.190476,0,0.208693,0,0.91271,false
allOf_satisfied_branch_count_bucket,2,49,155,0,0.245161,0,0.208693,0,1.17475,false
allOf_satisfied_branch_count_bucket,3,13,30,0,0.533333,0,0.208693,0,2.55559,false
allOf_satisfied_branch_count_bucket,4-5,5,23,0,0.217391,0,0.208693,0,1.04168,true
allOf_satisfied_branch_count_bucket,6+,2,4,0,0.75,0,0.208693,0,3.5938,true
anyOf_satisfied_branch_count_bucket,0,4853,21851,0,0.207313,0,0.208693,0,0.993388,false
anyOf_satisfied_branch_count_bucket,1,219,990,0,0.226263,0,0.208693,0,1.08419,false
anyOf_satisfied_branch_count_bucket,2,51,176,0,0.267045,0,0.208693,0,1.27961,false
anyOf_satisfied_branch_count_bucket,3,3,6,0,0.166667,0,0.208693,0,0.798621,true
anyOf_satisfied_branch_count_bucket,4-5,5,23,0,0.347826,0,0.208693,0,1.66669,true
anyOf_satisfied_branch_count_bucket,6+,1,7,0,0.142857,0,0.208693,0,0.684532,true
branches_conflicting_types,false,4960,23053,0,0.208693,0,0.208693,0,1,false
branches_have_enum,false,4768,22056,0,0.207427,0,0.208693,0,0.993931,false
branches_have_enum,true,192,997,0,0.23671,0,0.208693,0,1.13425,false
branches_have_not,false,4932,22877,0,0.208332,0,0.208693,0,0.998268,false
branches_have_not,true,28,176,0,0.255682,0,0.208693,0,1.22516,false
branches_have_properties,false,4600,21152,0,0.203858,0,0.208693,0,0.976831,false
branches_have_properties,true,360,1901,0,0.262493,0,0.208693,0,1.2578,false
branches_have_required,false,4630,21277,0,0.204681,0,0.208693,0,0.980776,false
branches_have_required,true,330,1776,0,0.256757,0,0.208693,0,1.23031,false
branches_have_same_type,false,4316,19634,0,0.199042,0,0.208693,0,0.953757,false
branches_have_same_type,true,644,3419,0,0.264112,0,0.208693,0,1.26555,false
branches_overlapping_properties,false,4839,22368,0,0.207663,0,0.208693,0,0.995063,false
branches_overlapping_properties,true,121,685,0,0.242336,0,0.208693,0,1.16121,false
combinator_branch_count_bucket,0,4083,18306,0,0.200262,0,0.208693,0,0.959602,false
combinator_branch_count_bucket,1,44,261,0,0.180077,0,0.208693,0,0.862878,false
combinator_branch_count_bucket,2,509,2588,0,0.246136,0,0.208693,0,1.17942,false
combinator_branch_count_bucket,3,140,756,0,0.275132,0,0.208693,0,1.31836,false
combinator_branch_count_bucket,4-5,97,688,0,0.174419,0,0.208693,0,0.835766,false
combinator_branch_count_bucket,6+,87,454,0,0.292952,0,0.208693,0,1.40374,false
combinator_type,absent,4083,18306,0,0.200262,0,0.208693,0,0.959602,false
combinator_type,allOf,58,279,0,0.25448,0,0.208693,0,1.2194,false
combinator_type,anyOf,288,1813,0,0.166575,0,0.208693,0,0.798181,false
combinator_type,mixed,169,980,0,0.268367,0,0.208693,0,1.28594,false
combinator_type,oneOf,362,1675,0,0.303881,0,0.208693,0,1.45611,false
oneOf_satisfied_branch_count_bucket,0,4797,21846,0,0.199121,0,0.208693,0,0.954134,false
oneOf_satisfied_branch_count_bucket,1,337,1158,0,0.396373,0,0.208693,0,1.89931,false
oneOf_satisfied_branch_count_bucket,2,36,49,0,0.0408163,0,0.208693,0,0.195581,false
