context_feature,context_value,support_schemas,support_tests,under_rate,over_rate,baseline_under_rate,baseline_over_rate,under_lift,over_lift,low_support
instance_satisfies_not_subschema,false,24,99,0,0.323232,0,0.208693,0,1.54884,false
instance_satisfies_not_subschema,true,22,54,0,0.148148,0,0.208693,0,0.709886,false
instance_satisfies_not_subschema,unknown,4933,22900,0,0.208341,0,0.208693,0,0.998311,false
not_contains_allOf,false,4953,22999,0,0.208792,0,0.208693,0,1.00047,false
not_contains_allOf,true,7,54,0,0.166667,0,0.208693,0,0.798621,true
not_contains_anyOf,false,4956,23039,0,0.208516,0,0.208693,0,0.999152,false
not_contains_anyOf,true,4,14,0,0.5,0,0.208693,0,2.39586,true
not_contains_const,false,4958,23034,0,0.208778,0,0.208693,0,1.00041,false
not_contains_const,true,2,19,0,0.105263,0,0.208693,0,0.504392,true
not_contains_enum,false,4949,23002,0,0.208373,0,0.208693,0,0.998467,false
not_contains_enum,true,11,51,0,0.352941,0,0.208693,0,1.6912,false
not_contains_pattern,false,4956,23025,0,0.20873,0,0.208693,0,1.00018,false
not_contains_pattern,true,4,28,0,0.178571,0,0.208693,0,0.855666,true
not_contains_properties,false,4955,23026,0,0.208634,0,0.208693,0,0.999716,false
not_contains_properties,true,5,27,0,0.259259,0,0.208693,0,1.2423,true
not_contains_required,false,4934,22884,0,0.208355,0,0.208693,0,0.998381,false
not_contains_required,true,26,169,0,0.254438,0,0.208693,0,1.2192,false
not_parent_keyword,$defs,4,21,0,0.333333,0,0.208693,0,1.59724,true
not_parent_keyword,absent,4904,22726,0,0.207912,0,0.208693,0,0.996256,false
not_parent_keyword,additionalProperties,1,3,0,0.333333,0,0.208693,0,1.59724,true
not_parent_keyword,allOf,4,21,0,0.380952,0,0.208693,0,1.82542,true
not_parent_keyword,anyOf,5,33,0,0.212121,0,0.208693,0,1.01643,true
not_parent_keyword,if,1,10,0,0.1,0,0.208693,0,0.479173,true
not_parent_keyword,items,1,4,0,0.5,0,0.208693,0,2.39586,true
not_parent_keyword,mixed,4,29,0,0.206897,0,0.208693,0,0.991392,true
not_parent_keyword,oneOf,5,29,0,0.310345,0,0.208693,0,1.48709,true
not_parent_keyword,other,1,9,0,0.222222,0,0.208693,0,1.06483,true
not_parent_keyword,patternProperties,1,4,0,0.25,0,0.208693,0,1.19793,true
not_parent_keyword,properties,19,95,0,0.284211,0,0.208693,0,1.36186,false
not_parent_keyword,root,9,62,0,0.209677,0,0.208693,0,1.00472,true
not_parent_keyword,then,1,7,0,0.285714,0,0.208693,0,1.36906,true
not_sibling_keyword_count_bucket,0,4923,22834,0,0.208242,0,0.208693,0,0.997839,false
not_sibling_keyword_count_bucket,1,12,68,0,0.264706,0,0.208693,0,1.2684,false
not_sibling_keyword_count_bucket,2,7,40,0,0.25,0,0.208693,0,1.19793,true
not_sibling_keyword_count_bucket,3,3,10,0,0.5,0,0.208693,0,2.39586,true
not_sibling_keyword_count_bucket,4-5,9,66,0,0.212121,0,0.208693,0,1.01643,true
not_sibling_keyword_count_bucket,6+,6,35,0,0.257143,0,0.208693,0,1.23216,true
not_target_type,absent,4946,22995,0,0.208437,0,0.208693,0,0.998771,false
not_target_type,array,1,3,0,0.333333,0,0.208693,0,1.59724,true
not_target_type,mixed,4,25,0,0.2,0,0.208693,0,0.958345,true
not_target_type,number,2,9,0,0.222222,0,0.208693,0,1.06483,true
not_target_type,object,5,15,0,0.466667,0,0.208693,0,2.23614,true
not_target_type,string,2,6,0,0.5,0,0.208693,0,2.39586,true
