context_feature,context_value,support_schemas,support_tests,under_rate,over_rate,baseline_under_rate,baseline_over_rate,under_lift,over_lift,low_support
numeric_boundary_case,above_max,185,363,0,0.00275482,0,0.208693,0,0.0132004,false
numeric_boundary_case,below_min,497,1270,0,0,0,0.208693,0,0,false
numeric_boundary_case,equal_max,18,39,0,0.333333,0,0.208693,0,1.59724,false
numeric_boundary_case,equal_min,210,580,0,0.37069,0,0.208693,0,1.77624,false
numeric_boundary_case,inside_range,424,1315,0,0.305703,0,0.208693,0,1.46485,false
numeric_boundary_case,multiple_ok,27,78,0,0.320513,0,0.208693,0,1.53581,false
numeric_boundary_case,multiple_violation,26,37,0,0,0,0.208693,0,0,false
numeric_boundary_case,not_applicable,4425,19371,0,0.214496,0,0.208693,0,1.02781,false
numeric_has_default,false,4731,21712,0,0.208502,0,0.208693,0,0.999086,false
numeric_has_default,true,229,1341,0,0.211782,0,0.208693,0,1.0148,false
numeric_has_min_and_max,false,4610,20822,0,0.210883,0,0.208693,0,1.01049,false
numeric_has_min_and_max,true,350,2231,0,0.188256,0,0.208693,0,0.902073,false
numeric_is_in_properties,false,4219,18525,0,0.213657,0,0.208693,0,1.02379,false
numeric_is_in_properties,true,741,4528,0,0.188383,0,0.208693,0,0.902682,false
numeric_parent_keyword,$defs,22,134,0,0.156716,0,0.208693,0,0.750942,false
numeric_parent_keyword,absent,4164,18201,0,0.215043,0,0.208693,0,1.03043,false
numeric_parent_keyword,additionalProperties,1,11,0,0.181818,0,0.208693,0,0.871223,true
numeric_parent_keyword,allOf,1,6,0,0,0,0.208693,0,0,true
numeric_parent_keyword,anyOf,4,35,0,0.0285714,0,0.208693,0,0.136906,true
numeric_parent_keyword,items,11,65,0,0.123077,0,0.208693,0,0.589751,false
numeric_parent_keyword,mixed,76,570,0,0.185965,0,0.208693,0,0.891093,false
numeric_parent_keyword,oneOf,3,11,0,0.454545,0,0.208693,0,2.17806,true
numeric_parent_keyword,other,3,12,0,0.416667,0,0.208693,0,1.99655,true
numeric_parent_keyword,patternProperties,2,10,0,0.2,0,0.208693,0,0.958345,true
numeric_parent_keyword,properties,666,3966,0,0.188351,0,0.208693,0,0.902527,false
numeric_parent_keyword,root,7,32,0,0,0,0.208693,0,0,true
numeric_property_required,false,4542,20551,0,0.211815,0,0.208693,0,1.01496,false
numeric_property_required,true,418,2502,0,0.183054,0,0.208693,0,0.877143,false
numeric_target_type,absent,4166,18214,0,0.214945,0,0.208693,0,1.02996,false
numeric_target_type,integer,396,2418,0,0.177006,0,0.208693,0,0.848163,false
numeric_target_type,mixed,155,984,0,0.190041,0,0.208693,0,0.910623,false
numeric_target_type,number,243,1437,0,0.195546,0,0.208693,0,0.937004,false
