context_feature,context_value,support_schemas,support_tests,under_rate,over_rate,baseline_under_rate,baseline_over_rate,under_lift,over_lift,low_support
additionalProperties_value,absent,4762,21978,0,0.203431,0,0.208693,0,0.974784,false
additionalProperties_value,false,187,1007,0,0.320755,0,0.208693,0,1.53697,false
additionalProperties_value,mixed,2,17,0,0.235294,0,0.208693,0,1.12747,true
additionalProperties_value,schema,3,19,0,0.263158,0,0.208693,0,1.26098,true
additionalProperties_value,true,6,32,0,0.25,0,0.208693,0,1.19793,true
instance_has_unmatched_keys,false,4600,18836,0,0.224198,0,0.208693,0,1.0743,false
instance_has_unmatched_keys,true,2003,4217,0,0.139436,0,0.208693,0,0.668137,false
instance_matching_pattern_keys_count_bucket,0,4740,21897,0,0.200256,0,0.208693,0,0.959571,false
instance_matching_pattern_keys_count_bucket,1,68,179,0,0.296089,0,0.208693,0,1.41878,false
instance_matching_pattern_keys_count_bucket,2,98,319,0,0.398119,0,0.208693,0,1.90768,false
instance_matching_pattern_keys_count_bucket,3,84,243,0,0.382716,0,0.208693,0,1.83387,false
instance_matching_pattern_keys_count_bucket,4-5,77,207,0,0.391304,0,0.208693,0,1.87502,false
instance_matching_pattern_keys_count_bucket,6+,55,208,0,0.346154,0,0.208693,0,1.65867,false
patternProperties_regex_has_alternation,false,4927,22894,0,0.20774,0,0.208693,0,0.995434,false
patternProperties_regex_has_alternation,true,33,159,0,0.345912,0,0.208693,0,1.65752,false
patternProperties_regex_has_anchor,false,4721,21808,0,0.201669,0,0.208693,0,0.966343,false
patternProperties_regex_has_anchor,true,239,1245,0,0.331727,0,0.208693,0,1.58954,false
patternProperties_regex_has_charclass,false,4764,22037,0,0.202931,0,0.208693,0,0.972392,false
patternProperties_regex_has_charclass,true,196,1016,0,0.333661,0,0.208693,0,1.59881,false
patternProperties_regex_has_dotstar,false,4890,22701,0,0.206423,0,0.208693,0,0.989121,false
patternProperties_regex_has_dotstar,true,70,352,0,0.355114,0,0.208693,0,1.70161,false
patternProperties_with_properties,false,4887,22669,0,0.206493,0,0.208693,0,0.98946,false
patternProperties_with_properties,true,73,384,0,0.338542,0,0.208693,0,1.6222,false
