context_family,context_feature,context_value,support_schemas,schemas_with_under,schemas_with_over,schema_under_rate,schema_over_rate,baseline_schema_under_rate,baseline_schema_over_rate,schema_under_lift,schema_over_lift
combinators,allOf_satisfied_branch_count_bucket,0,4902,0,2921,0,0.595879,0,0.598589,0,0.995474
combinators,allOf_satisfied_branch_count_bucket,1,57,0,42,0,0.736842,0,0.598589,0,1.23097
combinators,allOf_satisfied_branch_count_bucket,2,49,0,38,0,0.77551,0,0.598589,0,1.29556
combinators,allOf_satisfied_branch_count_bucket,3,13,0,12,0,0.923077,0,0.598589,0,1.54209
combinators,allOf_satisfied_branch_count_bucket,4-5,5,0,5,0,1,0,0.598589,0,1.6706
combinators,allOf_satisfied_branch_count_bucket,6+,2,0,2,0,1,0,0.598589,0,1.6706
combinators,allOf_satisfied_branch_ratio,0,4902,0,2921,0,0.595879,0,0.598589,0,0.995474
combinators,allOf_satisfied_branch_ratio,0.333333,2,0,2,0,1,0,0.598589,0,1.6706
combinators,allOf_satisfied_branch_ratio,0.5,32,0,22,0,0.6875,0,0.598589,0,1.14853
combinators,allOf_satisfied_branch_ratio,0.666667,10,0,9,0,0.9,0,0.598589,0,1.50354
combinators,allOf_satisfied_branch_ratio,0.75,3,0,3,0,1,0,0.598589,0,1.6706
combinators,allOf_satisfied_branch_ratio,0.8,1,0,1,0,1,0,0.598589,0,1.6706
combinators,allOf_satisfied_branch_ratio,0.833333,1,0,1,0,1,0,0.598589,0,1.6706
combinators,allOf_satisfied_branch_ratio,1,79,0,63,0,0.797468,0,0.598589,0,1.33225
combinators,anyOf_satisfied_branch_count,0,4853,0,2891,0,0.595714,0,0.598589,0,0.995198
combinators,anyOf_satisfied_branch_count,1,219,0,152,0,0.694064,0,0.598589,0,1.1595
combinators,anyOf_satisfied_branch_count,2,51,0,34,0,0.666667,0,0.598589,0,1.11373
combinators,anyOf_satisfied_branch_count,3,3,0,2,0,0.666667,0,0.598589,0,1.11373
combinators,anyOf_satisfied_branch_count,4,1,0,1,0,1,0,0.598589,0,1.6706
combinators,anyOf_satisfied_branch_count,5,4,0,4,0,1,0,0.598589,0,1.6706
combinators,anyOf_satisfied_branch_count,8,1,0,1,0,1,0,0.598589,0,1.6706
combinators,anyOf_satisfied_branch_count_bucket,0,4853,0,2891,0,0.595714,0,0.598589,0,0.995198
combinators,anyOf_satisfied_branch_count_bucket,1,219,0,152,0,0.694064,0,0.598589,0,1.1595
combinators,anyOf_satisfied_branch_count_bucket,2,51,0,34,0,0.666667,0,0.598589,0,1.11373
combinators,anyOf_satisfied_branch_count_bucket,3,3,0,2,0,0.666667,0,0.598589,0,1.11373
combinators,anyOf_satisfied_branch_count_bucket,4-5,5,0,5,0,1,0,0.598589,0,1.6706
combinators,anyOf_satisfied_branch_count_bucket,6+,1,0,1,0,1,0,0.598589,0,1.6706
combinators,branches_conflicting_types,false,4960,0,2969,0,0.598589,0,0.598589,0,1
combinators,branches_have_enum,false,4768,0,2823,0,0.592072,0,0.598589,0,0.989113
combinators,branches_have_enum,true,192,0,146,0,0.760417,0,0.598589,0,1.27035
combinators,branches_have_not,false,4932,0,2942,0,0.596513,0,0.598589,0,0.996532
combinators,branches_have_not,true,28,0,27,0,0.964286,0,0.598589,0,1.61093
combinators,branches_have_properties,false,4600,0,2676,0,0.581739,0,0.598589,0,0.971851
combinators,branches_have_properties,true,360,0,293,0,0.813889,0,0.598589,0,1.35968
combinators,branches_have_required,false,4630,0,2701,0,0.583369,0,0.598589,0,0.974575
combinators,branches_have_required,true,330,0,268,0,0.812121,0,0.598589,0,1.35673
combinators,branches_overlapping_properties,false,4839,0,2868,0,0.592684,0,0.598589,0,0.990136
combinators,branches_overlapping_properties,true,121,0,101,0,0.834711,0,0.598589,0,1.39446
combinators,combinator_branch_count_bucket,0,4083,0,2275,0,0.557188,0,0.598589,0,0.930837
combinators,combinator_branch_count_bucket,1,44,0,29,0,0.659091,0,0.598589,0,1.10107
combinators,combinator_branch_count_bucket,2,509,0,381,0,0.748527,0,0.598589,0,1.25049
combinators,combinator_branch_count_bucket,3,140,0,118,0,0.842857,0,0.598589,0,1.40807
combinators,combinator_branch_count_bucket,4-5,97,0,84,0,0.865979,0,0.598589,0,1.4467
combinators,combinator_branch_count_bucket,6+,87,0,82,0,0.942529,0,0.598589,0,1.57458
combinators,combinator_type,absent,4083,0,2275,0,0.557188,0,0.598589,0,0.930837
combinators,combinator_type,allOf,58,0,44,0,0.758621,0,0.598589,0,1.26735
combinators,combinator_type,anyOf,288,0,197,0,0.684028,0,0.598589,0,1.14273
combinators,combinator_type,mixed,169,0,157,0,0.928994,0,0.598589,0,1.55197
