feature,n_schemas,n_completed_tests,under_rate,over_rate,correct_rate,timeout_rate
has_oneOf,173,931,0,1,0.680988,0
has_patternProperties,122,725,0,1,0.710345,0
has_minProperties,24,158,0,1,0.746835,0
has_not,17,124,0,1,0.782258,0
has_maxProperties,11,78,0,1,0.74359,0
has_const,10,76,0,1,0.789474,0
has_propertyNames,8,57,0,1,0.789474,0
has_exclusiveMinimum,5,29,0,1,0.724138,0
has_if_then_else,5,37,0,1,0.810811,0
has_content,1,4,0,1,0.5,0
has_allOf,53,338,0,0.976744,0.751479,0
has_maxItems,69,480,0,0.965517,0.766667,0
has_maxLength,97,687,0,0.958333,0.765648,0
has_minItems,188,1291,0,0.948328,0.758327,0
has_minLength,140,949,0,0.946721,0.756586,0
large_enum,324,1816,0,0.94605,0.729626,0
has_minimum,218,1482,0,0.941176,0.762483,0
has_boolean_schema,502,3221,0,0.940594,0.764048,0
has_pattern,340,2334,0,0.938931,0.789203,0
has_maximum,135,918,0,0.935345,0.763617,0
has_additionalProperties,524,3338,0,0.932704,0.763331,0
has_ref,345,2098,0,0.924786,0.742135,0
has_defs,362,2192,0,0.919094,0.740876,0
has_items,678,4068,0,0.913504,0.745575,0
has_anyOf,192,1341,0,0.912621,0.789709,0
has_enum,576,3239,0,0.896699,0.740043,0
many_properties,886,4892,0,0.891202,0.728741,0
has_properties,888,4898,0,0.890154,0.728665,0
has_type,888,4898,0,0.890154,0.728665,0
has_required,749,4292,0,0.880452,0.746039,0
deep_schema,487,2731,0,0.874842,0.746613,0
many_required,633,3683,0,0.867308,0.755091,0
has_multipleOf,12,78,0,0.863636,0.75641,0
has_default,378,2094,0,0.85173,0.753104,0
has_exclusiveMaximum,1,6,0,0,1,0
