feature,correct,timeout,under,over,correct_n,timeout_n,under_n,over_n
has_additionalProperties,0.317647,0,0,0.618929,85,0,0,803
has_allOf,0.0117647,0,0,0.0647572,85,0,0,803
has_anyOf,0.129412,0,0,0.225405,85,0,0,803
has_boolean_schema,0.258824,0,0,0.597758,85,0,0,803
has_const,0,0,0,0.0124533,85,0,0,803
has_content,0,0,0,0.00124533,85,0,0,803
has_default,0.552941,0,0,0.412204,85,0,0,803
has_defs,0.294118,0,0,0.419676,85,0,0,803
has_enum,0.588235,0,0,0.655044,85,0,0,803
has_exclusiveMaximum,0.0117647,0,0,0,85,0,0,803
has_exclusiveMinimum,0,0,0,0.00622665,85,0,0,803
has_if_then_else,0,0,0,0.00622665,85,0,0,803
has_items,0.552941,0,0,0.785803,85,0,0,803
has_maxItems,0.0235294,0,0,0.0834371,85,0,0,803
has_maxLength,0.0235294,0,0,0.118306,85,0,0,803
has_maxProperties,0,0,0,0.0136986,85,0,0,803
has_maximum,0.0705882,0,0,0.160648,85,0,0,803
has_minItems,0.105882,0,0,0.222914,85,0,0,803
has_minLength,0.0705882,0,0,0.166874,85,0,0,803
has_minProperties,0,0,0,0.0298879,85,0,0,803
has_minimum,0.105882,0,0,0.260274,85,0,0,803
has_multipleOf,0.0117647,0,0,0.0136986,85,0,0,803
has_not,0,0,0,0.0211706,85,0,0,803
has_oneOf,0,0,0,0.215442,85,0,0,803
has_pattern,0.164706,0,0,0.405978,85,0,0,803
has_patternProperties,0,0,0,0.15193,85,0,0,803
has_properties,1,0,0,1,85,0,0,803
has_propertyNames,0,0,0,0.00996264,85,0,0,803
has_ref,0.258824,0,0,0.402242,85,0,0,803
has_required,0.905882,0,0,0.836862,85,0,0,803
has_type,1,0,0,1,85,0,0,803
large_enum,0.164706,0,0,0.386052,85,0,0,803
many_required,0.847059,0,0,0.69863,85,0,0,803
many_properties,0.988235,0,0,0.998755,85,0,0,803
deep_schema,0.6,0,0,0.542964,85,0,0,803
