feature,schemas_with_feature,schemas_without_feature,over_with_feature,over_without_feature,over_denominator_with,over_denominator_without,over_rate_with,over_rate_without,lift,delta,support,global_over_rate,eligible_lift
has_oneOf,173,715,297,1032,297,1196,1,0.862876,1.15891,0.137124,0.19482,0.890154,true
has_patternProperties,122,766,210,1119,210,1283,1,0.872175,1.14656,0.127825,0.137387,0.890154,true
has_boolean_schema,502,386,760,569,808,685,0.940594,0.830657,1.13235,0.109937,0.565315,0.890154,true
has_minProperties,24,864,40,1289,40,1453,1,0.88713,1.12723,0.11287,0.027027,0.890154,true
has_not,17,871,27,1302,27,1466,1,0.888131,1.12596,0.111869,0.0191441,0.890154,true
has_maxProperties,11,877,20,1309,20,1473,1,0.888663,1.12529,0.111337,0.0123874,0.890154,true
has_items,678,210,1035,294,1133,360,0.913504,0.816667,1.11858,0.0968373,0.763514,0.890154,true
has_additionalProperties,524,364,790,539,847,646,0.932704,0.834365,1.11786,0.0983383,0.59009,0.890154,true
has_allOf,53,835,84,1245,86,1407,0.976744,0.884861,1.10384,0.0918828,0.0596847,0.890154,true
large_enum,324,564,491,838,519,974,0.94605,0.86037,1.09959,0.0856805,0.364865,0.890154,true
has_maxItems,69,819,112,1217,116,1377,0.965517,0.883805,1.09245,0.0817119,0.0777027,0.890154,true
has_maxLength,97,791,161,1168,168,1325,0.958333,0.881509,1.08715,0.0768239,0.109234,0.890154,true
has_pattern,340,548,492,837,524,969,0.938931,0.863777,1.08701,0.0751542,0.382883,0.890154,true
has_minItems,188,700,312,1017,329,1164,0.948328,0.873711,1.0854,0.0746169,0.211712,0.890154,true
has_minimum,218,670,352,977,374,1119,0.941176,0.873101,1.07797,0.0680755,0.245495,0.890154,true
has_minLength,140,748,231,1098,244,1249,0.946721,0.879103,1.07692,0.067618,0.157658,0.890154,true
has_ref,345,543,541,788,585,908,0.924786,0.867841,1.06562,0.0569449,0.388514,0.890154,true
has_maximum,135,753,217,1112,232,1261,0.935345,0.88184,1.06067,0.053505,0.152027,0.890154,true
has_defs,362,526,568,761,618,875,0.919094,0.869714,1.05678,0.0493796,0.407658,0.890154,true
has_anyOf,192,696,282,1047,309,1184,0.912621,0.884291,1.03204,0.0283308,0.216216,0.890154,true
has_enum,576,312,842,487,939,554,0.896699,0.879061,1.02006,0.0176372,0.648649,0.890154,true
has_multipleOf,12,876,19,1310,22,1471,0.863636,0.890551,0.969778,-0.0269143,0.0135135,0.890154,true
deep_schema,487,401,692,637,791,702,0.874842,0.907407,0.964112,-0.0325654,0.548423,0.890154,true
has_required,749,139,1090,239,1238,255,0.880452,0.937255,0.939395,-0.0568026,0.843468,0.890154,true
has_default,378,510,517,812,607,886,0.85173,0.916479,0.929351,-0.0647487,0.425676,0.890154,true
many_required,633,255,902,427,1040,453,0.867308,0.942605,0.920118,-0.0752972,0.712838,0.890154,true
has_properties,888,0,1329,0,1493,0,0.890154,0,inf,0.890154,1,0.890154,false
has_type,888,0,1329,0,1493,0,0.890154,0,inf,0.890154,1,0.890154,false
many_properties,886,2,1327,2,1489,4,0.891202,0.5,1.7824,0.391202,0.997748,0.890154,false
has_const,10,878,16,1313,16,1477,1,0.888964,1.1249,0.111036,0.0112613,0.890154,false
has_propertyNames,8,880,12,1317,12,1481,1,0.889264,1.12453,0.110736,0.00900901,0.890154,false
has_exclusiveMinimum,5,883,8,1321,8,1485,1,0.889562,1.12415,0.110438,0.00563063,0.890154,false
has_if_then_else,5,883,7,1322,7,1486,1,0.889637,1.12405,0.110363,0.00563063,0.890154,false
has_content,1,887,2,1327,2,1491,1,0.890007,1.12359,0.109993,0.00112613,0.890154,false
has_exclusiveMaximum,1,887,0,1329,2,1491,0,0.891348,0,-0.891348,0.00112613,0.890154,false
