feature,feature_pair,feature_a,feature_b,n_schemas,support,risk_count,interest_score,timeout_lift,timeout_delta,under_lift,under_delta,over_lift,over_delta,correct,timeout,under,over,correct_n,timeout_n,under_n,over_n
[P] has_properties + has_type,has_properties__AND__has_type,has_properties,has_type,888,1,1,1.05009e+06,0,0,0,0,inf,0.890154,1,0,0,1,85,0,0,803
[P] has_oneOf + has_properties,has_oneOf__AND__has_properties,has_oneOf,has_properties,173,0.19482,1,1.00117e+06,0,0,0,0,1.15891,0.137124,0,0,0,0.215442,85,0,0,803
[P] has_oneOf + has_type,has_oneOf__AND__has_type,has_oneOf,has_type,173,0.19482,1,1.00117e+06,0,0,0,0,1.15891,0.137124,0,0,0,0.215442,85,0,0,803
[P] has_items + has_oneOf,has_items__AND__has_oneOf,has_items,has_oneOf,167,0.188063,1,1.00117e+06,0,0,0,0,1.15709,0.135762,0,0,0,0.20797,85,0,0,803
[P] has_oneOf + has_required,has_oneOf__AND__has_required,has_oneOf,has_required,161,0.181306,1,1.00117e+06,0,0,0,0,1.15589,0.134868,0,0,0,0.200498,85,0,0,803
[P] has_defs + has_oneOf,has_defs__AND__has_oneOf,has_defs,has_oneOf,138,0.155405,1,1.00116e+06,0,0,0,0,1.1506,0.130886,0,0,0,0.171856,85,0,0,803
[P] has_additionalProperties + has_oneOf,has_additionalProperties__AND__has_oneOf,has_additionalProperties,has_oneOf,141,0.158784,1,1.00116e+06,0,0,0,0,1.15018,0.130573,0,0,0,0.175592,85,0,0,803
[P] has_oneOf + has_ref,has_oneOf__AND__has_ref,has_oneOf,has_ref,137,0.154279,1,1.00116e+06,0,0,0,0,1.15018,0.130573,0,0,0,0.17061,85,0,0,803
[P] has_boolean_schema + has_oneOf,has_boolean_schema__AND__has_oneOf,has_boolean_schema,has_oneOf,139,0.156532,0,1162.95,0,0,0,0,1.14991,0.130366,0,0,0,0.173101,85,0,0,803
[P] has_patternProperties + has_properties,has_patternProperties__AND__has_properties,has_patternProperties,has_properties,122,0.137387,0,1159.34,0,0,0,0,1.14656,0.127825,0,0,0,0.15193,85,0,0,803
[P] has_patternProperties + has_type,has_patternProperties__AND__has_type,has_patternProperties,has_type,122,0.137387,0,1159.34,0,0,0,0,1.14656,0.127825,0,0,0,0.15193,85,0,0,803
[P] has_enum + has_oneOf,has_enum__AND__has_oneOf,has_enum,has_oneOf,124,0.13964,0,1158.92,0,0,0,0,1.14617,0.127527,0,0,0,0.154421,85,0,0,803
[P] has_patternProperties + has_required,has_patternProperties__AND__has_required,has_patternProperties,has_required,116,0.130631,0,1157.67,0,0,0,0,1.145,0.126641,0,0,0,0.144458,85,0,0,803
[P] has_additionalProperties + has_patternProperties,has_additionalProperties__AND__has_patternProperties,has_additionalProperties,has_patternProperties,113,0.127252,0,1156.98,0,0,0,0,1.14437,0.126154,0,0,0,0.140722,85,0,0,803
[P] has_items + has_patternProperties,has_items__AND__has_patternProperties,has_items,has_patternProperties,112,0.126126,0,1156.57,0,0,0,0,1.14399,0.125863,0,0,0,0.139477,85,0,0,803
[P] has_boolean_schema + has_patternProperties,has_boolean_schema__AND__has_patternProperties,has_boolean_schema,has_patternProperties,111,0.125,0,1156.57,0,0,0,0,1.14399,0.125863,0,0,0,0.138232,85,0,0,803
[P] has_defs + has_patternProperties,has_defs__AND__has_patternProperties,has_defs,has_patternProperties,92,0.103604,0,1152.34,0,0,0,0,1.14005,0.122846,0,0,0,0.11457,85,0,0,803
[P] has_patternProperties + has_ref,has_patternProperties__AND__has_ref,has_patternProperties,has_ref,92,0.103604,0,1152.21,0,0,0,0,1.13993,0.122754,0,0,0,0.11457,85,0,0,803
[P] has_enum + has_patternProperties,has_enum__AND__has_patternProperties,has_enum,has_patternProperties,85,0.0957207,0,1150.68,0,0,0,0,1.13851,0.121662,0,0,0,0.105853,85,0,0,803
[P] has_oneOf + has_pattern,has_oneOf__AND__has_pattern,has_oneOf,has_pattern,76,0.0855856,0,1148.2,0,0,0,0,1.13621,0.119883,0,0,0,0.0946451,85,0,0,803
