feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,over_with_pair,over_without_pair,over_denominator_with,over_denominator_without,over_rate_with,over_rate_without,lift,delta,eligible_lift
has_oneOf__AND__has_properties,has_oneOf,has_properties,173,715,0.19482,297,1032,297,1196,1,0.862876,1.15891,0.137124,true
has_oneOf__AND__has_type,has_oneOf,has_type,173,715,0.19482,297,1032,297,1196,1,0.862876,1.15891,0.137124,true
has_items__AND__has_oneOf,has_items,has_oneOf,167,721,0.188063,285,1044,285,1208,1,0.864238,1.15709,0.135762,true
has_oneOf__AND__has_required,has_oneOf,has_required,161,727,0.181306,277,1052,277,1216,1,0.865132,1.15589,0.134868,true
has_defs__AND__has_oneOf,has_defs,has_oneOf,138,750,0.155405,240,1089,240,1253,1,0.869114,1.1506,0.130886,true
has_additionalProperties__AND__has_oneOf,has_additionalProperties,has_oneOf,141,747,0.158784,237,1092,237,1256,1,0.869427,1.15018,0.130573,true
has_oneOf__AND__has_ref,has_oneOf,has_ref,137,751,0.154279,237,1092,237,1256,1,0.869427,1.15018,0.130573,true
has_boolean_schema__AND__has_oneOf,has_boolean_schema,has_oneOf,139,749,0.156532,235,1094,235,1258,1,0.869634,1.14991,0.130366,true
has_patternProperties__AND__has_properties,has_patternProperties,has_properties,122,766,0.137387,210,1119,210,1283,1,0.872175,1.14656,0.127825,true
has_patternProperties__AND__has_type,has_patternProperties,has_type,122,766,0.137387,210,1119,210,1283,1,0.872175,1.14656,0.127825,true
has_enum__AND__has_oneOf,has_enum,has_oneOf,124,764,0.13964,207,1122,207,1286,1,0.872473,1.14617,0.127527,true
has_patternProperties__AND__has_required,has_patternProperties,has_required,116,772,0.130631,198,1131,198,1295,1,0.873359,1.145,0.126641,true
has_additionalProperties__AND__has_patternProperties,has_additionalProperties,has_patternProperties,113,775,0.127252,193,1136,193,1300,1,0.873846,1.14437,0.126154,true
has_items__AND__has_patternProperties,has_items,has_patternProperties,112,776,0.126126,190,1139,190,1303,1,0.874137,1.14399,0.125863,true
has_boolean_schema__AND__has_patternProperties,has_boolean_schema,has_patternProperties,111,777,0.125,190,1139,190,1303,1,0.874137,1.14399,0.125863,true
has_defs__AND__has_patternProperties,has_defs,has_patternProperties,92,796,0.103604,158,1171,158,1335,1,0.877154,1.14005,0.122846,true
has_patternProperties__AND__has_ref,has_patternProperties,has_ref,92,796,0.103604,157,1172,157,1336,1,0.877246,1.13993,0.122754,true
has_enum__AND__has_patternProperties,has_enum,has_patternProperties,85,803,0.0957207,145,1184,145,1348,1,0.878338,1.13851,0.121662,true
has_oneOf__AND__has_pattern,has_oneOf,has_pattern,76,812,0.0855856,125,1204,125,1368,1,0.880117,1.13621,0.119883,true
has_oneOf__AND__has_patternProperties,has_oneOf,has_patternProperties,74,814,0.0833333,124,1205,124,1369,1,0.880205,1.1361,0.119795,true
has_anyOf__AND__has_oneOf,has_anyOf,has_oneOf,67,821,0.0754505,112,1217,112,1381,1,0.881245,1.13476,0.118755,true
has_minimum__AND__has_oneOf,has_minimum,has_oneOf,60,828,0.0675676,107,1222,107,1386,1,0.881674,1.13421,0.118326,true
has_anyOf__AND__has_patternProperties,has_anyOf,has_patternProperties,57,831,0.0641892,99,1230,99,1394,1,0.882353,1.13333,0.117647,true
has_minItems__AND__has_oneOf,has_minItems,has_oneOf,57,831,0.0641892,97,1232,97,1396,1,0.882521,1.13312,0.117479,true
has_pattern__AND__has_patternProperties,has_pattern,has_patternProperties,58,830,0.0653153,96,1233,96,1397,1,0.882606,1.13301,0.117394,true
has_minimum__AND__has_patternProperties,has_minimum,has_patternProperties,51,837,0.0574324,93,1236,93,1400,1,0.882857,1.13269,0.117143,true
