feature_pair,feature_a,feature_b,n_schemas,support,timeout_rate,under_rate,over_rate
has_properties__AND__has_type,has_properties,has_type,888,1,0,0,0.890154
has_properties__AND__has_required,has_properties,has_required,749,0.843468,0,0,0.880452
has_required__AND__has_type,has_required,has_type,749,0.843468,0,0,0.880452
has_items__AND__has_properties,has_items,has_properties,678,0.763514,0,0,0.913504
has_items__AND__has_type,has_items,has_type,678,0.763514,0,0,0.913504
has_items__AND__has_required,has_items,has_required,598,0.673423,0,0,0.906788
has_enum__AND__has_properties,has_enum,has_properties,576,0.648649,0,0,0.896699
has_enum__AND__has_type,has_enum,has_type,576,0.648649,0,0,0.896699
has_additionalProperties__AND__has_properties,has_additionalProperties,has_properties,524,0.59009,0,0,0.932704
has_additionalProperties__AND__has_type,has_additionalProperties,has_type,524,0.59009,0,0,0.932704
has_boolean_schema__AND__has_properties,has_boolean_schema,has_properties,502,0.565315,0,0,0.940594
has_boolean_schema__AND__has_type,has_boolean_schema,has_type,502,0.565315,0,0,0.940594
has_additionalProperties__AND__has_boolean_schema,has_additionalProperties,has_boolean_schema,500,0.563063,0,0,0.940373
has_enum__AND__has_required,has_enum,has_required,499,0.561937,0,0,0.880653
has_additionalProperties__AND__has_items,has_additionalProperties,has_items,487,0.548423,0,0,0.930025
has_additionalProperties__AND__has_required,has_additionalProperties,has_required,472,0.531532,0,0,0.932271
has_boolean_schema__AND__has_items,has_boolean_schema,has_items,467,0.525901,0,0,0.938748
has_boolean_schema__AND__has_required,has_boolean_schema,has_required,457,0.51464,0,0,0.939477
has_enum__AND__has_items,has_enum,has_items,447,0.503378,0,0,0.921897
has_default__AND__has_properties,has_default,has_properties,378,0.425676,0,0,0.85173
has_default__AND__has_type,has_default,has_type,378,0.425676,0,0,0.85173
has_additionalProperties__AND__has_enum,has_additionalProperties,has_enum,373,0.420045,0,0,0.93482
has_boolean_schema__AND__has_enum,has_boolean_schema,has_enum,362,0.407658,0,0,0.94306
has_defs__AND__has_properties,has_defs,has_properties,362,0.407658,0,0,0.919094
has_defs__AND__has_type,has_defs,has_type,362,0.407658,0,0,0.919094
has_properties__AND__has_ref,has_properties,has_ref,345,0.388514,0,0,0.924786
has_ref__AND__has_type,has_ref,has_type,345,0.388514,0,0,0.924786
has_defs__AND__has_ref,has_defs,has_ref,341,0.384009,0,0,0.927461
has_pattern__AND__has_properties,has_pattern,has_properties,340,0.382883,0,0,0.938931
has_pattern__AND__has_type,has_pattern,has_type,340,0.382883,0,0,0.938931
has_defs__AND__has_items,has_defs,has_items,336,0.378378,0,0,0.921191
has_default__AND__has_required,has_default,has_required,335,0.377252,0,0,0.838041
has_items__AND__has_ref,has_items,has_ref,322,0.362613,0,0,0.924632
has_pattern__AND__has_required,has_pattern,has_required,318,0.358108,0,0,0.938272
has_defs__AND__has_required,has_defs,has_required,317,0.356982,0,0,0.914498
has_items__AND__has_pattern,has_items,has_pattern,309,0.347973,0,0,0.936306
has_ref__AND__has_required,has_ref,has_required,307,0.345721,0,0,0.922929
has_default__AND__has_enum,has_default,has_enum,278,0.313063,0,0,0.836735
