feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,timeout_with_pair,timeout_without_pair,timeout_denominator_with,timeout_denominator_without,timeout_rate_with,timeout_rate_without,lift,delta,eligible_lift
has_properties__AND__has_required,has_properties,has_required,749,139,0.843468,0,0,749,139,0,0,0,0,true
has_required__AND__has_type,has_required,has_type,749,139,0.843468,0,0,749,139,0,0,0,0,true
has_items__AND__has_properties,has_items,has_properties,678,210,0.763514,0,0,678,210,0,0,0,0,true
has_items__AND__has_type,has_items,has_type,678,210,0.763514,0,0,678,210,0,0,0,0,true
has_items__AND__has_required,has_items,has_required,598,290,0.673423,0,0,598,290,0,0,0,0,true
has_enum__AND__has_properties,has_enum,has_properties,576,312,0.648649,0,0,576,312,0,0,0,0,true
has_enum__AND__has_type,has_enum,has_type,576,312,0.648649,0,0,576,312,0,0,0,0,true
has_additionalProperties__AND__has_properties,has_additionalProperties,has_properties,524,364,0.59009,0,0,524,364,0,0,0,0,true
has_additionalProperties__AND__has_type,has_additionalProperties,has_type,524,364,0.59009,0,0,524,364,0,0,0,0,true
has_boolean_schema__AND__has_properties,has_boolean_schema,has_properties,502,386,0.565315,0,0,502,386,0,0,0,0,true
has_boolean_schema__AND__has_type,has_boolean_schema,has_type,502,386,0.565315,0,0,502,386,0,0,0,0,true
has_additionalProperties__AND__has_boolean_schema,has_additionalProperties,has_boolean_schema,500,388,0.563063,0,0,500,388,0,0,0,0,true
has_enum__AND__has_required,has_enum,has_required,499,389,0.561937,0,0,499,389,0,0,0,0,true
has_additionalProperties__AND__has_items,has_additionalProperties,has_items,487,401,0.548423,0,0,487,401,0,0,0,0,true
has_additionalProperties__AND__has_required,has_additionalProperties,has_required,472,416,0.531532,0,0,472,416,0,0,0,0,true
has_boolean_schema__AND__has_items,has_boolean_schema,has_items,467,421,0.525901,0,0,467,421,0,0,0,0,true
has_boolean_schema__AND__has_required,has_boolean_schema,has_required,457,431,0.51464,0,0,457,431,0,0,0,0,true
has_enum__AND__has_items,has_enum,has_items,447,441,0.503378,0,0,447,441,0,0,0,0,true
has_default__AND__has_properties,has_default,has_properties,378,510,0.425676,0,0,378,510,0,0,0,0,true
has_default__AND__has_type,has_default,has_type,378,510,0.425676,0,0,378,510,0,0,0,0,true
has_additionalProperties__AND__has_enum,has_additionalProperties,has_enum,373,515,0.420045,0,0,373,515,0,0,0,0,true
has_boolean_schema__AND__has_enum,has_boolean_schema,has_enum,362,526,0.407658,0,0,362,526,0,0,0,0,true
has_defs__AND__has_properties,has_defs,has_properties,362,526,0.407658,0,0,362,526,0,0,0,0,true
has_defs__AND__has_type,has_defs,has_type,362,526,0.407658,0,0,362,526,0,0,0,0,true
has_properties__AND__has_ref,has_properties,has_ref,345,543,0.388514,0,0,345,543,0,0,0,0,true
has_ref__AND__has_type,has_ref,has_type,345,543,0.388514,0,0,345,543,0,0,0,0,true
has_defs__AND__has_ref,has_defs,has_ref,341,547,0.384009,0,0,341,547,0,0,0,0,true
has_pattern__AND__has_properties,has_pattern,has_properties,340,548,0.382883,0,0,340,548,0,0,0,0,true
has_pattern__AND__has_type,has_pattern,has_type,340,548,0.382883,0,0,340,548,0,0,0,0,true
has_defs__AND__has_items,has_defs,has_items,336,552,0.378378,0,0,336,552,0,0,0,0,true
has_default__AND__has_required,has_default,has_required,335,553,0.377252,0,0,335,553,0,0,0,0,true
has_items__AND__has_ref,has_items,has_ref,322,566,0.362613,0,0,322,566,0,0,0,0,true
has_pattern__AND__has_required,has_pattern,has_required,318,570,0.358108,0,0,318,570,0,0,0,0,true
has_defs__AND__has_required,has_defs,has_required,317,571,0.356982,0,0,317,571,0,0,0,0,true
has_items__AND__has_pattern,has_items,has_pattern,309,579,0.347973,0,0,309,579,0,0,0,0,true
has_ref__AND__has_required,has_ref,has_required,307,581,0.345721,0,0,307,581,0,0,0,0,true
has_default__AND__has_enum,has_default,has_enum,278,610,0.313063,0,0,278,610,0,0,0,0,true
has_additionalProperties__AND__has_defs,has_additionalProperties,has_defs,272,616,0.306306,0,0,272,616,0,0,0,0,true
has_additionalProperties__AND__has_pattern,has_additionalProperties,has_pattern,269,619,0.302928,0,0,269,619,0,0,0,0,true
has_additionalProperties__AND__has_ref,has_additionalProperties,has_ref,266,622,0.29955,0,0,266,622,0,0,0,0,true
has_enum__AND__has_pattern,has_enum,has_pattern,266,622,0.29955,0,0,266,622,0,0,0,0,true
has_boolean_schema__AND__has_pattern,has_boolean_schema,has_pattern,265,623,0.298423,0,0,265,623,0,0,0,0,true
has_boolean_schema__AND__has_defs,has_boolean_schema,has_defs,257,631,0.289414,0,0,257,631,0,0,0,0,true
has_boolean_schema__AND__has_ref,has_boolean_schema,has_ref,250,638,0.281532,0,0,250,638,0,0,0,0,true
has_default__AND__has_items,has_default,has_items,247,641,0.278153,0,0,247,641,0,0,0,0,true
has_defs__AND__has_enum,has_defs,has_enum,237,651,0.266892,0,0,237,651,0,0,0,0,true
has_enum__AND__has_ref,has_enum,has_ref,237,651,0.266892,0,0,237,651,0,0,0,0,true
has_minimum__AND__has_properties,has_minimum,has_properties,218,670,0.245495,0,0,218,670,0,0,0,0,true
has_minimum__AND__has_type,has_minimum,has_type,218,670,0.245495,0,0,218,670,0,0,0,0,true
has_additionalProperties__AND__has_default,has_additionalProperties,has_default,212,676,0.238739,0,0,212,676,0,0,0,0,true
has_minimum__AND__has_required,has_minimum,has_required,207,681,0.233108,0,0,207,681,0,0,0,0,true
has_boolean_schema__AND__has_default,has_boolean_schema,has_default,204,684,0.22973,0,0,204,684,0,0,0,0,true
has_anyOf__AND__has_properties,has_anyOf,has_properties,192,696,0.216216,0,0,192,696,0,0,0,0,true
has_anyOf__AND__has_type,has_anyOf,has_type,192,696,0.216216,0,0,192,696,0,0,0,0,true
has_items__AND__has_minItems,has_items,has_minItems,188,700,0.211712,0,0,188,700,0,0,0,0,true
has_minItems__AND__has_properties,has_minItems,has_properties,188,700,0.211712,0,0,188,700,0,0,0,0,true
has_minItems__AND__has_type,has_minItems,has_type,188,700,0.211712,0,0,188,700,0,0,0,0,true
has_anyOf__AND__has_items,has_anyOf,has_items,184,704,0.207207,0,0,184,704,0,0,0,0,true
has_minItems__AND__has_required,has_minItems,has_required,181,707,0.203829,0,0,181,707,0,0,0,0,true
has_oneOf__AND__has_properties,has_oneOf,has_properties,173,715,0.19482,0,0,173,715,0,0,0,0,true
has_oneOf__AND__has_type,has_oneOf,has_type,173,715,0.19482,0,0,173,715,0,0,0,0,true
has_anyOf__AND__has_required,has_anyOf,has_required,171,717,0.192568,0,0,171,717,0,0,0,0,true
has_items__AND__has_oneOf,has_items,has_oneOf,167,721,0.188063,0,0,167,721,0,0,0,0,true
