feature,schemas_with_feature,schemas_without_feature,timeout_with_feature,timeout_without_feature,timeout_rate_with,timeout_rate_without,lift,support,global_timeout_rate
has_additionalProperties,524,364,0,0,0,0,0,0.59009,0
has_allOf,53,835,0,0,0,0,0,0.0596847,0
has_anyOf,192,696,0,0,0,0,0,0.216216,0
has_boolean_schema,502,386,0,0,0,0,0,0.565315,0
has_const,10,878,0,0,0,0,0,0.0112613,0
has_content,1,887,0,0,0,0,0,0.00112613,0
has_default,378,510,0,0,0,0,0,0.425676,0
has_defs,362,526,0,0,0,0,0,0.407658,0
has_enum,576,312,0,0,0,0,0,0.648649,0
has_exclusiveMaximum,1,887,0,0,0,0,0,0.00112613,0
has_exclusiveMinimum,5,883,0,0,0,0,0,0.00563063,0
has_if_then_else,5,883,0,0,0,0,0,0.00563063,0
has_items,678,210,0,0,0,0,0,0.763514,0
has_maxItems,69,819,0,0,0,0,0,0.0777027,0
has_maxLength,97,791,0,0,0,0,0,0.109234,0
has_maxProperties,11,877,0,0,0,0,0,0.0123874,0
has_maximum,135,753,0,0,0,0,0,0.152027,0
has_minItems,188,700,0,0,0,0,0,0.211712,0
has_minLength,140,748,0,0,0,0,0,0.157658,0
has_minProperties,24,864,0,0,0,0,0,0.027027,0
has_minimum,218,670,0,0,0,0,0,0.245495,0
has_multipleOf,12,876,0,0,0,0,0,0.0135135,0
has_not,17,871,0,0,0,0,0,0.0191441,0
has_oneOf,173,715,0,0,0,0,0,0.19482,0
has_pattern,340,548,0,0,0,0,0,0.382883,0
has_patternProperties,122,766,0,0,0,0,0,0.137387,0
has_properties,888,0,0,0,0,0,0,1,0
has_propertyNames,8,880,0,0,0,0,0,0.00900901,0
has_ref,345,543,0,0,0,0,0,0.388514,0
has_required,749,139,0,0,0,0,0,0.843468,0
has_type,888,0,0,0,0,0,0,1,0
large_enum,324,564,0,0,0,0,0,0.364865,0
many_required,633,255,0,0,0,0,0,0.712838,0
many_properties,886,2,0,0,0,0,0,0.997748,0
deep_schema,487,401,0,0,0,0,0,0.548423,0
