feature,schemas_with_feature,schemas_without_feature,under_with_feature,under_without_feature,under_denominator_with,under_denominator_without,under_rate_with,under_rate_without,lift,delta,support,global_under_rate,eligible_lift
has_additionalProperties,524,364,0,0,2491,914,0,0,0,0,0.59009,0,true
has_allOf,53,835,0,0,252,3153,0,0,0,0,0.0596847,0,true
has_anyOf,192,696,0,0,1032,2373,0,0,0,0,0.216216,0,true
has_boolean_schema,502,386,0,0,2413,992,0,0,0,0,0.565315,0,true
has_const,10,878,0,0,60,3345,0,0,0,0,0.0112613,0,true
has_default,378,510,0,0,1487,1918,0,0,0,0,0.425676,0,true
has_defs,362,526,0,0,1574,1831,0,0,0,0,0.407658,0,true
has_enum,576,312,0,0,2300,1105,0,0,0,0,0.648649,0,true
has_exclusiveMinimum,5,883,0,0,21,3384,0,0,0,0,0.00563063,0,true
has_if_then_else,5,883,0,0,30,3375,0,0,0,0,0.00563063,0,true
has_items,678,210,0,0,2935,470,0,0,0,0,0.763514,0,true
has_maxItems,69,819,0,0,364,3041,0,0,0,0,0.0777027,0,true
has_maxLength,97,791,0,0,519,2886,0,0,0,0,0.109234,0,true
has_maxProperties,11,877,0,0,58,3347,0,0,0,0,0.0123874,0,true
has_maximum,135,753,0,0,686,2719,0,0,0,0,0.152027,0,true
has_minItems,188,700,0,0,962,2443,0,0,0,0,0.211712,0,true
has_minLength,140,748,0,0,705,2700,0,0,0,0,0.157658,0,true
has_minProperties,24,864,0,0,118,3287,0,0,0,0,0.027027,0,true
has_minimum,218,670,0,0,1108,2297,0,0,0,0,0.245495,0,true
has_multipleOf,12,876,0,0,56,3349,0,0,0,0,0.0135135,0,true
has_not,17,871,0,0,97,3308,0,0,0,0,0.0191441,0,true
has_oneOf,173,715,0,0,634,2771,0,0,0,0,0.19482,0,true
has_pattern,340,548,0,0,1810,1595,0,0,0,0,0.382883,0,true
has_patternProperties,122,766,0,0,515,2890,0,0,0,0,0.137387,0,true
has_propertyNames,8,880,0,0,45,3360,0,0,0,0,0.00900901,0,true
has_ref,345,543,0,0,1513,1892,0,0,0,0,0.388514,0,true
has_required,749,139,0,0,3054,351,0,0,0,0,0.843468,0,true
large_enum,324,564,0,0,1297,2108,0,0,0,0,0.364865,0,true
many_required,633,255,0,0,2643,762,0,0,0,0,0.712838,0,true
deep_schema,487,401,0,0,1940,1465,0,0,0,0,0.548423,0,true
has_content,1,887,0,0,2,3403,0,0,0,0,0.00112613,0,false
has_exclusiveMaximum,1,887,0,0,4,3401,0,0,0,0,0.00112613,0,false
has_properties,888,0,0,0,3405,0,0,0,0,0,1,0,false
has_type,888,0,0,0,3405,0,0,0,0,0,1,0,false
many_properties,886,2,0,0,3403,2,0,0,0,0,0.997748,0,false
