characteristic,bucket,n_schemas,value_min,value_max,schemas_with_under_rate,schemas_with_over_rate,under_test_rate,over_test_rate,timeout_schema_rate
schema_json_chars,q1_low,222,683,2644,0,0.765766,0,0.731707,0
schema_json_chars,q2_mid_low,222,2652,3880,0,0.927928,0,0.918421,0
schema_json_chars,q3_mid_high,222,3892,6284,0,0.954955,0,0.952128,0
schema_json_chars,q4_high,222,6300,44035,0,0.968468,0,0.956522,0
schema_file_bytes,q1_low,222,2531,15600,0,0.797297,0,0.792651,0
schema_file_bytes,q2_mid_low,222,15612,22689,0,0.923423,0,0.897849,0
schema_file_bytes,q3_mid_high,222,22709,33080,0,0.923423,0,0.914835,0
schema_file_bytes,q4_high,222,33109,212170,0,0.972973,0,0.957447,0
nb_keywords,q1_low,231,25,85,0,0.792208,0,0.763021,0
nb_keywords,q2_mid_low,213,86,114,0,0.915493,0,0.89916,0
nb_keywords,q3_mid_high,224,115,177,0,0.955357,0,0.955844,0
nb_keywords,q4_high,220,179,1009,0,0.959091,0,0.945504,0
nb_properties,q1_low,238,8,29,0,0.794118,0,0.764706,0
nb_properties,q2_mid_low,211,30,39,0,0.938389,0,0.918841,0
nb_properties,q3_mid_high,218,40,63,0,0.93578,0,0.93188,0
nb_properties,q4_high,221,64,411,0,0.959276,0,0.959786,0
nb_required,q1_low,236,0,3,0,0.949153,0,0.943262,0
nb_required,q2_mid_low,211,4,11,0,0.881517,0,0.866667,0
nb_required,q3_mid_high,225,12,21,0,0.84,0,0.801724,0
nb_required,q4_high,216,22,146,0,0.944444,0,0.936464,0
schema_depth,q1_low,271,2,6,0,0.907749,0,0.901261,0
schema_depth,q2_mid_low,304,7,8,0,0.875,0,0.862205,0
schema_depth,q3_mid_high,104,9,9,0,0.913462,0,0.869565,0
schema_depth,q4_high,209,10,22,0,0.937799,0,0.925287,0
nb_branches_combinators,q1_low,577,0,0,0,0.873484,0,0.862104,0
nb_branches_combinators,q2_mid_low,0,,,0,0,0,0,0
nb_branches_combinators,q3_mid_high,129,1,4,0,0.922481,0,0.896226,0
nb_branches_combinators,q4_high,182,5,249,0,0.989011,0,0.976821,0
nb_enum_values,q1_low,312,0,0,0,0.887821,0,0.879061,0
nb_enum_values,q2_mid_low,145,1,4,0,0.848276,0,0.820833,0
nb_enum_values,q3_mid_high,222,5,15,0,0.918919,0,0.905405,0
nb_enum_values,q4_high,209,16,673,0,0.952153,0,0.942249,0
nb_regex,q1_low,484,0,0,0,0.853306,0,0.845614,0
nb_regex,q2_mid_low,0,,,0,0,0,0,0
nb_regex,q3_mid_high,233,1,3,0,0.965665,0,0.937322,0
nb_regex,q4_high,171,4,32,0,0.964912,0,0.965157,0
n_tests,q1_low,357,1,4,0,0.865546,0,0.861614,0
n_tests,q2_mid_low,150,5,5,0,0.913333,0,0.9,0
n_tests,q3_mid_high,210,6,7,0,0.947619,0,0.921739,0
n_tests,q4_high,171,8,16,0,0.923977,0,0.903915,0
mean_num_tokens,q1_low,159,28.375,246.2,0,0.72327,0,0.69697,0
mean_num_tokens,q2_mid_low,158,249.167,332.1,0,0.848101,0,0.802469,0
mean_num_tokens,q3_mid_high,158,332.125,488.333,0,0.955696,0,0.940299,0
mean_num_tokens,q4_high,158,490,1528.33,0,0.936709,0,0.927007,0
