dataset_id,framework_id,schema_id,n_tests,n_valid_tests,n_invalid_tests,n_valid_completed,n_invalid_completed,n_completed,n_timeout,timeout_status,timeout_stage,timeout_elapsed_s,compile_grammar_s,validation_loop_mean_s,compute_mask_mean_s,commit_token_mean_s,schema_file_bytes,schema_json_chars,mean_instance_json_chars,mean_num_tokens,max_num_tokens,n_correct_accept,n_correct_reject,n_under_constraint,n_over_constraint,under_rate,over_rate,timeout_rate,coverage_rate,accuracy_completed,permissive_score,has_additionalProperties,has_allOf,has_anchor,has_anyOf,has_boolean_schema,has_const,has_contains,has_content,has_default,has_defs,has_dependentRequired,has_dependentSchemas,has_dynamicRef,has_enum,has_exclusiveMaximum,has_exclusiveMinimum,has_if_then_else,has_infinite_loop_detection,has_items,has_maxContains,has_maxItems,has_maxLength,has_maxProperties,has_maximum,has_minContains,has_minItems,has_minLength,has_minProperties,has_minimum,has_multipleOf,has_not,has_oneOf,has_pattern,has_patternProperties,has_prefixItems,has_properties,has_propertyNames,has_ref,has_required,has_type,has_unevaluatedItems,has_unevaluatedProperties,has_uniqueItems,nb_keywords,nb_properties,nb_required,schema_depth,nb_branches_combinators,nb_enum_values,nb_regex,large_enum,many_required,many_properties,deep_schema
Github_hard,guidance,Github_hard---o10421.json,2,2,0,2,0,2,0,completed,,,0.000588,,,,25459,8785,,,,0,0,0,2,0,1,0,1,0,-1,true,false,false,true,true,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,true,false,false,true,false,true,true,true,false,false,false,213,63,3,7,32,8,2,false,false,true,false
Github_hard,guidance,Github_hard---o10495.json,2,2,0,2,0,2,0,completed,,,0.002452,0.010743,0.00966,0.000693,11823,6019,544,218.5,222,0,0,0,2,0,1,0,1,0,-1,true,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,true,false,false,false,104,33,0,5,4,0,0,false,false,true,false
Github_hard,guidance,Github_hard---o10499.json,12,1,11,1,11,12,0,completed,,,0.003892,0.000941583,0.00087125,4.025e-05,27282,6771,425.917,122,496,1,11,0,0,0,0,0,1,1,0,true,false,false,true,true,false,false,false,true,true,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,true,true,false,false,false,166,73,9,9,2,25,6,true,true,true,true
Github_hard,guidance,Github_hard---o1051.json,5,2,3,2,3,5,0,completed,,,0.000384,,,,13374,3305,,,,0,3,0,2,0,1,0,1,0.6,-1,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,true,false,false,false,97,28,0,4,0,11,4,true,false,true,false
Github_hard,guidance,Github_hard---o10515.json,2,2,0,2,0,2,0,completed,,,0.000561,,,,22842,8812,,,,0,0,0,2,0,1,0,1,0,-1,true,false,false,true,true,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,true,false,false,true,false,true,true,true,false,false,false,215,63,3,7,32,8,2,false,false,true,false
Github_hard,guidance,Github_hard---o1052.json,6,2,4,2,4,6,0,completed,,,0.000373,,,,17619,3854,,,,0,4,0,2,0,1,0,1,0.666667,-1,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,true,true,false,false,false,120,26,2,4,0,14,5,true,false,true,false
Github_hard,guidance,Github_hard---o10532.json,13,2,11,2,11,13,0,completed,,,0.006763,0.00409169,0.00376938,0.000166,43357,3200,1203.08,362.385,391,0,11,0,2,0,1,0,1,0.846154,-1,true,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,true,false,true,true,true,false,false,false,126,49,25,8,0,0,7,false,true,true,true
Github_hard,guidance,Github_hard---o1184.json,3,1,2,1,2,3,0,completed,,,0.006403,,,,27685,7604,,,,0,2,0,1,0,1,0,1,0.666667,-1,false,true,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false,true,false,false,true,false,true,false,false,true,false,false,true,false,false,false,true,false,true,true,true,false,false,false,262,123,51,8,24,88,0,true,true,true,true
Github_hard,guidance,Github_hard---o12278.json,7,2,5,2,5,7,0,completed,,,0.000556,,,,22585,3821,,,,0,5,0,2,0,1,0,1,0.714286,-1,true,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,true,true,false,false,true,false,false,true,true,false,false,false,102,28,1,7,9,0,12,false,false,true,false
Github_hard,guidance,Github_hard---o12281.json,5,2,3,2,3,5,0,completed,,,0.002712,0.0018234,0.0016146,9.84e-05,18101,4895,668.4,243.4,293,0,3,0,2,0,1,0,1,0.6,-1,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,true,false,false,true,false,true,false,false,true,false,false,false,false,false,false,true,false,false,true,true,false,false,false,123,30,22,9,2,3,0,false,true,true,true
Github_hard,guidance,Github_hard---o12291.json,4,2,2,2,2,4,0,completed,,,0.004204,0.015952,0.0145305,0.000883,22230,2701,1607.75,504,507,2,2,0,0,0,0,0,1,1,0,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,true,false,false,false,116,70,2,11,0,2,0,false,false,true,true
Github_hard,guidance,Github_hard---o12335.json,5,1,4,1,4,5,0,completed,,,0.000537,,,,43176,12941,,,,0,4,0,1,0,1,0,1,0.8,-1,true,false,false,false,true,false,false,false,true,true,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,true,true,true,false,false,false,210,57,13,7,0,43,19,true,true,true,false
Github_hard,guidance,Github_hard---o12337.json,5,2,3,2,3,5,0,completed,,,0.000751,,,,59866,17239,,,,0,3,0,2,0,1,0,1,0.6,-1,true,false,false,false,true,false,false,false,true,true,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,true,true,true,false,false,false,303,92,5,6,0,43,22,true,true,true,false
Github_hard,guidance,Github_hard---o12346.json,4,2,2,2,2,4,0,completed,,,0.001912,0.0082695,0.0074625,0.00045675,9769,2550,868.25,323,330,0,2,0,2,0,1,0,1,0.5,-1,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,true,false,false,false,79,31,9,2,0,0,0,false,true,true,false
Github_hard,guidance,Github_hard---o12459.json,5,1,4,1,4,5,0,completed,,,0.000471,,,,46203,7657,,,,0,4,0,1,0,1,0,1,0.8,-1,true,true,false,true,true,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,true,true,true,true,false,false,false,167,50,32,16,13,48,3,true,true,true,true
Github_hard,guidance,Github_hard---o12460.json,7,1,6,1,6,7,0,completed,,,0.000491,,,,54030,9131,,,,0,6,0,1,0,1,0,1,0.857143,-1,true,true,false,true,true,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,true,true,true,true,true,false,false,false,192,60,39,16,14,49,3,true,true,true,true
Github_hard,guidance,Github_hard---o12477.json,4,1,3,1,3,4,0,completed,,,0.003228,0.0130408,0.011985,0.00055,22889,7850,922,282.25,300,1,3,0,0,0,0,0,1,1,0,true,false,false,false,true,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,true,false,false,false,237,66,6,7,0,4,0,false,true,true,false
Github_hard,guidance,Github_hard---o12498.json,3,1,2,1,2,3,0,completed,,,0.000461,,,,21773,8381,,,,0,2,0,1,0,1,0,1,0.666667,-1,true,false,false,false,false,false,false,false,true,true,false,false,false,true,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,true,true,false,false,false,229,53,1,6,0,30,1,true,false,true,false
Github_hard,guidance,Github_hard---o12499.json,5,2,3,2,3,5,0,completed,,,0.000527,,,,36071,9973,,,,0,3,0,2,0,1,0,1,0.6,-1,true,false,false,false,true,false,false,false,true,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,true,false,true,false,true,false,false,false,307,70,0,7,0,0,2,false,false,true,false
Github_hard,guidance,Github_hard---o12613.json,6,2,4,2,4,6,0,completed,,,0.000355,,,,24000,4393,,,,0,4,0,2,0,1,0,1,0.666667,-1,true,false,false,true,true,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false,false,true,false,true,false,false,true,false,true,false,false,false,true,true,false,true,false,true,true,true,false,false,false,139,40,2,9,4,9,4,false,false,true,true
Github_hard,guidance,Github_hard---o12958.json,13,2,11,2,11,13,0,completed,,,0.001763,0.00403262,0.00360938,0.000211692,44313,8067,841,260.615,440,0,11,0,2,0,1,0,1,0.846154,-1,true,false,false,true,true,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,true,false,true,true,true,false,false,false,159,42,10,7,6,8,0,false,true,true,false
Github_hard,guidance,Github_hard---o12972.json,5,2,3,2,3,5,0,completed,,,0.001291,,,,26513,6793,,,,0,3,0,2,0,1,0,1,0.6,-1,true,false,false,false,true,false,false,false,true,true,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,true,false,false,true,false,false,true,true,false,false,true,false,true,true,true,false,false,false,156,47,6,7,2,8,2,false,true,true,false
Github_hard,guidance,Github_hard---o12978.json,7,2,5,2,5,7,0,completed,,,0.001685,0.00731371,0.00659743,0.000374714,25965,5727,1151.86,308.286,323,2,5,0,0,0,0,0,1,1,0,true,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,true,true,false,false,false,124,33,9,5,0,10,1,true,true,true,false
Github_hard,guidance,Github_hard---o12985.json,2,2,0,2,0,2,0,completed,,,0.002233,0.010649,0.0099815,0.000315,10074,4257,1437,416,418,0,0,0,2,0,1,0,1,0,-1,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,80,36,0,4,0,6,0,false,false,true,false
