cause,schema_count,test_count
keyword: patternProperties,108,535
keyword: oneOf,54,238
format: uri,47,216
format: path,37,95
keyword: minProperties,25,123
keyword: dependencies,21,98
format: topic,16,35
format: url,13,72
keyword: not,11,47
keyword: maxProperties,7,34
other compile error,6,18
regex: lookaround unsupported,5,35
keyword: propertyNames,2,14
format: defFile,2,10
format: uri-reference,2,9
format: mongoId,2,7
format: css-color,2,6
format: html-selector,2,5
format: ipandport,1,9
keyword: if,1,7
keyword: then,1,7
format: ^\d{4}-\d{2}-\d{2}$,1,6
format: country-code,1,5
format: chickenbutt,1,4
format: full-date,1,4
format: partial-date,1,4
format: animationFile,1,3
format: code,1,3
format: feed-onestop-id,1,3
format: cidr,1,2
format: date-type,1,2
format: datetime,1,2
format: semver,1,2
