feature,correct,timeout,under,over,correct_n,timeout_n,under_n,over_n
has_additionalProperties,0.431034,0,0,0.479765,464,0,0,1359
has_allOf,0.00862069,0,0,0.0279617,464,0,0,1359
has_anyOf,0.0625,0,0,0.0463576,464,0,0,1359
has_boolean_schema,0.411638,0,0,0.466519,464,0,0,1359
has_const,0.00646552,0,0,0.0117734,464,0,0,1359
has_contains,0,0,0,0.000735835,464,0,0,1359
has_content,0.00431034,0,0,0,464,0,0,1359
has_default,0.288793,0,0,0.258278,464,0,0,1359
has_defs,0.237069,0,0,0.265636,464,0,0,1359
has_enum,0.409483,0,0,0.454746,464,0,0,1359
has_exclusiveMinimum,0.00862069,0,0,0.00367918,464,0,0,1359
has_if_then_else,0,0,0,0.00294334,464,0,0,1359
has_items,0.523707,0,0,0.549669,464,0,0,1359
has_maxItems,0.049569,0,0,0.049301,464,0,0,1359
has_maxLength,0.109914,0,0,0.147903,464,0,0,1359
has_maxProperties,0,0,0,0.00735835,464,0,0,1359
has_maximum,0.0538793,0,0,0.0632818,464,0,0,1359
has_minItems,0.127155,0,0,0.12362,464,0,0,1359
has_minLength,0.170259,0,0,0.172185,464,0,0,1359
has_minProperties,0,0,0,0.0213392,464,0,0,1359
has_minimum,0.18319,0,0,0.159676,464,0,0,1359
has_multipleOf,0.00215517,0,0,0.00588668,464,0,0,1359
has_not,0,0,0,0.0147167,464,0,0,1359
has_oneOf,0.049569,0,0,0.116998,464,0,0,1359
has_pattern,0.228448,0,0,0.298749,464,0,0,1359
has_patternProperties,0.00431034,0,0,0.0860927,464,0,0,1359
has_properties,1,0,0,0.997057,464,0,0,1359
has_propertyNames,0,0,0,0.00220751,464,0,0,1359
has_ref,0.217672,0,0,0.25092,464,0,0,1359
has_required,0.788793,0,0,0.735099,464,0,0,1359
has_type,1,0,0,1,464,0,0,1359
large_enum,0.0926724,0,0,0.164827,464,0,0,1359
many_required,0.478448,0,0,0.44518,464,0,0,1359
many_properties,0.510776,0,0,0.758646,464,0,0,1359
deep_schema,0.172414,0,0,0.189845,464,0,0,1359
