feature,schemas_with_feature,schemas_without_feature,over_with_feature,over_without_feature,over_denominator_with,over_denominator_without,over_rate_with,over_rate_without,lift,delta,support,global_over_rate,eligible_lift
has_patternProperties,119,1704,213,2055,217,2874,0.981567,0.715031,1.37276,0.266536,0.065277,0.733743,true
has_minProperties,29,1794,49,2219,49,3042,1,0.729454,1.37089,0.270546,0.0159078,0.733743,true
has_not,20,1803,33,2235,33,3058,1,0.73087,1.36823,0.26913,0.0109709,0.733743,true
many_properties,1268,555,1722,546,2172,919,0.792818,0.594124,1.33443,0.198694,0.695557,0.733743,true
has_oneOf,182,1641,286,1982,333,2758,0.858859,0.718637,1.19512,0.140222,0.0998354,0.733743,true
has_allOf,42,1781,67,2201,77,3014,0.87013,0.730259,1.19154,0.139871,0.0230389,0.733743,true
large_enum,267,1556,351,1917,427,2664,0.822014,0.719595,1.14233,0.102419,0.146462,0.733743,true
has_const,19,1804,28,2240,34,3057,0.823529,0.732745,1.1239,0.0907849,0.0104224,0.733743,true
has_pattern,512,1311,675,1593,865,2226,0.780347,0.715633,1.09043,0.0647134,0.280856,0.733743,true
has_maxLength,252,1571,341,1927,432,2659,0.789352,0.724709,1.0892,0.0646433,0.138234,0.733743,true
has_boolean_schema,825,998,1074,1194,1425,1666,0.753684,0.716687,1.05162,0.0369975,0.452551,0.733743,true
deep_schema,338,1485,434,1834,570,2521,0.761404,0.727489,1.04662,0.0339144,0.185409,0.733743,true
has_enum,808,1015,1002,1266,1332,1759,0.752252,0.719727,1.04519,0.0325251,0.443225,0.733743,true
has_additionalProperties,852,971,1108,1160,1479,1612,0.749155,0.719603,1.04107,0.0295519,0.467361,0.733743,true
has_ref,442,1381,586,1682,776,2315,0.755155,0.726566,1.03935,0.0285888,0.242457,0.733743,true
has_defs,471,1352,621,1647,827,2264,0.750907,0.727473,1.03221,0.0234334,0.258365,0.733743,true
has_maxItems,90,1733,114,2154,153,2938,0.745098,0.733152,1.01629,0.0119462,0.0493692,0.733743,true
has_items,990,833,1264,1004,1714,1377,0.737456,0.729121,1.01143,0.00833496,0.543061,0.733743,true
has_maximum,111,1712,140,2128,190,2901,0.736842,0.73354,1.0045,0.00330195,0.0608886,0.733743,true
has_minLength,313,1510,396,1872,541,2550,0.731978,0.734118,0.997085,-0.00213983,0.171695,0.733743,true
has_minItems,227,1596,283,1985,387,2704,0.731266,0.734098,0.996143,-0.00283148,0.12452,0.733743,true
has_default,485,1338,586,1682,814,2277,0.719902,0.738691,0.974564,-0.0187895,0.266045,0.733743,true
many_required,827,996,1003,1265,1400,1691,0.716429,0.748078,0.957692,-0.0316495,0.453648,0.733743,true
has_minimum,302,1521,364,1904,516,2575,0.705426,0.739417,0.95403,-0.0339911,0.165661,0.733743,true
has_required,1365,458,1684,584,2332,759,0.722127,0.769433,0.938518,-0.0473065,0.748766,0.733743,true
has_anyOf,92,1731,105,2163,156,2935,0.673077,0.736968,0.913306,-0.0638907,0.0504663,0.733743,true
has_type,1823,0,2268,0,3091,0,0.733743,0,inf,0.733743,1,0.733743,false
has_maxProperties,10,1813,15,2253,15,3076,1,0.732445,1.36529,0.267555,0.00548546,0.733743,false
has_if_then_else,4,1819,7,2261,7,3084,1,0.733139,1.364,0.266861,0.00219419,0.733743,false
has_propertyNames,3,1820,4,2264,4,3087,1,0.733398,1.36352,0.266602,0.00164564,0.733743,false
has_contains,1,1822,1,2267,1,3090,1,0.733657,1.36303,0.266343,0.000548546,0.733743,false
has_multipleOf,9,1814,15,2253,18,3073,0.833333,0.73316,1.13663,0.100174,0.00493692,0.733743,false
has_exclusiveMinimum,9,1814,9,2259,15,3076,0.6,0.734395,0.816999,-0.134395,0.00493692,0.733743,false
has_properties,1819,4,2262,6,3085,6,0.733225,1,0.733225,-0.266775,0.997806,0.733743,false
has_content,2,1821,0,2268,3,3088,0,0.734456,0,-0.734456,0.00109709,0.733743,false
