feature,feature_pair,feature_a,feature_b,n_schemas,support,risk_count,interest_score,timeout_lift,timeout_delta,under_lift,under_delta,over_lift,over_delta,correct,timeout,under,over,correct_n,timeout_n,under_n,over_n
[P] has_patternProperties + has_required,has_patternProperties__AND__has_required,has_patternProperties,has_required,92,0.0504663,1,1.00142e+06,0,0,0,0,1.39228,0.281753,0,0,0,0.0676968,464,0,0,1359
[P] has_minLength + has_patternProperties,has_minLength__AND__has_patternProperties,has_minLength,has_patternProperties,39,0.0213933,1,1.0014e+06,0,0,0,0,1.37443,0.272426,0,0,0,0.0286976,464,0,0,1359
[P] has_minItems + has_patternProperties,has_minItems__AND__has_patternProperties,has_minItems,has_patternProperties,33,0.018102,1,1.0014e+06,0,0,0,0,1.37257,0.271438,0,0,0,0.0242826,464,0,0,1359
[P] has_patternProperties + has_properties,has_patternProperties__AND__has_properties,has_patternProperties,has_properties,119,0.065277,1,1.0014e+06,0,0,0,0,1.37276,0.266536,0.00431034,0,0,0.0860927,464,0,0,1359
[P] has_patternProperties + has_type,has_patternProperties__AND__has_type,has_patternProperties,has_type,119,0.065277,1,1.0014e+06,0,0,0,0,1.37276,0.266536,0.00431034,0,0,0.0860927,464,0,0,1359
[P] has_additionalProperties + has_patternProperties,has_additionalProperties__AND__has_patternProperties,has_additionalProperties,has_patternProperties,89,0.0488206,1,1.0014e+06,0,0,0,0,1.37203,0.267782,0.00215517,0,0,0.0647535,464,0,0,1359
[P] has_oneOf + has_patternProperties,has_oneOf__AND__has_patternProperties,has_oneOf,has_patternProperties,28,0.0153593,1,1.0014e+06,0,0,0,0,1.37156,0.270902,0,0,0,0.0206034,464,0,0,1359
[P] has_minProperties + has_type,has_minProperties__AND__has_type,has_minProperties,has_type,29,0.0159078,1,1.0014e+06,0,0,0,0,1.37089,0.270546,0,0,0,0.0213392,464,0,0,1359
[P] has_boolean_schema + has_patternProperties,has_boolean_schema__AND__has_patternProperties,has_boolean_schema,has_patternProperties,87,0.0477235,1,1.0014e+06,0,0,0,0,1.37115,0.26726,0.00215517,0,0,0.0632818,464,0,0,1359
[P] has_minProperties + has_properties,has_minProperties__AND__has_properties,has_minProperties,has_properties,25,0.0137137,1,1.0014e+06,0,0,0,0,1.36989,0.270013,0,0,0,0.0183959,464,0,0,1359
[P] has_minProperties + has_required,has_minProperties__AND__has_required,has_minProperties,has_required,24,0.0131651,1,1.0014e+06,0,0,0,0,1.36956,0.269836,0,0,0,0.01766,464,0,0,1359
[P] has_maxLength + has_patternProperties,has_maxLength__AND__has_patternProperties,has_maxLength,has_patternProperties,23,0.0126166,1,1.0014e+06,0,0,0,0,1.36939,0.269748,0,0,0,0.0169242,464,0,0,1359
[P] has_additionalProperties + has_minProperties,has_additionalProperties__AND__has_minProperties,has_additionalProperties,has_minProperties,21,0.0115195,1,1.0014e+06,0,0,0,0,1.36856,0.269306,0,0,0,0.0154525,464,0,0,1359
[P] has_boolean_schema + has_minProperties,has_boolean_schema__AND__has_minProperties,has_boolean_schema,has_minProperties,20,0.0109709,1,1.0014e+06,0,0,0,0,1.36823,0.26913,0,0,0,0.0147167,464,0,0,1359
[P] has_not + has_properties,has_not__AND__has_properties,has_not,has_properties,20,0.0109709,1,1.0014e+06,0,0,0,0,1.36823,0.26913,0,0,0,0.0147167,464,0,0,1359
[P] has_not + has_required,has_not__AND__has_required,has_not,has_required,20,0.0109709,1,1.0014e+06,0,0,0,0,1.36823,0.26913,0,0,0,0.0147167,464,0,0,1359
[P] has_not + has_type,has_not__AND__has_type,has_not,has_type,20,0.0109709,1,1.0014e+06,0,0,0,0,1.36823,0.26913,0,0,0,0.0147167,464,0,0,1359
[P] has_enum + has_not,has_enum__AND__has_not,has_enum,has_not,19,0.0104224,1,1.00139e+06,0,0,0,0,1.3679,0.268954,0,0,0,0.0139809,464,0,0,1359
[P] has_items + has_minProperties,has_items__AND__has_minProperties,has_items,has_minProperties,17,0.00932529,1,1.00139e+06,0,0,0,0,1.3679,0.268954,0,0,0,0.0125092,464,0,0,1359
[P] has_boolean_schema + has_not,has_boolean_schema__AND__has_not,has_boolean_schema,has_not,17,0.00932529,1,1.00139e+06,0,0,0,0,1.36725,0.268603,0,0,0,0.0125092,464,0,0,1359
