feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,over_with_pair,over_without_pair,over_denominator_with,over_denominator_without,over_rate_with,over_rate_without,lift,delta,eligible_lift
has_patternProperties__AND__has_required,has_patternProperties,has_required,92,1731,0.0504663,170,2098,170,2921,1,0.718247,1.39228,0.281753,true
has_minLength__AND__has_patternProperties,has_minLength,has_patternProperties,39,1784,0.0213933,70,2198,70,3021,1,0.727574,1.37443,0.272426,true
has_patternProperties__AND__has_properties,has_patternProperties,has_properties,119,1704,0.065277,213,2055,217,2874,0.981567,0.715031,1.37276,0.266536,true
has_patternProperties__AND__has_type,has_patternProperties,has_type,119,1704,0.065277,213,2055,217,2874,0.981567,0.715031,1.37276,0.266536,true
has_minItems__AND__has_patternProperties,has_minItems,has_patternProperties,33,1790,0.018102,59,2209,59,3032,1,0.728562,1.37257,0.271438,true
has_additionalProperties__AND__has_patternProperties,has_additionalProperties,has_patternProperties,89,1734,0.0488206,159,2109,161,2930,0.987578,0.719795,1.37203,0.267782,true
has_oneOf__AND__has_patternProperties,has_oneOf,has_patternProperties,28,1795,0.0153593,53,2215,53,3038,1,0.729098,1.37156,0.270902,true
has_boolean_schema__AND__has_patternProperties,has_boolean_schema,has_patternProperties,87,1736,0.0477235,156,2112,158,2933,0.987342,0.720082,1.37115,0.26726,true
has_minProperties__AND__has_type,has_minProperties,has_type,29,1794,0.0159078,49,2219,49,3042,1,0.729454,1.37089,0.270546,true
has_minProperties__AND__has_properties,has_minProperties,has_properties,25,1798,0.0137137,43,2225,43,3048,1,0.729987,1.36989,0.270013,true
has_minProperties__AND__has_required,has_minProperties,has_required,24,1799,0.0131651,41,2227,41,3050,1,0.730164,1.36956,0.269836,true
has_maxLength__AND__has_patternProperties,has_maxLength,has_patternProperties,23,1800,0.0126166,40,2228,40,3051,1,0.730252,1.36939,0.269748,true
has_additionalProperties__AND__has_minProperties,has_additionalProperties,has_minProperties,21,1802,0.0115195,35,2233,35,3056,1,0.730694,1.36856,0.269306,true
has_boolean_schema__AND__has_minProperties,has_boolean_schema,has_minProperties,20,1803,0.0109709,33,2235,33,3058,1,0.73087,1.36823,0.26913,true
has_not__AND__has_properties,has_not,has_properties,20,1803,0.0109709,33,2235,33,3058,1,0.73087,1.36823,0.26913,true
has_not__AND__has_required,has_not,has_required,20,1803,0.0109709,33,2235,33,3058,1,0.73087,1.36823,0.26913,true
has_not__AND__has_type,has_not,has_type,20,1803,0.0109709,33,2235,33,3058,1,0.73087,1.36823,0.26913,true
has_enum__AND__has_not,has_enum,has_not,19,1804,0.0104224,31,2237,31,3060,1,0.731046,1.3679,0.268954,true
has_items__AND__has_minProperties,has_items,has_minProperties,17,1806,0.00932529,31,2237,31,3060,1,0.731046,1.3679,0.268954,true
has_boolean_schema__AND__has_not,has_boolean_schema,has_not,17,1806,0.00932529,27,2241,27,3064,1,0.731397,1.36725,0.268603,true
has_defs__AND__has_not,has_defs,has_not,16,1807,0.00877674,27,2241,27,3064,1,0.731397,1.36725,0.268603,true
