feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,under_with_pair,under_without_pair,under_denominator_with,under_denominator_without,under_rate_with,under_rate_without,lift,delta,eligible_lift
has_properties__AND__has_required,has_properties,has_required,1365,458,0.748766,0,0,4625,1494,0,0,0,0,true
has_required__AND__has_type,has_required,has_type,1365,458,0.748766,0,0,4625,1494,0,0,0,0,true
has_items__AND__has_properties,has_items,has_properties,990,833,0.543061,0,0,3677,2442,0,0,0,0,true
has_items__AND__has_type,has_items,has_type,990,833,0.543061,0,0,3677,2442,0,0,0,0,true
has_additionalProperties__AND__has_properties,has_additionalProperties,has_properties,852,971,0.467361,0,0,3213,2906,0,0,0,0,true
has_additionalProperties__AND__has_type,has_additionalProperties,has_type,852,971,0.467361,0,0,3213,2906,0,0,0,0,true
has_boolean_schema__AND__has_properties,has_boolean_schema,has_properties,825,998,0.452551,0,0,3094,3025,0,0,0,0,true
has_boolean_schema__AND__has_type,has_boolean_schema,has_type,825,998,0.452551,0,0,3094,3025,0,0,0,0,true
has_additionalProperties__AND__has_boolean_schema,has_additionalProperties,has_boolean_schema,820,1003,0.449808,0,0,3084,3035,0,0,0,0,true
has_enum__AND__has_properties,has_enum,has_properties,808,1015,0.443225,0,0,2841,3278,0,0,0,0,true
has_enum__AND__has_type,has_enum,has_type,808,1015,0.443225,0,0,2841,3278,0,0,0,0,true
has_items__AND__has_required,has_items,has_required,786,1037,0.431157,0,0,2904,3215,0,0,0,0,true
has_additionalProperties__AND__has_required,has_additionalProperties,has_required,698,1125,0.382885,0,0,2675,3444,0,0,0,0,true
has_boolean_schema__AND__has_required,has_boolean_schema,has_required,675,1148,0.370269,0,0,2576,3543,0,0,0,0,true
has_enum__AND__has_required,has_enum,has_required,597,1226,0.327482,0,0,2116,4003,0,0,0,0,true
has_additionalProperties__AND__has_items,has_additionalProperties,has_items,536,1287,0.294021,0,0,2052,4067,0,0,0,0,true
has_boolean_schema__AND__has_items,has_boolean_schema,has_items,514,1309,0.281953,0,0,1957,4162,0,0,0,0,true
has_pattern__AND__has_properties,has_pattern,has_properties,512,1311,0.280856,0,0,2570,3549,0,0,0,0,true
has_pattern__AND__has_type,has_pattern,has_type,512,1311,0.280856,0,0,2570,3549,0,0,0,0,true
has_default__AND__has_properties,has_default,has_properties,485,1338,0.266045,0,0,1550,4569,0,0,0,0,true
has_default__AND__has_type,has_default,has_type,485,1338,0.266045,0,0,1550,4569,0,0,0,0,true
has_defs__AND__has_properties,has_defs,has_properties,471,1352,0.258365,0,0,1678,4441,0,0,0,0,true
has_defs__AND__has_type,has_defs,has_type,471,1352,0.258365,0,0,1678,4441,0,0,0,0,true
has_properties__AND__has_ref,has_properties,has_ref,442,1381,0.242457,0,0,1552,4567,0,0,0,0,true
has_ref__AND__has_type,has_ref,has_type,442,1381,0.242457,0,0,1552,4567,0,0,0,0,true
has_defs__AND__has_ref,has_defs,has_ref,432,1391,0.236972,0,0,1539,4580,0,0,0,0,true
has_enum__AND__has_items,has_enum,has_items,423,1400,0.232035,0,0,1697,4422,0,0,0,0,true
has_additionalProperties__AND__has_enum,has_additionalProperties,has_enum,402,1421,0.220516,0,0,1590,4529,0,0,0,0,true
has_boolean_schema__AND__has_enum,has_boolean_schema,has_enum,390,1433,0.213933,0,0,1539,4580,0,0,0,0,true
has_default__AND__has_required,has_default,has_required,389,1434,0.213385,0,0,1214,4905,0,0,0,0,true
has_pattern__AND__has_required,has_pattern,has_required,385,1438,0.21119,0,0,1848,4271,0,0,0,0,true
has_defs__AND__has_required,has_defs,has_required,371,1452,0.203511,0,0,1341,4778,0,0,0,0,true
has_ref__AND__has_required,has_ref,has_required,359,1464,0.196928,0,0,1278,4841,0,0,0,0,true
has_defs__AND__has_items,has_defs,has_items,337,1486,0.18486,0,0,1250,4869,0,0,0,0,true
has_additionalProperties__AND__has_pattern,has_additionalProperties,has_pattern,327,1496,0.179375,0,0,1560,4559,0,0,0,0,true
has_boolean_schema__AND__has_pattern,has_boolean_schema,has_pattern,319,1504,0.174986,0,0,1523,4596,0,0,0,0,true
has_items__AND__has_ref,has_items,has_ref,319,1504,0.174986,0,0,1171,4948,0,0,0,0,true
has_items__AND__has_pattern,has_items,has_pattern,316,1507,0.173341,0,0,1636,4483,0,0,0,0,true
has_minLength__AND__has_properties,has_minLength,has_properties,313,1510,0.171695,0,0,1625,4494,0,0,0,0,true
has_minLength__AND__has_type,has_minLength,has_type,313,1510,0.171695,0,0,1625,4494,0,0,0,0,true
has_minimum__AND__has_properties,has_minimum,has_properties,302,1521,0.165661,0,0,1458,4661,0,0,0,0,true
has_minimum__AND__has_type,has_minimum,has_type,302,1521,0.165661,0,0,1458,4661,0,0,0,0,true
has_additionalProperties__AND__has_defs,has_additionalProperties,has_defs,299,1524,0.164015,0,0,1099,5020,0,0,0,0,true
has_boolean_schema__AND__has_defs,has_boolean_schema,has_defs,285,1538,0.156336,0,0,1046,5073,0,0,0,0,true
has_additionalProperties__AND__has_ref,has_additionalProperties,has_ref,283,1540,0.155239,0,0,1024,5095,0,0,0,0,true
has_enum__AND__has_pattern,has_enum,has_pattern,282,1541,0.15469,0,0,1435,4684,0,0,0,0,true
has_boolean_schema__AND__has_ref,has_boolean_schema,has_ref,269,1554,0.147559,0,0,971,5148,0,0,0,0,true
has_minimum__AND__has_required,has_minimum,has_required,263,1560,0.144268,0,0,1272,4847,0,0,0,0,true
has_minLength__AND__has_required,has_minLength,has_required,262,1561,0.143719,0,0,1285,4834,0,0,0,0,true
has_maxLength__AND__has_properties,has_maxLength,has_properties,252,1571,0.138234,0,0,1322,4797,0,0,0,0,true
has_maxLength__AND__has_type,has_maxLength,has_type,252,1571,0.138234,0,0,1322,4797,0,0,0,0,true
has_minItems__AND__has_properties,has_minItems,has_properties,227,1596,0.12452,0,0,1012,5107,0,0,0,0,true
has_minItems__AND__has_type,has_minItems,has_type,227,1596,0.12452,0,0,1012,5107,0,0,0,0,true
has_items__AND__has_minItems,has_items,has_minItems,222,1601,0.121777,0,0,993,5126,0,0,0,0,true
has_defs__AND__has_enum,has_defs,has_enum,221,1602,0.121229,0,0,798,5321,0,0,0,0,true
has_minItems__AND__has_required,has_minItems,has_required,219,1604,0.120132,0,0,987,5132,0,0,0,0,true
has_enum__AND__has_ref,has_enum,has_ref,216,1607,0.118486,0,0,758,5361,0,0,0,0,true
has_additionalProperties__AND__has_default,has_additionalProperties,has_default,213,1610,0.11684,0,0,840,5279,0,0,0,0,true
has_default__AND__has_enum,has_default,has_enum,208,1615,0.114098,0,0,665,5454,0,0,0,0,true
has_boolean_schema__AND__has_default,has_boolean_schema,has_default,199,1624,0.109161,0,0,784,5335,0,0,0,0,true
has_maxLength__AND__has_minLength,has_maxLength,has_minLength,197,1626,0.108064,0,0,1072,5047,0,0,0,0,true
has_maxLength__AND__has_required,has_maxLength,has_required,194,1629,0.106418,0,0,942,5177,0,0,0,0,true
has_additionalProperties__AND__has_minLength,has_additionalProperties,has_minLength,193,1630,0.105869,0,0,995,5124,0,0,0,0,true
has_boolean_schema__AND__has_minLength,has_boolean_schema,has_minLength,189,1634,0.103675,0,0,978,5141,0,0,0,0,true
has_items__AND__has_minLength,has_items,has_minLength,186,1637,0.10203,0,0,1023,5096,0,0,0,0,true
has_minLength__AND__has_pattern,has_minLength,has_pattern,185,1638,0.101481,0,0,1069,5050,0,0,0,0,true
has_oneOf__AND__has_properties,has_oneOf,has_properties,182,1641,0.0998354,0,0,566,5553,0,0,0,0,true
has_oneOf__AND__has_type,has_oneOf,has_type,182,1641,0.0998354,0,0,566,5553,0,0,0,0,true
has_enum__AND__has_minLength,has_enum,has_minLength,175,1648,0.0959956,0,0,951,5168,0,0,0,0,true
has_default__AND__has_items,has_default,has_items,174,1649,0.0954471,0,0,608,5511,0,0,0,0,true
has_maxLength__AND__has_pattern,has_maxLength,has_pattern,169,1654,0.0927043,0,0,1000,5119,0,0,0,0,true
has_additionalProperties__AND__has_maxLength,has_additionalProperties,has_maxLength,166,1657,0.0910587,0,0,844,5275,0,0,0,0,true
has_boolean_schema__AND__has_maxLength,has_boolean_schema,has_maxLength,164,1659,0.0899616,0,0,838,5281,0,0,0,0,true
has_default__AND__has_pattern,has_default,has_pattern,158,1665,0.0866703,0,0,745,5374,0,0,0,0,true
has_oneOf__AND__has_required,has_oneOf,has_required,158,1665,0.0866703,0,0,481,5638,0,0,0,0,true
has_defs__AND__has_pattern,has_defs,has_pattern,157,1666,0.0861218,0,0,702,5417,0,0,0,0,true
has_enum__AND__has_maxLength,has_enum,has_maxLength,156,1667,0.0855732,0,0,869,5250,0,0,0,0,true
