schema_id,test_id,tokens_checked,num_tokens,rejection_ratio,first_rejected_token_index
Github_medium---o1.json,Github_medium---o1.json::test_00000,45,134,0.335821,
Github_medium---o10079.json,Github_medium---o10079.json::test_00000,61,105,0.580952,
Github_medium---o102.json,Github_medium---o102.json::test_00000,185,346,0.534682,
Github_medium---o1050.json,Github_medium---o1050.json::test_00000,6,131,0.0458015,
Github_medium---o1050.json,Github_medium---o1050.json::test_00001,6,132,0.0454545,
Github_medium---o10517.json,Github_medium---o10517.json::test_00000,57,255,0.223529,
Github_medium---o10517.json,Github_medium---o10517.json::test_00004,56,254,0.220472,
Github_medium---o10518.json,Github_medium---o10518.json::test_00000,9,115,0.0782609,
Github_medium---o10518.json,Github_medium---o10518.json::test_00003,9,134,0.0671642,
Github_medium---o1053.json,Github_medium---o1053.json::test_00000,6,196,0.0306122,
Github_medium---o1053.json,Github_medium---o1053.json::test_00001,6,192,0.03125,
Github_medium---o10530.json,Github_medium---o10530.json::test_00000,52,422,0.123223,
Github_medium---o10530.json,Github_medium---o10530.json::test_00001,52,440,0.118182,
Github_medium---o10927.json,Github_medium---o10927.json::test_00000,155,379,0.408971,
Github_medium---o10927.json,Github_medium---o10927.json::test_00001,149,393,0.379135,
Github_medium---o11481.json,Github_medium---o11481.json::test_00000,14,285,0.0491228,
Github_medium---o11514.json,Github_medium---o11514.json::test_00000,75,212,0.353774,
Github_medium---o11514.json,Github_medium---o11514.json::test_00002,77,214,0.359813,
Github_medium---o11515.json,Github_medium---o11515.json::test_00000,29,273,0.106227,
Github_medium---o11515.json,Github_medium---o11515.json::test_00002,30,275,0.109091,
Github_medium---o11684.json,Github_medium---o11684.json::test_00000,65,177,0.367232,
Github_medium---o11689.json,Github_medium---o11689.json::test_00000,36,122,0.295082,
Github_medium---o11689.json,Github_medium---o11689.json::test_00004,36,121,0.297521,
Github_medium---o12092.json,Github_medium---o12092.json::test_00000,37,120,0.308333,
Github_medium---o12092.json,Github_medium---o12092.json::test_00002,27,97,0.278351,
Github_medium---o12210.json,Github_medium---o12210.json::test_00000,22,197,0.111675,
Github_medium---o12210.json,Github_medium---o12210.json::test_00007,1,201,0.00497512,
Github_medium---o12241.json,Github_medium---o12241.json::test_00000,4,109,0.0366972,
Github_medium---o12241.json,Github_medium---o12241.json::test_00003,4,103,0.038835,
Github_medium---o12244.json,Github_medium---o12244.json::test_00005,31,110,0.281818,
Github_medium---o12283.json,Github_medium---o12283.json::test_00000,19,69,0.275362,
Github_medium---o12283.json,Github_medium---o12283.json::test_00002,18,63,0.285714,
Github_medium---o12286.json,Github_medium---o12286.json::test_00000,17,70,0.242857,
Github_medium---o12286.json,Github_medium---o12286.json::test_00001,17,70,0.242857,
Github_medium---o12487.json,Github_medium---o12487.json::test_00000,56,72,0.777778,
Github_medium---o12496.json,Github_medium---o12496.json::test_00000,55,84,0.654762,
Github_medium---o12496.json,Github_medium---o12496.json::test_00002,54,86,0.627907,
Github_medium---o12603.json,Github_medium---o12603.json::test_00000,41,192,0.213542,
Github_medium---o12603.json,Github_medium---o12603.json::test_00003,41,170,0.241176,
Github_medium---o12605.json,Github_medium---o12605.json::test_00000,41,83,0.493976,
Github_medium---o12605.json,Github_medium---o12605.json::test_00006,41,95,0.431579,
Github_medium---o12610.json,Github_medium---o12610.json::test_00000,15,75,0.2,
Github_medium---o1262.json,Github_medium---o1262.json::test_00000,7,72,0.0972222,
Github_medium---o1262.json,Github_medium---o1262.json::test_00008,7,69,0.101449,
Github_medium---o12623.json,Github_medium---o12623.json::test_00000,88,528,0.166667,
Github_medium---o12623.json,Github_medium---o12623.json::test_00003,88,574,0.15331,
Github_medium---o12971.json,Github_medium---o12971.json::test_00000,10,66,0.151515,
Github_medium---o12971.json,Github_medium---o12971.json::test_00005,10,69,0.144928,
Github_medium---o13.json,Github_medium---o13.json::test_00000,44,197,0.22335,
Github_medium---o13093.json,Github_medium---o13093.json::test_00000,102,156,0.653846,
Github_medium---o13093.json,Github_medium---o13093.json::test_00002,100,152,0.657895,
Github_medium---o13095.json,Github_medium---o13095.json::test_00000,15,138,0.108696,
Github_medium---o13095.json,Github_medium---o13095.json::test_00003,15,138,0.108696,
Github_medium---o13110.json,Github_medium---o13110.json::test_00000,99,461,0.214751,
Github_medium---o13136.json,Github_medium---o13136.json::test_00000,345,374,0.92246,
Github_medium---o13138.json,Github_medium---o13138.json::test_00000,10,273,0.03663,
Github_medium---o13149.json,Github_medium---o13149.json::test_00000,64,67,0.955224,
Github_medium---o1329.json,Github_medium---o1329.json::test_00000,127,225,0.564444,
Github_medium---o1329.json,Github_medium---o1329.json::test_00003,112,430,0.260465,
Github_medium---o13349.json,Github_medium---o13349.json::test_00000,8,152,0.0526316,
Github_medium---o13349.json,Github_medium---o13349.json::test_00004,8,152,0.0526316,
Github_medium---o13402.json,Github_medium---o13402.json::test_00000,56,144,0.388889,
Github_medium---o13402.json,Github_medium---o13402.json::test_00001,56,143,0.391608,
Github_medium---o13404.json,Github_medium---o13404.json::test_00000,60,250,0.24,
Github_medium---o13404.json,Github_medium---o13404.json::test_00002,43,215,0.2,
Github_medium---o13692.json,Github_medium---o13692.json::test_00000,64,167,0.383234,
Github_medium---o13694.json,Github_medium---o13694.json::test_00003,131,287,0.456446,
Github_medium---o13695.json,Github_medium---o13695.json::test_00000,50,92,0.543478,
Github_medium---o13695.json,Github_medium---o13695.json::test_00002,50,92,0.543478,
Github_medium---o13952.json,Github_medium---o13952.json::test_00000,4,162,0.0246914,
Github_medium---o13952.json,Github_medium---o13952.json::test_00002,4,179,0.0223464,
Github_medium---o14076.json,Github_medium---o14076.json::test_00000,72,75,0.96,
Github_medium---o14412.json,Github_medium---o14412.json::test_00000,111,114,0.973684,
Github_medium---o14421.json,Github_medium---o14421.json::test_00000,4,95,0.0421053,3
Github_medium---o14421.json,Github_medium---o14421.json::test_00001,4,93,0.0430108,3
Github_medium---o14426.json,Github_medium---o14426.json::test_00000,91,123,0.739837,
Github_medium---o14426.json,Github_medium---o14426.json::test_00003,83,115,0.721739,
