schema_status,phase,n,mean_s,std_s,median_s,p95_s,min_s,max_s
completed,compile_grammar_s,1823,0.0020538,0.00177217,0.001699,0.0049989,0.000261,0.017237
completed,validation_loop_mean_s,1454,0.00446976,0.00539806,0.00309375,0.0119006,0.00022325,0.082108
completed,compute_mask_mean_s,1454,0.00395868,0.00483908,0.00268908,0.0108177,0.000139,0.0769345
completed,commit_token_mean_s,1454,0.000231887,0.0002554,0.000175125,0.000610444,6e-06,0.0042135
completed,timeout_elapsed_s,0,,,,,,
timeout,compile_grammar_s,0,,,,,,
timeout,validation_loop_mean_s,0,,,,,,
timeout,compute_mask_mean_s,0,,,,,,
timeout,commit_token_mean_s,0,,,,,,
timeout,timeout_elapsed_s,0,,,,,,
