characteristic,bucket,n_schemas,value_min,value_max,schemas_with_under_rate,schemas_with_over_rate,under_test_rate,over_test_rate,timeout_schema_rate
schema_json_chars,q1_low,456,87,858,0,0.614035,0,0.613333,0
schema_json_chars,q2_mid_low,456,859,1295,0,0.723684,0,0.703518,0
schema_json_chars,q3_mid_high,455,1296,1812,0,0.793407,0,0.772316,0
schema_json_chars,q4_high,456,1813,40076,0,0.850877,0,0.843264,0
schema_file_bytes,q1_low,456,1002,5791,0,0.651316,0,0.645517,0
schema_file_bytes,q2_mid_low,456,5795,8546,0,0.732456,0,0.713561,0
schema_file_bytes,q3_mid_high,455,8553,12764,0,0.782418,0,0.778489,0
schema_file_bytes,q4_high,456,12767,92893,0,0.815789,0,0.790201,0
nb_keywords,q1_low,477,3,28,0,0.626834,0,0.621967,0
nb_keywords,q2_mid_low,438,29,38,0,0.694064,0,0.675202,0
nb_keywords,q3_mid_high,452,39,52,0,0.798673,0,0.784339,0
nb_keywords,q4_high,456,53,970,0,0.866228,0,0.850064,0
nb_properties,q1_low,555,0,9,0,0.590991,0,0.594124,0
nb_properties,q2_mid_low,390,10,12,0,0.741026,0,0.717293,0
nb_properties,q3_mid_high,434,13,17,0,0.808756,0,0.787717,0
nb_properties,q4_high,444,18,386,0,0.880631,0,0.864116,0
nb_required,q1_low,481,0,0,0,0.790021,0,0.775689,0
nb_required,q2_mid_low,515,1,4,0,0.726214,0,0.723404,0
nb_required,q3_mid_high,432,5,8,0,0.659722,0,0.652115,0
nb_required,q4_high,395,9,77,0,0.810127,0,0.787106,0
schema_depth,q1_low,766,0,4,0,0.753264,0,0.735156,0
schema_depth,q2_mid_low,227,5,5,0,0.726872,0,0.716883,0
schema_depth,q3_mid_high,492,6,7,0,0.729675,0,0.720794,0
schema_depth,q4_high,338,8,16,0,0.763314,0,0.761404,0
nb_branches_combinators,q1_low,1558,0,0,0,0.732991,0,0.720779,0
nb_branches_combinators,q2_mid_low,0,,,0,0,0,0,0
nb_branches_combinators,q3_mid_high,0,,,0,0,0,0,0
nb_branches_combinators,q4_high,265,1,46,0,0.818868,0,0.805497,0
nb_enum_values,q1_low,1015,0,0,0,0.730049,0,0.719727,0
nb_enum_values,q2_mid_low,0,,,0,0,0,0,0
nb_enum_values,q3_mid_high,369,1,4,0,0.707317,0,0.697561,0
nb_enum_values,q4_high,439,5,1554,0,0.813212,0,0.799163,0
nb_regex,q1_low,1243,0,0,0,0.712792,0,0.699667,0
nb_regex,q2_mid_low,0,,,0,0,0,0,0
nb_regex,q3_mid_high,213,1,1,0,0.774648,0,0.765789,0
nb_regex,q4_high,367,2,16,0,0.839237,0,0.831148,0
n_tests,q1_low,488,1,3,0,0.741803,0,0.744595,0
n_tests,q2_mid_low,714,4,5,0,0.754902,0,0.7432,0
n_tests,q3_mid_high,188,6,6,0,0.776596,0,0.761755,0
n_tests,q4_high,433,7,18,0,0.720554,0,0.696931,0
mean_num_tokens,q1_low,364,12,87.5556,0,0.456044,0,0.44863,0
mean_num_tokens,q2_mid_low,363,87.75,133.333,0,0.666667,0,0.645057,0
mean_num_tokens,q3_mid_high,363,133.4,212.8,0,0.757576,0,0.737439,0
mean_num_tokens,q4_high,364,213.25,2917,0,0.843407,0,0.803922,0
