schema_id,test_id,expected_validity,actual_result,accepted,result_available,constraint_case,compile_grammar_s,validation_loop_s,compute_mask_s,commit_token_s,num_tokens,tokens_checked
Github_medium---o1.json,Github_medium---o1.json::test_00000,valid,failed,False,True,over_constraint,0.001897,0.007001,0.006583,0.000216,134,45
Github_medium---o1.json,Github_medium---o1.json::test_00001,invalid,passed,False,True,correct_reject,0.001897,0.001954,0.001888,3.9e-05,134,11
Github_medium---o1.json,Github_medium---o1.json::test_00002,invalid,passed,False,True,correct_reject,0.001897,0.005139,0.00484,0.000122,148,45
Github_medium---o1.json,Github_medium---o1.json::test_00003,invalid,passed,False,True,correct_reject,0.001897,0.003003,0.002884,7.4e-05,134,16
Github_medium---o1.json,Github_medium---o1.json::test_00004,invalid,passed,False,True,correct_reject,0.001897,0.00499,0.0047,0.000119,134,45
Github_medium---o1.json,Github_medium---o1.json::test_00005,invalid,passed,False,True,correct_reject,0.001897,0.005274,0.004916,0.000166,134,45
Github_medium---o1.json,Github_medium---o1.json::test_00006,invalid,passed,False,True,correct_reject,0.001897,0.004968,0.004679,0.00012,134,45
Github_medium---o1.json,Github_medium---o1.json::test_00007,invalid,passed,False,True,correct_reject,0.001897,0.003124,0.002997,8e-05,134,16
Github_medium---o1.json,Github_medium---o1.json::test_00008,invalid,passed,False,True,correct_reject,0.001897,0.000405,0.000342,3.9e-05,131,9
Github_medium---o1.json,Github_medium---o1.json::test_00009,invalid,passed,False,True,correct_reject,0.001897,0.005584,0.005159,0.000202,68,45
Github_medium---o1.json,Github_medium---o1.json::test_00010,invalid,passed,False,True,correct_reject,0.001897,0.00289,0.002803,5.4e-05,135,16
Github_medium---o10078.json,Github_medium---o10078.json::test_00000,valid,compile_error,,True,over_constraint,0.000317,,,,,
Github_medium---o10078.json,Github_medium---o10078.json::test_00001,valid,compile_error,,True,over_constraint,0.000317,,,,,
Github_medium---o10078.json,Github_medium---o10078.json::test_00002,invalid,compile_error,,True,correct_reject,0.000317,,,,,
Github_medium---o10078.json,Github_medium---o10078.json::test_00003,invalid,compile_error,,True,correct_reject,0.000317,,,,,
Github_medium---o10079.json,Github_medium---o10079.json::test_00000,valid,failed,False,True,over_constraint,0.001837,0.002667,0.002184,0.000189,105,61
Github_medium---o10079.json,Github_medium---o10079.json::test_00001,invalid,passed,False,True,correct_reject,0.001837,0.000379,0.000308,4.1e-05,104,14
Github_medium---o10079.json,Github_medium---o10079.json::test_00002,invalid,passed,False,True,correct_reject,0.001837,0.000846,0.000688,8.6e-05,111,39
Github_medium---o10079.json,Github_medium---o10079.json::test_00003,invalid,passed,False,True,correct_reject,0.001837,0.000469,0.00038,4.8e-05,104,20
Github_medium---o10079.json,Github_medium---o10079.json::test_00004,invalid,passed,False,True,correct_reject,0.001837,0.000843,0.000682,8.6e-05,117,39
Github_medium---o10079.json,Github_medium---o10079.json::test_00005,valid,passed,True,True,correct_accept,0.001837,0.002517,0.002091,0.000226,109,109
Github_medium---o10079.json,Github_medium---o10079.json::test_00006,invalid,passed,False,True,correct_reject,0.001837,0.000807,0.000655,8.4e-05,109,37
Github_medium---o10079.json,Github_medium---o10079.json::test_00007,invalid,passed,False,True,correct_reject,0.001837,0.000837,0.000681,8e-05,128,39
Github_medium---o102.json,Github_medium---o102.json::test_00000,valid,failed,False,True,over_constraint,0.001576,0.008488,0.007631,0.000472,346,185
Github_medium---o102.json,Github_medium---o102.json::test_00001,invalid,passed,False,True,correct_reject,0.001576,0.005312,0.004777,0.000273,138,133
Github_medium---o102.json,Github_medium---o102.json::test_00002,valid,passed,True,True,correct_accept,0.001576,0.006625,0.00598,0.000337,169,169
Github_medium---o10217.json,Github_medium---o10217.json::test_00000,valid,passed,True,True,correct_accept,0.001213,0.006573,0.005958,0.000361,129,129
Github_medium---o10217.json,Github_medium---o10217.json::test_00001,invalid,passed,False,True,correct_reject,0.001213,0.002568,0.002324,0.000136,119,56
Github_medium---o10217.json,Github_medium---o10217.json::test_00002,valid,passed,True,True,correct_accept,0.001213,0.006787,0.006202,0.000314,149,149
Github_medium---o10217.json,Github_medium---o10217.json::test_00003,invalid,passed,False,True,correct_reject,0.001213,0.00031,0.000259,3.1e-05,149,8
