schema_id,dataset_id,schema_path,test_id,test_index,expected_validity,framework_id,framework,actual_result,accepted,result_available,schema_file_bytes,schema_json_chars,instance_json_chars,engine_tokenizer_load_us,engine_init_us,schema_load_us,compile_grammar_us,test_json_dumps_us,tokenize_us,reset_matcher_us,validation_loop_us,compute_mask_us,commit_token_us,max_compute_mask_us,max_commit_token_us,num_tokens,tokens_checked,first_rejected_token_index,error_message,outlines_core_version,schema_serialize_us,regex_build_us,regex_built,regex_chars,regex_bytes,regex_hash,regex_expansion_ratio,regex_num_alternations_proxy,regex_num_groups_proxy,regex_num_repetitions_proxy,regex_max_group_depth_proxy,index_build_us,index_built,guide_init_us,guide_built,total_compile_us,final_status,last_stage,exception_type,exception_message
Github_ultra---o12343.json,Github_ultra,maskbench/data/Github_ultra---o12343.json,Github_ultra---o12343.json::test_00000,0,valid,llg,LLGuidance,failed,False,True,55420,19076,4279,1160586,1013159,565,5581,69,3236,14,26409,24407,1049,682,32,1424,420,,OverflowError('Python integer 2147483648 out of bounds for int32'),,,,,,,,,,,,,,,,,,,,,
Github_ultra---o12343.json,Github_ultra,maskbench/data/Github_ultra---o12343.json,Github_ultra---o12343.json::test_00001,1,valid,llg,LLGuidance,failed,False,True,55420,19076,2979,1160586,1013159,565,5581,55,1370,13,11708,10732,426,68,5,925,244,,OverflowError('Python integer 2147483648 out of bounds for int32'),,,,,,,,,,,,,,,,,,,,,
Github_ultra---o12343.json,Github_ultra,maskbench/data/Github_ultra---o12343.json,Github_ultra---o12343.json::test_00002,2,invalid,llg,LLGuidance,passed,False,True,55420,19076,2630,1160586,1013159,565,5581,43,1161,9,10212,9420,373,69,5,825,216,215,,,,,,,,,,,,,,,,,,,,,,
Github_ultra---o12343.json,Github_ultra,maskbench/data/Github_ultra---o12343.json,Github_ultra---o12343.json::test_00003,3,invalid,llg,LLGuidance,passed,False,True,55420,19076,3175,1160586,1013159,565,5581,49,1308,8,1613,1471,66,59,5,891,37,36,,,,,,,,,,,,,,,,,,,,,,
Github_ultra---o12344.json,Github_ultra,maskbench/data/Github_ultra---o12344.json,Github_ultra---o12344.json::test_00000,0,valid,llg,LLGuidance,compile_error,,True,150803,44054,,1163102,1012969,1064,1038,,,,,,,,,,,,"ValueError('Unimplemented keys: [""patternProperties""]')",,,,,,,,,,,,,,,,,,,,,
Github_ultra---o12344.json,Github_ultra,maskbench/data/Github_ultra---o12344.json,Github_ultra---o12344.json::test_00001,1,valid,llg,LLGuidance,compile_error,,True,150803,44054,,1163102,1012969,1064,1038,,,,,,,,,,,,"ValueError('Unimplemented keys: [""patternProperties""]')",,,,,,,,,,,,,,,,,,,,,
Github_ultra---o12344.json,Github_ultra,maskbench/data/Github_ultra---o12344.json,Github_ultra---o12344.json::test_00002,2,invalid,llg,LLGuidance,compile_error,,True,150803,44054,,1163102,1012969,1064,1038,,,,,,,,,,,,"ValueError('Unimplemented keys: [""patternProperties""]')",,,,,,,,,,,,,,,,,,,,,
Github_ultra---o12344.json,Github_ultra,maskbench/data/Github_ultra---o12344.json,Github_ultra---o12344.json::test_00003,3,invalid,llg,LLGuidance,compile_error,,True,150803,44054,,1163102,1012969,1064,1038,,,,,,,,,,,,"ValueError('Unimplemented keys: [""patternProperties""]')",,,,,,,,,,,,,,,,,,,,,
Github_ultra---o12344.json,Github_ultra,maskbench/data/Github_ultra---o12344.json,Github_ultra---o12344.json::test_00004,4,invalid,llg,LLGuidance,compile_error,,True,150803,44054,,1163102,1012969,1064,1038,,,,,,,,,,,,"ValueError('Unimplemented keys: [""patternProperties""]')",,,,,,,,,,,,,,,,,,,,,
Github_ultra---o12344.json,Github_ultra,maskbench/data/Github_ultra---o12344.json,Github_ultra---o12344.json::test_00005,5,invalid,llg,LLGuidance,compile_error,,True,150803,44054,,1163102,1012969,1064,1038,,,,,,,,,,,,"ValueError('Unimplemented keys: [""patternProperties""]')",,,,,,,,,,,,,,,,,,,,,
Github_ultra---o12652.json,Github_ultra,maskbench/data/Github_ultra---o12652.json,Github_ultra---o12652.json::test_00000,0,valid,llg,LLGuidance,compile_error,,True,106283,43549,,1150068,1014486,772,1025,,,,,,,,,,,,"ValueError('Unimplemented keys: [""patternProperties""]')",,,,,,,,,,,,,,,,,,,,,
Github_ultra---o12652.json,Github_ultra,maskbench/data/Github_ultra---o12652.json,Github_ultra---o12652.json::test_00001,1,invalid,llg,LLGuidance,compile_error,,True,106283,43549,,1150068,1014486,772,1025,,,,,,,,,,,,"ValueError('Unimplemented keys: [""patternProperties""]')",,,,,,,,,,,,,,,,,,,,,
Github_ultra---o12652.json,Github_ultra,maskbench/data/Github_ultra---o12652.json,Github_ultra---o12652.json::test_00002,2,invalid,llg,LLGuidance,compile_error,,True,106283,43549,,1150068,1014486,772,1025,,,,,,,,,,,,"ValueError('Unimplemented keys: [""patternProperties""]')",,,,,,,,,,,,,,,,,,,,,
Github_ultra---o13020.json,Github_ultra,maskbench/data/Github_ultra---o13020.json,Github_ultra---o13020.json::test_00000,0,valid,llg,LLGuidance,compile_error,,True,109188,40723,,1155110,1022479,1022,995,,,,,,,,,,,,"ValueError('Unimplemented keys: [""not""]')",,,,,,,,,,,,,,,,,,,,,
Github_ultra---o13020.json,Github_ultra,maskbench/data/Github_ultra---o13020.json,Github_ultra---o13020.json::test_00001,1,invalid,llg,LLGuidance,compile_error,,True,109188,40723,,1155110,1022479,1022,995,,,,,,,,,,,,"ValueError('Unimplemented keys: [""not""]')",,,,,,,,,,,,,,,,,,,,,
Github_ultra---o13020.json,Github_ultra,maskbench/data/Github_ultra---o13020.json,Github_ultra---o13020.json::test_00002,2,invalid,llg,LLGuidance,compile_error,,True,109188,40723,,1155110,1022479,1022,995,,,,,,,,,,,,"ValueError('Unimplemented keys: [""not""]')",,,,,,,,,,,,,,,,,,,,,
Github_ultra---o13020.json,Github_ultra,maskbench/data/Github_ultra---o13020.json,Github_ultra---o13020.json::test_00003,3,invalid,llg,LLGuidance,compile_error,,True,109188,40723,,1155110,1022479,1022,995,,,,,,,,,,,,"ValueError('Unimplemented keys: [""not""]')",,,,,,,,,,,,,,,,,,,,,
Github_ultra---o13020.json,Github_ultra,maskbench/data/Github_ultra---o13020.json,Github_ultra---o13020.json::test_00004,4,invalid,llg,LLGuidance,compile_error,,True,109188,40723,,1155110,1022479,1022,995,,,,,,,,,,,,"ValueError('Unimplemented keys: [""not""]')",,,,,,,,,,,,,,,,,,,,,
Github_ultra---o13020.json,Github_ultra,maskbench/data/Github_ultra---o13020.json,Github_ultra---o13020.json::test_00005,5,invalid,llg,LLGuidance,compile_error,,True,109188,40723,,1155110,1022479,1022,995,,,,,,,,,,,,"ValueError('Unimplemented keys: [""not""]')",,,,,,,,,,,,,,,,,,,,,
Github_ultra---o13020.json,Github_ultra,maskbench/data/Github_ultra---o13020.json,Github_ultra---o13020.json::test_00006,6,invalid,llg,LLGuidance,compile_error,,True,109188,40723,,1155110,1022479,1022,995,,,,,,,,,,,,"ValueError('Unimplemented keys: [""not""]')",,,,,,,,,,,,,,,,,,,,,
Github_ultra---o15627.json,Github_ultra,maskbench/data/Github_ultra---o15627.json,Github_ultra---o15627.json::test_00000,0,valid,llg,LLGuidance,failed,False,True,117315,30901,8589,1153138,1008874,874,17625,136,5534,16,35591,32896,1627,317,33,2989,501,,OverflowError('Python integer 2147483648 out of bounds for int32'),,,,,,,,,,,,,,,,,,,,,
