feature,n_schemas,n_completed_tests,under_rate,over_rate,correct_rate,timeout_rate
has_allOf,22,112,0.0379747,0.878788,0.714286,0
has_patternProperties,44,177,0.160377,0.704225,0.621469,0
has_not,5,26,0.111111,0.75,0.692308,0
has_maximum,79,402,0.628866,0.189189,0.492537,0.0253165
has_multipleOf,10,43,0.535714,0.266667,0.55814,0
has_minimum,195,982,0.56196,0.142361,0.5611,0.0102564
has_maxProperties,2,8,0,0.5,0.875,0
has_if_then_else,1,3,0.5,0,0.666667,0
deep_schema,51,251,0.077381,0.409639,0.812749,0
has_oneOf,75,289,0.0978261,0.380952,0.799308,0.0666667
has_exclusiveMinimum,2,17,0.461538,0,0.647059,0
large_enum,74,293,0.154255,0.295238,0.795222,0.0135135
has_pattern,214,1114,0.113892,0.311111,0.830341,0.0327103
has_maxItems,36,161,0.121739,0.26087,0.838509,0.111111
has_default,184,693,0.202765,0.166023,0.810967,0
has_ref,188,799,0.0882917,0.269784,0.848561,0
has_defs,210,883,0.0817391,0.272727,0.851642,0
many_properties,45,230,0.08,0.2625,0.856522,0
has_minProperties,21,86,0.185185,0.15625,0.825581,0
many_required,228,1046,0.121037,0.213068,0.847992,0
has_const,10,41,0,0.333333,0.878049,0
has_anyOf,69,361,0.113725,0.198113,0.861496,0.0144928
has_additionalProperties,810,3355,0.101818,0.206926,0.861997,0.0259259
has_type,1787,7117,0.118584,0.189449,0.855557,0.0134303
has_properties,1773,7058,0.118474,0.189441,0.855625,0.0135364
has_boolean_schema,788,3212,0.106169,0.196253,0.862391,0.0253807
has_required,1282,5217,0.113106,0.187733,0.860073,0.00936037
has_maxLength,154,669,0.100418,0.188482,0.874439,0.12987
has_minItems,114,531,0.111717,0.164634,0.87194,0.00877193
has_enum,419,1637,0.120192,0.134003,0.874771,0.026253
has_minLength,196,820,0.0907504,0.161943,0.887805,0.0918367
has_items,575,2404,0.0710245,0.178352,0.892679,0.0156522
