feature,correct,timeout,under,over,correct_n,timeout_n,under_n,over_n
has_additionalProperties,0.429412,0.875,0.477366,0.483776,1190,24,243,339
has_allOf,0.000840336,0,0.00823045,0.0560472,1190,24,243,339
has_anyOf,0.0352941,0.0416667,0.0534979,0.0383481,1190,24,243,339
has_boolean_schema,0.423529,0.833333,0.469136,0.448378,1190,24,243,339
has_const,0.00588235,0,0,0.00884956,1190,24,243,339
has_default,0.105042,0,0.131687,0.0825959,1190,24,243,339
has_defs,0.110924,0,0.0864198,0.171091,1190,24,243,339
has_enum,0.242857,0.458333,0.255144,0.176991,1190,24,243,339
has_exclusiveMinimum,0,0,0.00823045,0,1190,24,243,339
has_if_then_else,0,0,0.00411523,0,1190,24,243,339
has_items,0.342017,0.375,0.205761,0.324484,1190,24,243,339
has_maxItems,0.0176471,0.166667,0.0164609,0.020649,1190,24,243,339
has_maxLength,0.0621849,0.833333,0.139918,0.0766962,1190,24,243,339
has_maxProperties,0.000840336,0,0,0.00294985,1190,24,243,339
has_maximum,0.00504202,0.0833333,0.238683,0.0412979,1190,24,243,339
has_minItems,0.0663866,0.0416667,0.0658436,0.0530973,1190,24,243,339
has_minLength,0.0983193,0.75,0.131687,0.0855457,1190,24,243,339
has_minProperties,0.00756303,0,0.0329218,0.0117994,1190,24,243,339
has_minimum,0.0117647,0.0833333,0.62963,0.0825959,1190,24,243,339
has_multipleOf,0,0,0.0288066,0.00884956,1190,24,243,339
has_not,0,0,0.00411523,0.0117994,1190,24,243,339
has_oneOf,0.0252101,0.208333,0.0576132,0.0766962,1190,24,243,339
has_pattern,0.0857143,0.291667,0.17284,0.185841,1190,24,243,339
has_patternProperties,0.00420168,0,0.0329218,0.0914454,1190,24,243,339
has_properties,0.992437,1,0.99177,0.985251,1190,24,243,339
has_ref,0.097479,0,0.0864198,0.153392,1190,24,243,339
has_required,0.716807,0.5,0.728395,0.713864,1190,24,243,339
has_type,1,1,1,0.9941,1190,24,243,339
large_enum,0.0294118,0.0416667,0.0617284,0.0766962,1190,24,243,339
many_required,0.117647,0,0.139918,0.159292,1190,24,243,339
many_properties,0.0218487,0,0.0246914,0.0383481,1190,24,243,339
deep_schema,0.0193277,0,0.0288066,0.0619469,1190,24,243,339
