feature,schemas_with_feature,schemas_without_feature,over_with_feature,over_without_feature,over_denominator_with,over_denominator_without,over_rate_with,over_rate_without,lift,delta,support,global_over_rate,eligible_lift
has_allOf,22,1767,29,466,33,2567,0.878788,0.181535,4.84088,0.697253,0.0122974,0.190385,true
has_patternProperties,44,1745,50,445,71,2529,0.704225,0.175959,4.00222,0.528266,0.0245947,0.190385,true
deep_schema,51,1738,34,461,83,2517,0.409639,0.183155,2.23657,0.226484,0.0285075,0.190385,true
has_oneOf,75,1714,40,455,105,2495,0.380952,0.182365,2.08896,0.198588,0.0419229,0.190385,true
has_pattern,214,1575,98,397,315,2285,0.311111,0.173742,1.79065,0.137369,0.11962,0.190385,true
large_enum,74,1715,31,464,105,2495,0.295238,0.185972,1.58754,0.109266,0.0413639,0.190385,true
has_defs,210,1579,84,411,308,2292,0.272727,0.179319,1.5209,0.0934079,0.117384,0.190385,true
has_ref,188,1601,75,420,278,2322,0.269784,0.180879,1.49152,0.0889056,0.105087,0.190385,true
many_properties,45,1744,21,474,80,2520,0.2625,0.188095,1.39557,0.0744048,0.0251537,0.190385,true
has_maxItems,36,1753,12,483,46,2554,0.26087,0.189115,1.37942,0.0717545,0.020123,0.190385,true
has_additionalProperties,810,979,239,256,1155,1445,0.206926,0.177163,1.168,0.0297638,0.452767,0.190385,true
many_required,228,1561,75,420,352,2248,0.213068,0.186833,1.14042,0.0262354,0.127446,0.190385,true
has_boolean_schema,788,1001,220,275,1121,1479,0.196253,0.185936,1.05549,0.0103169,0.44047,0.190385,true
has_anyOf,69,1720,21,474,106,2494,0.198113,0.190056,1.04239,0.00805707,0.038569,0.190385,true
has_maximum,79,1710,21,474,111,2489,0.189189,0.190438,0.993443,-0.00124874,0.0441587,0.190385,true
has_maxLength,154,1635,36,459,191,2409,0.188482,0.190535,0.989221,-0.00205382,0.0860816,0.190385,true
has_required,1282,507,352,143,1875,725,0.187733,0.197241,0.951795,-0.00950805,0.716601,0.190385,true
has_items,575,1214,145,350,813,1787,0.178352,0.195859,0.910613,-0.0175072,0.321409,0.190385,true
has_default,184,1605,43,452,259,2341,0.166023,0.19308,0.859868,-0.0270567,0.102851,0.190385,true
has_minItems,114,1675,27,468,164,2436,0.164634,0.192118,0.856942,-0.0274841,0.0637228,0.190385,true
has_minLength,196,1593,40,455,247,2353,0.161943,0.19337,0.837478,-0.0314268,0.109558,0.190385,true
has_minProperties,21,1768,5,490,32,2568,0.15625,0.19081,0.818878,-0.03456,0.0117384,0.190385,true
has_minimum,195,1594,41,454,288,2312,0.142361,0.196367,0.724976,-0.0540057,0.108999,0.190385,true
has_properties,1773,16,488,7,2576,24,0.189441,0.291667,0.649512,-0.102226,0.991056,0.190385,true
has_enum,419,1370,80,415,597,2003,0.134003,0.207189,0.646768,-0.0731859,0.234209,0.190385,true
has_not,5,1784,6,489,8,2592,0.75,0.188657,3.97546,0.561343,0.00279486,0.190385,false
has_maxProperties,2,1787,1,494,2,2598,0.5,0.190146,2.62955,0.309854,0.00111794,0.190385,false
has_const,10,1779,5,490,15,2585,0.333333,0.189555,1.7585,0.143778,0.00558971,0.190385,false
has_multipleOf,10,1779,4,491,15,2585,0.266667,0.189942,1.40394,0.0767247,0.00558971,0.190385,false
has_type,1787,2,492,3,2597,3,0.189449,1,0.189449,-0.810551,0.998882,0.190385,false
has_if_then_else,1,1788,0,495,1,2599,0,0.190458,0,-0.190458,0.000558971,0.190385,false
has_exclusiveMinimum,2,1787,0,495,4,2596,0,0.190678,0,-0.190678,0.00111794,0.190385,false
