feature,feature_pair,feature_a,feature_b,n_schemas,support,risk_count,interest_score,timeout_lift,timeout_delta,under_lift,under_delta,over_lift,over_delta,correct,timeout,under,over,correct_n,timeout_n,under_n,over_n
[P] has_items + has_maxLength,has_items__AND__has_maxLength,has_items,has_maxLength,30,0.0167691,3,3.01956e+06,19.5444,0.189767,1.21128,0.0249177,1.31893,0.0604524,0.0092437,0.25,0.0288066,0.0176991,1190,24,243,339
[P] has_minLength + has_pattern,has_minLength__AND__has_pattern,has_minLength,has_pattern,43,0.0240358,3,3.0107e+06,10.6854,0.105397,1.25302,0.0296955,1.17138,0.0325129,0.012605,0.208333,0.0576132,0.0265487,1190,24,243,339
[P] has_enum + has_maximum,has_enum__AND__has_maximum,has_enum,has_maximum,21,0.0117384,3,3.0077e+06,7.65368,0.0827947,5.05026,0.450433,1.40726,0.0771725,0.000840336,0.0833333,0.0576132,0.0147493,1190,24,243,339
[P] has_maxItems + has_required,has_maxItems__AND__has_required,has_maxItems,has_required,27,0.0150922,3,3.00594e+06,5.93266,0.0615883,1.47112,0.0553513,1.42825,0.0810389,0.0134454,0.0833333,0.0164609,0.0147493,1190,24,243,339
[P] has_minItems + has_pattern,has_minItems__AND__has_pattern,has_minItems,has_pattern,14,0.0078256,3,3.00554e+06,5.51242,0.0584708,3.12012,0.245776,2.17003,0.220573,0.00252101,0.0416667,0.0205761,0.0147493,1190,24,243,339
[P] has_maximum + has_required,has_maximum__AND__has_required,has_maximum,has_required,54,0.0301845,3,3.00551e+06,1.39694,0.00526203,5.46692,0.444526,1.30628,0.057814,0.00420168,0.0416667,0.148148,0.0353982,1190,24,243,339
[P] has_boolean_schema + has_maximum,has_boolean_schema__AND__has_maximum,has_boolean_schema,has_maximum,41,0.0229178,3,3.0055e+06,3.87583,0.0361947,5.45393,0.465791,1.47338,0.0892467,0.000840336,0.0833333,0.115226,0.0324484,1190,24,243,339
[P] has_additionalProperties + has_maximum,has_additionalProperties__AND__has_maximum,has_additionalProperties,has_maximum,40,0.0223589,3,3.0055e+06,3.975,0.0374214,5.45393,0.465791,1.39874,0.0753013,0.000840336,0.0833333,0.115226,0.0294985,1190,24,243,339
[P] has_maxLength + has_minLength,has_maxLength__AND__has_minLength,has_maxLength,has_minLength,103,0.0575741,2,2.04912e+06,49.1068,0.171199,0.825993,-0.0208431,1.34508,0.0646764,0.0361345,0.75,0.0864198,0.0619469,1190,24,243,339
[P] has_maxItems + has_minLength,has_maxItems__AND__has_minLength,has_maxItems,has_minLength,6,0.00335383,2,2.0425e+06,42.4524,0.488222,2.97996,0.232549,0,-0.190751,0.000840336,0.125,0.00823045,0,1190,24,243,339
[P] has_maxItems + has_pattern,has_maxItems__AND__has_pattern,has_maxItems,has_pattern,11,0.00614869,2,2.03236e+06,32.3273,0.352388,2.21542,0.143118,2.03061,0.195207,0.00168067,0.166667,0.00823045,0.00884956,1190,24,243,339
[P] has_maxLength + has_oneOf,has_maxLength__AND__has_oneOf,has_maxLength,has_oneOf,15,0.00838457,2,2.03116e+06,31.1228,0.322623,1.24349,0.028796,2.11452,0.210832,0.000840336,0.208333,0.0205761,0.0117994,1190,24,243,339
[P] has_maxLength + has_maximum,has_maxLength__AND__has_maximum,has_maxLength,has_maximum,6,0.00335383,2,2.02705e+06,27.0152,0.320995,2.58955,0.186818,0.875169,-0.0237728,0,0.0833333,0.0123457,0.00294985,1190,24,243,339
[P] has_minLength + has_oneOf,has_minLength__AND__has_oneOf,has_minLength,has_oneOf,19,0.0106205,2,2.01865e+06,18.6316,0.199227,1.07836,0.00927673,2.0174,0.192119,0.00252101,0.166667,0.0246914,0.0176991,1190,24,243,339
[P] has_additionalProperties + has_maxItems,has_additionalProperties__AND__has_maxItems,has_additionalProperties,has_maxItems,22,0.0122974,2,2.01608e+06,16.0636,0.1705,0.515789,-0.0577708,1.53962,0.102226,0.0109244,0.166667,0.00411523,0.0117994,1190,24,243,339
[P] has_maxLength + has_pattern,has_maxLength__AND__has_pattern,has_maxLength,has_pattern,39,0.0217999,2,2.01182e+06,11.8084,0.117348,1.05706,0.00674748,1.40414,0.0763606,0.00840336,0.208333,0.0576132,0.0294985,1190,24,243,339
[P] has_maxLength + has_minimum,has_maxLength__AND__has_minimum,has_maxLength,has_minimum,14,0.0078256,2,2.01155e+06,11.526,0.130463,3.29572,0.264219,0.290373,-0.135769,0,0.0833333,0.0452675,0.00294985,1190,24,243,339
[P] has_items + has_minLength,has_items__AND__has_minLength,has_items,has_minLength,53,0.0296255,2,2.01093e+06,10.9182,0.102839,1.15025,0.0176881,1.19981,0.0378489,0.0210084,0.25,0.0452675,0.0324484,1190,24,243,339
[P] has_boolean_schema + has_oneOf,has_boolean_schema__AND__has_oneOf,has_boolean_schema,has_oneOf,44,0.0245947,2,2.01046e+06,10.4366,0.102748,0.782341,-0.0259354,2.29084,0.238762,0.0109244,0.208333,0.0411523,0.0471976,1190,24,243,339
[P] has_items + has_maxItems,has_items__AND__has_maxItems,has_items,has_maxItems,34,0.019005,2,2.01033e+06,10.3235,0.106251,1.02825,0.00334494,1.25577,0.048494,0.0168067,0.166667,0.0164609,0.0176991,1190,24,243,339
