feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,over_with_pair,over_without_pair,over_denominator_with,over_denominator_without,over_rate_with,over_rate_without,lift,delta,eligible_lift
has_allOf__AND__has_defs,has_allOf,has_defs,18,1771,0.0100615,25,470,28,2572,0.892857,0.182737,4.88602,0.71012,true
has_allOf__AND__has_ref,has_allOf,has_ref,18,1771,0.0100615,25,470,28,2572,0.892857,0.182737,4.88602,0.71012,true
has_allOf__AND__has_properties,has_allOf,has_properties,22,1767,0.0122974,29,466,33,2567,0.878788,0.181535,4.84088,0.697253,true
has_allOf__AND__has_type,has_allOf,has_type,22,1767,0.0122974,29,466,33,2567,0.878788,0.181535,4.84088,0.697253,true
has_additionalProperties__AND__has_patternProperties,has_additionalProperties,has_patternProperties,32,1757,0.0178871,44,451,52,2548,0.846154,0.177002,4.78049,0.669152,true
has_boolean_schema__AND__has_patternProperties,has_boolean_schema,has_patternProperties,32,1757,0.0178871,44,451,52,2548,0.846154,0.177002,4.78049,0.669152,true
has_allOf__AND__has_required,has_allOf,has_required,18,1771,0.0100615,22,473,26,2574,0.846154,0.183761,4.60465,0.662393,true
has_patternProperties__AND__has_properties,has_patternProperties,has_properties,38,1751,0.0212409,45,450,62,2538,0.725806,0.177305,4.09355,0.548501,true
has_patternProperties__AND__has_type,has_patternProperties,has_type,44,1745,0.0245947,50,445,71,2529,0.704225,0.175959,4.00222,0.528266,true
has_pattern__AND__has_patternProperties,has_pattern,has_patternProperties,14,1775,0.0078256,16,479,22,2578,0.727273,0.185803,3.91422,0.54147,true
has_patternProperties__AND__has_required,has_patternProperties,has_required,24,1765,0.0134153,28,467,42,2558,0.666667,0.182565,3.65168,0.484102,true
has_defs__AND__has_oneOf,has_defs,has_oneOf,20,1769,0.0111794,20,475,32,2568,0.625,0.184969,3.37895,0.440031,true
has_oneOf__AND__has_ref,has_oneOf,has_ref,20,1769,0.0111794,20,475,32,2568,0.625,0.184969,3.37895,0.440031,true
has_items__AND__has_patternProperties,has_items,has_patternProperties,14,1775,0.0078256,14,481,25,2575,0.56,0.186796,2.99792,0.373204,true
has_items__AND__has_oneOf,has_items,has_oneOf,32,1757,0.0178871,23,472,49,2551,0.469388,0.185025,2.53688,0.284362,true
has_minItems__AND__has_ref,has_minItems,has_ref,13,1776,0.00726663,10,485,21,2579,0.47619,0.188057,2.53216,0.288133,true
has_defs__AND__has_minItems,has_defs,has_minItems,14,1775,0.0078256,10,485,22,2578,0.454545,0.18813,2.41612,0.266415,true
has_additionalProperties__AND__has_oneOf,has_additionalProperties,has_oneOf,46,1743,0.0257127,27,468,63,2537,0.428571,0.18447,2.32326,0.244102,true
has_boolean_schema__AND__has_oneOf,has_boolean_schema,has_oneOf,44,1745,0.0245947,25,470,59,2541,0.423729,0.184967,2.29084,0.238762,true
has_oneOf__AND__has_required,has_oneOf,has_required,58,1731,0.0324203,35,460,85,2515,0.411765,0.182903,2.25128,0.228862,true
has_minItems__AND__has_pattern,has_minItems,has_pattern,14,1775,0.0078256,9,486,22,2578,0.409091,0.188518,2.17003,0.220573,true
has_oneOf__AND__has_properties,has_oneOf,has_properties,73,1716,0.0408049,39,456,102,2498,0.382353,0.182546,2.09456,0.199807,true
has_oneOf__AND__has_type,has_oneOf,has_type,75,1714,0.0419229,40,455,105,2495,0.380952,0.182365,2.08896,0.198588,true
has_anyOf__AND__has_enum,has_anyOf,has_enum,16,1773,0.00894354,9,486,23,2577,0.391304,0.188591,2.07488,0.202713,true
has_additionalProperties__AND__has_pattern,has_additionalProperties,has_pattern,119,1670,0.0665176,62,433,169,2431,0.366864,0.178116,2.05969,0.188748,true
