feature_pair,feature_a,feature_b,n_schemas,support,timeout_rate,under_rate,over_rate
has_maxItems__AND__has_maxLength,has_maxItems,has_maxLength,5,0.00279486,0.6,0.272727,0.333333
has_maxItems__AND__has_minLength,has_maxItems,has_minLength,6,0.00335383,0.5,0.35,0
has_maximum__AND__has_minLength,has_maximum,has_minLength,5,0.00279486,0.4,0.466667,0
has_maxItems__AND__has_pattern,has_maxItems,has_pattern,11,0.00614869,0.363636,0.26087,0.384615
has_maxLength__AND__has_oneOf,has_maxLength,has_oneOf,15,0.00838457,0.333333,0.147059,0.4
has_maxLength__AND__has_maximum,has_maxLength,has_maximum,6,0.00335383,0.333333,0.304348,0.166667
has_minLength__AND__has_oneOf,has_minLength,has_oneOf,19,0.0106205,0.210526,0.12766,0.380952
has_items__AND__has_maxLength,has_items,has_maxLength,30,0.0167691,0.2,0.142857,0.25
has_boolean_schema__AND__has_maxItems,has_boolean_schema,has_maxItems,20,0.0111794,0.2,0.0740741,0.15
has_additionalProperties__AND__has_maxLength,has_additionalProperties,has_maxLength,99,0.0553382,0.191919,0.0817844,0.192661
has_boolean_schema__AND__has_maxLength,has_boolean_schema,has_maxLength,99,0.0553382,0.191919,0.0817844,0.192661
has_enum__AND__has_maxLength,has_enum,has_maxLength,48,0.0268306,0.1875,0.101449,0.189655
has_additionalProperties__AND__has_maxItems,has_additionalProperties,has_maxItems,22,0.0122974,0.181818,0.0615385,0.291667
has_maxLength__AND__has_minLength,has_maxLength,has_minLength,103,0.0575741,0.174757,0.0989399,0.252101
has_enum__AND__has_minLength,has_enum,has_minLength,47,0.0262717,0.170213,0.096,0.196429
has_additionalProperties__AND__has_minLength,has_additionalProperties,has_minLength,109,0.0609279,0.165138,0.114391,0.171875
has_boolean_schema__AND__has_minLength,has_boolean_schema,has_minLength,109,0.0609279,0.165138,0.114391,0.171875
has_maxLength__AND__has_minimum,has_maxLength,has_minimum,14,0.0078256,0.142857,0.37931,0.0555556
has_maxLength__AND__has_properties,has_maxLength,has_properties,153,0.0855226,0.130719,0.101053,0.189474
has_maxLength__AND__has_type,has_maxLength,has_type,154,0.0860816,0.12987,0.100418,0.188482
has_maxLength__AND__has_pattern,has_maxLength,has_pattern,39,0.0217999,0.128205,0.125,0.265306
has_items__AND__has_maxItems,has_items,has_maxItems,34,0.019005,0.117647,0.121739,0.238095
has_maxItems__AND__has_properties,has_maxItems,has_properties,34,0.019005,0.117647,0.134615,0.272727
has_maxItems__AND__has_type,has_maxItems,has_type,34,0.019005,0.117647,0.126126,0.209302
has_minLength__AND__has_pattern,has_minLength,has_pattern,43,0.0240358,0.116279,0.147059,0.222222
has_boolean_schema__AND__has_oneOf,has_boolean_schema,has_oneOf,44,0.0245947,0.113636,0.0932203,0.423729
has_items__AND__has_minLength,has_items,has_minLength,53,0.0296255,0.113208,0.135417,0.227273
has_minLength__AND__has_minimum,has_minLength,has_minimum,18,0.0100615,0.111111,0.307692,0.0416667
