feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,timeout_with_pair,timeout_without_pair,timeout_denominator_with,timeout_denominator_without,timeout_rate_with,timeout_rate_without,lift,delta,eligible_lift
has_properties__AND__has_type,has_properties,has_type,1771,18,0.989939,24,0,1771,18,0.0135517,0,inf,0.0135517,true
has_additionalProperties__AND__has_maxLength,has_additionalProperties,has_maxLength,99,1690,0.0553382,19,5,99,1690,0.191919,0.00295858,64.8687,0.188961,true
has_boolean_schema__AND__has_maxLength,has_boolean_schema,has_maxLength,99,1690,0.0553382,19,5,99,1690,0.191919,0.00295858,64.8687,0.188961,true
has_maxLength__AND__has_properties,has_maxLength,has_properties,153,1636,0.0855226,20,4,153,1636,0.130719,0.00244499,53.4641,0.128274,true
has_maxLength__AND__has_type,has_maxLength,has_type,154,1635,0.0860816,20,4,154,1635,0.12987,0.00244648,53.0844,0.127424,true
has_maxItems__AND__has_maxLength,has_maxItems,has_maxLength,5,1784,0.00279486,3,21,5,1784,0.6,0.0117713,50.9714,0.588229,true
has_maxLength__AND__has_minLength,has_maxLength,has_minLength,103,1686,0.0575741,18,6,103,1686,0.174757,0.00355872,49.1068,0.171199,true
has_additionalProperties__AND__has_minLength,has_additionalProperties,has_minLength,109,1680,0.0609279,18,6,109,1680,0.165138,0.00357143,46.2385,0.161566,true
has_boolean_schema__AND__has_minLength,has_boolean_schema,has_minLength,109,1680,0.0609279,18,6,109,1680,0.165138,0.00357143,46.2385,0.161566,true
has_maxItems__AND__has_minLength,has_maxItems,has_minLength,6,1783,0.00335383,3,21,6,1783,0.5,0.0117779,42.4524,0.488222,true
has_maximum__AND__has_minLength,has_maximum,has_minLength,5,1784,0.00279486,2,22,5,1784,0.4,0.0123318,32.4364,0.387668,true
has_maxItems__AND__has_pattern,has_maxItems,has_pattern,11,1778,0.00614869,4,20,11,1778,0.363636,0.0112486,32.3273,0.352388,true
