feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,under_with_pair,under_without_pair,under_denominator_with,under_denominator_without,under_rate_with,under_rate_without,lift,delta,eligible_lift
has_minimum__AND__has_properties,has_minimum,has_properties,193,1596,0.107881,390,146,682,3842,0.571848,0.038001,15.0482,0.533846,true
has_minimum__AND__has_type,has_minimum,has_type,195,1594,0.108999,390,146,694,3830,0.56196,0.0381201,14.7418,0.52384,true
has_default__AND__has_maximum,has_default,has_maximum,19,1770,0.0106205,59,477,69,4455,0.855072,0.107071,7.98605,0.748002,true
has_minimum__AND__has_required,has_minimum,has_required,151,1638,0.0844047,278,258,540,3984,0.514815,0.064759,7.9497,0.450056,true
has_maximum__AND__has_properties,has_maximum,has_properties,78,1711,0.0435998,183,353,286,4238,0.63986,0.083294,7.68195,0.556566,true
has_maximum__AND__has_minimum,has_maximum,has_minimum,76,1713,0.0424818,177,359,275,4249,0.643636,0.0844905,7.61786,0.559146,true
has_maximum__AND__has_type,has_maximum,has_type,79,1710,0.0441587,183,353,291,4233,0.628866,0.0833924,7.54105,0.545474,true
has_default__AND__has_minimum,has_default,has_minimum,32,1757,0.0178871,81,455,110,4414,0.736364,0.103081,7.14354,0.633283,true
has_boolean_schema__AND__has_minimum,has_boolean_schema,has_minimum,89,1700,0.0497485,151,385,298,4226,0.506711,0.0911027,5.56198,0.415609,true
has_maximum__AND__has_required,has_maximum,has_required,54,1735,0.0301845,105,431,193,4331,0.544041,0.0995151,5.46692,0.444526,true
has_boolean_schema__AND__has_maximum,has_boolean_schema,has_maximum,41,1748,0.0229178,77,459,135,4389,0.57037,0.10458,5.45393,0.465791,true
has_additionalProperties__AND__has_maximum,has_additionalProperties,has_maximum,40,1749,0.0223589,77,459,135,4389,0.57037,0.10458,5.45393,0.465791,true
has_additionalProperties__AND__has_minimum,has_additionalProperties,has_minimum,90,1699,0.0503074,151,385,305,4219,0.495082,0.0912539,5.42533,0.403828,true
has_minimum__AND__has_multipleOf,has_minimum,has_multipleOf,6,1783,0.00335383,13,523,22,4502,0.590909,0.116171,5.08656,0.474739,true
has_enum__AND__has_maximum,has_enum,has_maximum,21,1768,0.0117384,41,495,73,4451,0.561644,0.111211,5.05026,0.450433,true
has_enum__AND__has_minimum,has_enum,has_minimum,52,1737,0.0290665,101,435,206,4318,0.490291,0.100741,4.86685,0.38955,true
has_additionalProperties__AND__has_multipleOf,has_additionalProperties,has_multipleOf,9,1780,0.00503074,12,524,22,4502,0.545455,0.116393,4.68633,0.429062,true
has_boolean_schema__AND__has_multipleOf,has_boolean_schema,has_multipleOf,9,1780,0.00503074,12,524,22,4502,0.545455,0.116393,4.68633,0.429062,true
has_multipleOf__AND__has_properties,has_multipleOf,has_properties,10,1779,0.00558971,15,521,28,4496,0.535714,0.115881,4.62298,0.419834,true
has_multipleOf__AND__has_type,has_multipleOf,has_type,10,1779,0.00558971,15,521,28,4496,0.535714,0.115881,4.62298,0.419834,true
has_maximum__AND__has_ref,has_maximum,has_ref,7,1782,0.0039128,13,523,27,4497,0.481481,0.1163,4.14,0.365182,true
has_multipleOf__AND__has_required,has_multipleOf,has_required,9,1780,0.00503074,12,524,25,4499,0.48,0.11647,4.12122,0.36353,true
has_defs__AND__has_minimum,has_defs,has_minimum,19,1770,0.0106205,34,502,76,4448,0.447368,0.11286,3.96393,0.334509,true
has_minimum__AND__has_ref,has_minimum,has_ref,19,1770,0.0106205,33,503,75,4449,0.44,0.113059,3.89177,0.326941,true
has_defs__AND__has_maximum,has_defs,has_maximum,6,1783,0.00335383,11,525,25,4499,0.44,0.116693,3.77059,0.323307,true
has_maxLength__AND__has_minimum,has_maxLength,has_minimum,14,1775,0.0078256,22,514,58,4466,0.37931,0.115092,3.29572,0.264219,true
has_default__AND__has_ref,has_default,has_ref,9,1780,0.00503074,10,526,26,4498,0.384615,0.116941,3.28897,0.267675,true
has_items__AND__has_maximum,has_items,has_maximum,19,1770,0.0106205,29,507,78,4446,0.371795,0.114035,3.26036,0.25776,true
has_anyOf__AND__has_minimum,has_anyOf,has_minimum,5,1784,0.00279486,14,522,37,4487,0.378378,0.116336,3.25246,0.262042,true
has_default__AND__has_defs,has_default,has_defs,11,1778,0.00614869,10,526,27,4497,0.37037,0.116967,3.16646,0.253404,true
has_items__AND__has_minimum,has_items,has_minimum,52,1737,0.0290665,76,460,225,4299,0.337778,0.107002,3.15675,0.230776,true
has_minItems__AND__has_pattern,has_minItems,has_pattern,14,1775,0.0078256,17,519,47,4477,0.361702,0.115926,3.12012,0.245776,true
has_maxItems__AND__has_minimum,has_maxItems,has_minimum,5,1784,0.00279486,11,525,31,4493,0.354839,0.116848,3.03674,0.23799,true
has_maxItems__AND__has_minLength,has_maxItems,has_minLength,6,1783,0.00335383,7,529,20,4504,0.35,0.117451,2.97996,0.232549,true
has_minItems__AND__has_patternProperties,has_minItems,has_patternProperties,9,1780,0.00503074,8,528,24,4500,0.333333,0.117333,2.84091,0.216,true
has_maximum__AND__has_pattern,has_maximum,has_pattern,12,1777,0.00670766,17,519,53,4471,0.320755,0.116081,2.76319,0.204673,true
has_minimum__AND__has_pattern,has_minimum,has_pattern,24,1765,0.0134153,38,498,122,4402,0.311475,0.11313,2.75324,0.198345,true
has_minLength__AND__has_minimum,has_minLength,has_minimum,18,1771,0.0100615,24,512,78,4446,0.307692,0.11516,2.67188,0.192533,true
has_maxLength__AND__has_maximum,has_maxLength,has_maximum,6,1783,0.00335383,7,529,23,4501,0.304348,0.117529,2.58955,0.186818,true
has_items__AND__has_patternProperties,has_items,has_patternProperties,14,1775,0.0078256,11,525,37,4487,0.297297,0.117005,2.5409,0.180293,true
has_anyOf__AND__has_minItems,has_anyOf,has_minItems,11,1778,0.00614869,11,525,40,4484,0.275,0.117083,2.34876,0.157917,true
has_maximum__AND__has_minItems,has_maximum,has_minItems,7,1782,0.0039128,10,526,38,4486,0.263158,0.117254,2.24435,0.145904,true
has_maxItems__AND__has_pattern,has_maxItems,has_pattern,11,1778,0.00614869,6,530,23,4501,0.26087,0.117752,2.21542,0.143118,true
has_minItems__AND__has_minimum,has_minItems,has_minimum,15,1774,0.00838457,21,515,82,4442,0.256098,0.115939,2.2089,0.140159,true
has_default__AND__has_properties,has_default,has_properties,182,1607,0.101733,88,448,424,4100,0.207547,0.109268,1.89943,0.0982789,true
has_default__AND__has_type,has_default,has_type,184,1605,0.102851,88,448,434,4090,0.202765,0.109535,1.85114,0.0932295,true
has_minimum__AND__has_oneOf,has_minimum,has_oneOf,9,1780,0.00503074,8,528,43,4481,0.186047,0.117831,1.57893,0.0682157,true
has_minProperties__AND__has_type,has_minProperties,has_type,21,1768,0.0117384,10,526,54,4470,0.185185,0.117673,1.57372,0.0675118,true
has_minItems__AND__has_minLength,has_minItems,has_minLength,22,1767,0.0122974,18,518,98,4426,0.183673,0.117036,1.56938,0.0666378,true
has_default__AND__has_required,has_default,has_required,121,1668,0.0676356,47,489,262,4262,0.179389,0.114735,1.56351,0.0646544,true
has_maxItems__AND__has_required,has_maxItems,has_required,27,1762,0.0150922,14,522,81,4443,0.17284,0.117488,1.47112,0.0553513,true
has_default__AND__has_enum,has_default,has_enum,37,1752,0.0206819,14,522,82,4442,0.170732,0.117515,1.45285,0.0532171,true
has_patternProperties__AND__has_type,has_patternProperties,has_type,44,1745,0.0245947,17,519,106,4418,0.160377,0.117474,1.36522,0.0429034,true
has_anyOf__AND__has_default,has_anyOf,has_default,7,1782,0.0039128,4,532,25,4499,0.16,0.118248,1.35308,0.0417515,true
has_maxItems__AND__has_minItems,has_maxItems,has_minItems,27,1762,0.0150922,14,522,91,4433,0.153846,0.117753,1.30651,0.0360929,true
has_default__AND__has_minLength,has_default,has_minLength,6,1783,0.00335383,3,533,20,4504,0.15,0.118339,1.26754,0.0316607,true
has_maxLength__AND__has_minItems,has_maxLength,has_minItems,6,1783,0.00335383,3,533,20,4504,0.15,0.118339,1.26754,0.0316607,true
has_minLength__AND__has_pattern,has_minLength,has_pattern,43,1746,0.0240358,25,511,170,4354,0.147059,0.117363,1.25302,0.0296955,true
has_maxLength__AND__has_oneOf,has_maxLength,has_oneOf,15,1774,0.00838457,5,531,34,4490,0.147059,0.118263,1.24349,0.028796,true
has_boolean_schema__AND__has_default,has_boolean_schema,has_default,67,1722,0.0374511,24,512,167,4357,0.143713,0.117512,1.22296,0.0262005,true
has_items__AND__has_maxLength,has_items,has_maxLength,30,1759,0.0167691,14,522,98,4426,0.142857,0.117939,1.21128,0.0249177,true
has_additionalProperties__AND__has_default,has_additionalProperties,has_default,68,1721,0.0380101,24,512,173,4351,0.138728,0.117674,1.17892,0.0210542,true
has_minProperties__AND__has_properties,has_minProperties,has_properties,16,1773,0.00894354,7,529,51,4473,0.137255,0.118265,1.16057,0.0189898,true
has_items__AND__has_minLength,has_items,has_minLength,53,1736,0.0296255,26,510,192,4332,0.135417,0.117729,1.15025,0.0176881,true
has_maxItems__AND__has_properties,has_maxItems,has_properties,34,1755,0.019005,14,522,104,4420,0.134615,0.1181,1.13985,0.0165158,true
has_enum__AND__has_items,has_enum,has_items,109,1680,0.0609279,40,496,301,4223,0.13289,0.117452,1.13144,0.0154383,true
has_patternProperties__AND__has_properties,has_patternProperties,has_properties,38,1751,0.0212409,12,524,93,4431,0.129032,0.118258,1.09111,0.0107745,true
has_properties__AND__has_type,has_properties,has_type,1771,18,0.989939,531,5,4478,46,0.11858,0.108696,1.09093,0.00988407,true
has_boolean_schema__AND__has_minProperties,has_boolean_schema,has_minProperties,9,1780,0.00503074,4,532,31,4493,0.129032,0.118406,1.08974,0.0106258,true
has_enum__AND__has_pattern,has_enum,has_pattern,51,1738,0.0285075,26,510,204,4320,0.127451,0.118056,1.07958,0.00939542,true
has_minLength__AND__has_oneOf,has_minLength,has_oneOf,19,1770,0.0106205,6,530,47,4477,0.12766,0.118383,1.07836,0.00927673,true
has_maxItems__AND__has_type,has_maxItems,has_type,34,1755,0.019005,14,522,111,4413,0.126126,0.118287,1.06627,0.00783925,true
has_maxLength__AND__has_pattern,has_maxLength,has_pattern,39,1750,0.0217999,19,517,152,4372,0.125,0.118253,1.05706,0.00674748,true
has_additionalProperties__AND__has_minProperties,has_additionalProperties,has_minProperties,14,1775,0.0078256,6,530,49,4475,0.122449,0.118436,1.03389,0.00401323,true
has_items__AND__has_maxItems,has_items,has_maxItems,34,1755,0.019005,14,522,115,4409,0.121739,0.118394,1.02825,0.00334494,true
has_enum__AND__has_type,has_enum,has_type,417,1372,0.233091,125,411,1036,3488,0.120656,0.117833,1.02396,0.0028238,true
has_enum__AND__has_properties,has_enum,has_properties,419,1370,0.234209,125,411,1040,3484,0.120192,0.117968,1.01886,0.00222445,true
has_anyOf__AND__has_required,has_anyOf,has_required,48,1741,0.0268306,22,514,187,4337,0.117647,0.118515,0.992676,-0.000868044,true
has_pattern__AND__has_required,has_pattern,has_required,172,1617,0.0961431,78,458,665,3859,0.117293,0.118684,0.988285,-0.00139036,true
has_patternProperties__AND__has_required,has_patternProperties,has_required,24,1765,0.0134153,7,529,60,4464,0.116667,0.118504,0.984499,-0.00183692,true
has_boolean_schema__AND__has_enum,has_boolean_schema,has_enum,191,1598,0.106764,58,478,498,4026,0.116466,0.118728,0.980945,-0.0022624,true
has_oneOf__AND__has_pattern,has_oneOf,has_pattern,18,1771,0.0100615,7,529,61,4463,0.114754,0.11853,0.968143,-0.00377604,true
has_additionalProperties__AND__has_minLength,has_additionalProperties,has_minLength,109,1680,0.0609279,31,505,271,4253,0.114391,0.11874,0.963377,-0.00434857,true
has_boolean_schema__AND__has_minLength,has_boolean_schema,has_minLength,109,1680,0.0609279,31,505,271,4253,0.114391,0.11874,0.963377,-0.00434857,true
has_enum__AND__has_required,has_enum,has_required,307,1482,0.171604,92,444,802,3722,0.114713,0.119291,0.961627,-0.00457749,true
has_additionalProperties__AND__has_enum,has_additionalProperties,has_enum,194,1595,0.10844,58,478,507,4017,0.114398,0.118994,0.961378,-0.00459585,true
has_pattern__AND__has_type,has_pattern,has_type,212,1577,0.118502,91,445,795,3729,0.114465,0.119335,0.959194,-0.00486953,true
has_pattern__AND__has_patternProperties,has_pattern,has_patternProperties,14,1775,0.0078256,5,531,44,4480,0.113636,0.118527,0.95874,-0.00489042,true
has_anyOf__AND__has_type,has_anyOf,has_type,68,1721,0.0380101,29,507,255,4269,0.113725,0.118763,0.957582,-0.00503769,true
has_defs__AND__has_enum,has_defs,has_enum,42,1747,0.0234768,12,524,107,4417,0.11215,0.118633,0.945352,-0.00648302,true
has_enum__AND__has_ref,has_enum,has_ref,41,1748,0.0229178,12,524,107,4417,0.11215,0.118633,0.945352,-0.00648302,true
has_minItems__AND__has_type,has_minItems,has_type,113,1676,0.0631638,41,495,367,4157,0.111717,0.119076,0.938194,-0.00735964,true
has_pattern__AND__has_properties,has_pattern,has_properties,213,1576,0.119061,89,447,797,3727,0.111669,0.119936,0.931073,-0.00826685,true
has_boolean_schema__AND__has_pattern,has_boolean_schema,has_pattern,118,1671,0.0659586,47,489,429,4095,0.109557,0.119414,0.917457,-0.00985681,true
has_items__AND__has_minItems,has_items,has_minItems,109,1680,0.0609279,38,498,350,4174,0.108571,0.11931,0.909994,-0.0107386,true
has_additionalProperties__AND__has_pattern,has_additionalProperties,has_pattern,119,1670,0.0665176,47,489,433,4091,0.108545,0.119531,0.908094,-0.0109856,true
has_boolean_schema__AND__has_minItems,has_boolean_schema,has_minItems,49,1740,0.0273896,17,519,158,4366,0.107595,0.118873,0.905124,-0.0112782,true
has_minProperties__AND__has_required,has_minProperties,has_required,12,1777,0.00670766,5,531,47,4477,0.106383,0.118606,0.896943,-0.0122232,true
has_additionalProperties__AND__has_minItems,has_additionalProperties,has_minItems,48,1741,0.0268306,17,519,160,4364,0.10625,0.118928,0.893401,-0.0126776,true
has_minItems__AND__has_required,has_minItems,has_required,98,1691,0.0547792,34,502,319,4205,0.106583,0.119382,0.892792,-0.0127986,true
has_minItems__AND__has_properties,has_minItems,has_properties,107,1682,0.0598099,36,500,339,4185,0.106195,0.119474,0.88885,-0.0132796,true
has_items__AND__has_pattern,has_items,has_pattern,69,1720,0.038569,27,509,259,4265,0.104247,0.119343,0.873505,-0.0150964,true
has_anyOf__AND__has_properties,has_anyOf,has_properties,68,1721,0.0380101,26,510,252,4272,0.103175,0.119382,0.864239,-0.0162074,true
has_enum__AND__has_maxLength,has_enum,has_maxLength,48,1741,0.0268306,14,522,138,4386,0.101449,0.119015,0.852407,-0.0175658,true
has_oneOf__AND__has_properties,has_oneOf,has_properties,73,1716,0.0408049,18,518,178,4346,0.101124,0.11919,0.848423,-0.0180665,true
has_properties__AND__has_required,has_properties,has_required,1282,507,0.716601,378,158,3342,1182,0.113106,0.133672,0.846147,-0.0205658,true
has_required__AND__has_type,has_required,has_type,1281,508,0.716042,378,158,3342,1182,0.113106,0.133672,0.846147,-0.0205658,true
has_oneOf__AND__has_required,has_oneOf,has_required,58,1731,0.0324203,16,520,159,4365,0.100629,0.119129,0.844702,-0.0185005,true
has_maxLength__AND__has_properties,has_maxLength,has_properties,153,1636,0.0855226,48,488,475,4049,0.101053,0.120524,0.838447,-0.019471,true
has_maxLength__AND__has_type,has_maxLength,has_type,154,1635,0.0860816,48,488,478,4046,0.100418,0.120613,0.832567,-0.0201945,true
has_boolean_schema__AND__has_properties,has_boolean_schema,has_properties,783,1006,0.437675,222,314,2078,2446,0.106833,0.128373,0.832213,-0.0215394,true
has_maxLength__AND__has_minLength,has_maxLength,has_minLength,103,1686,0.0575741,28,508,283,4241,0.0989399,0.119783,0.825993,-0.0208431,true
has_additionalProperties__AND__has_boolean_schema,has_additionalProperties,has_boolean_schema,783,1006,0.437675,222,314,2087,2437,0.106373,0.128847,0.825575,-0.0224742,true
has_boolean_schema__AND__has_type,has_boolean_schema,has_type,788,1001,0.44047,222,314,2091,2433,0.106169,0.129059,0.822643,-0.0228895,true
has_oneOf__AND__has_type,has_oneOf,has_type,75,1714,0.0419229,18,518,184,4340,0.0978261,0.119355,0.819624,-0.0215288,true
has_maxLength__AND__has_required,has_maxLength,has_required,114,1675,0.0637228,38,498,386,4138,0.0984456,0.120348,0.818008,-0.0219024,true
has_enum__AND__has_minItems,has_enum,has_minItems,24,1765,0.0134153,8,528,83,4441,0.0963855,0.118892,0.810697,-0.0225066,true
has_enum__AND__has_minLength,has_enum,has_minLength,47,1742,0.0262717,12,524,125,4399,0.096,0.119118,0.805924,-0.023118,true
has_defs__AND__has_patternProperties,has_defs,has_patternProperties,7,1782,0.0039128,2,534,21,4503,0.0952381,0.118588,0.803103,-0.0233495,true
has_patternProperties__AND__has_ref,has_patternProperties,has_ref,7,1782,0.0039128,2,534,21,4503,0.0952381,0.118588,0.803103,-0.0233495,true
has_anyOf__AND__has_items,has_anyOf,has_items,31,1758,0.0173281,13,523,136,4388,0.0955882,0.119189,0.801991,-0.0236005,true
has_boolean_schema__AND__has_required,has_boolean_schema,has_required,606,1183,0.338737,167,369,1648,2876,0.101335,0.128303,0.789808,-0.0269682,true
has_enum__AND__has_maxItems,has_enum,has_maxItems,13,1776,0.00726663,4,532,43,4481,0.0930233,0.118723,0.783529,-0.0257002,true
has_boolean_schema__AND__has_oneOf,has_boolean_schema,has_oneOf,44,1745,0.0245947,11,525,118,4406,0.0932203,0.119156,0.782341,-0.0259354,true
has_enum__AND__has_oneOf,has_enum,has_oneOf,33,1756,0.0184461,8,528,86,4438,0.0930233,0.118973,0.781889,-0.0259493,true
has_additionalProperties__AND__has_properties,has_additionalProperties,has_properties,803,986,0.448854,224,312,2179,2345,0.102799,0.133049,0.772643,-0.0302496,true
has_additionalProperties__AND__has_type,has_additionalProperties,has_type,810,979,0.452767,224,312,2200,2324,0.101818,0.134251,0.758415,-0.0324331,true
has_minLength__AND__has_properties,has_minLength,has_properties,195,1594,0.108999,52,484,570,3954,0.0912281,0.122408,0.745281,-0.0311796,true
