feature,schemas_with_feature,schemas_without_feature,timeout_with_feature,timeout_without_feature,timeout_rate_with,timeout_rate_without,lift,support,global_timeout_rate
has_properties,1773,16,24,0,0.0135364,0,inf,0.991056,0.0134153
has_type,1787,2,24,0,0.0134303,0,inf,0.998882,0.0134153
has_maxLength,154,1635,20,4,0.12987,0.00244648,53.0844,0.0860816,0.0134153
has_minLength,196,1593,18,6,0.0918367,0.00376648,24.3827,0.109558,0.0134153
has_maxItems,36,1753,4,20,0.111111,0.011409,9.73889,0.020123,0.0134153
has_additionalProperties,810,979,21,3,0.0259259,0.00306435,8.46049,0.452767,0.0134153
has_boolean_schema,788,1001,20,4,0.0253807,0.003996,6.35152,0.44047,0.0134153
has_oneOf,75,1714,5,19,0.0666667,0.0110852,6.01404,0.0419229,0.0134153
has_pattern,214,1575,7,17,0.0327103,0.0107937,3.03051,0.11962,0.0134153
has_enum,419,1370,11,13,0.026253,0.00948905,2.76666,0.234209,0.0134153
has_maximum,79,1710,2,22,0.0253165,0.0128655,1.96778,0.0441587,0.0134153
has_items,575,1214,9,15,0.0156522,0.0123558,1.26678,0.321409,0.0134153
has_anyOf,69,1720,1,23,0.0144928,0.0133721,1.08381,0.038569,0.0134153
large_enum,74,1715,1,23,0.0135135,0.0134111,1.00764,0.0413639,0.0134153
has_minimum,195,1594,2,22,0.0102564,0.0138018,0.743124,0.108999,0.0134153
has_minItems,114,1675,1,23,0.00877193,0.0137313,0.638825,0.0637228,0.0134153
has_required,1282,507,12,12,0.00936037,0.0236686,0.395476,0.716601,0.0134153
has_allOf,22,1767,0,24,0,0.0135823,0,0.0122974,0.0134153
has_const,10,1779,0,24,0,0.0134907,0,0.00558971,0.0134153
has_default,184,1605,0,24,0,0.0149533,0,0.102851,0.0134153
has_defs,210,1579,0,24,0,0.0151995,0,0.117384,0.0134153
has_exclusiveMinimum,2,1787,0,24,0,0.0134303,0,0.00111794,0.0134153
has_if_then_else,1,1788,0,24,0,0.0134228,0,0.000558971,0.0134153
has_maxProperties,2,1787,0,24,0,0.0134303,0,0.00111794,0.0134153
has_minProperties,21,1768,0,24,0,0.0135747,0,0.0117384,0.0134153
has_multipleOf,10,1779,0,24,0,0.0134907,0,0.00558971,0.0134153
has_not,5,1784,0,24,0,0.0134529,0,0.00279486,0.0134153
has_patternProperties,44,1745,0,24,0,0.0137536,0,0.0245947,0.0134153
has_ref,188,1601,0,24,0,0.0149906,0,0.105087,0.0134153
many_required,228,1561,0,24,0,0.0153748,0,0.127446,0.0134153
many_properties,45,1744,0,24,0,0.0137615,0,0.0251537,0.0134153
deep_schema,51,1738,0,24,0,0.013809,0,0.0285075,0.0134153
