feature,schemas_with_feature,schemas_without_feature,under_with_feature,under_without_feature,under_denominator_with,under_denominator_without,under_rate_with,under_rate_without,lift,delta,support,global_under_rate,eligible_lift
has_minimum,195,1594,390,146,694,3830,0.56196,0.0381201,14.7418,0.52384,0.108999,0.118479,true
has_maximum,79,1710,183,353,291,4233,0.628866,0.0833924,7.54105,0.545474,0.0441587,0.118479,true
has_multipleOf,10,1779,15,521,28,4496,0.535714,0.115881,4.62298,0.419834,0.00558971,0.118479,true
has_default,184,1605,88,448,434,4090,0.202765,0.109535,1.85114,0.0932295,0.102851,0.118479,true
has_minProperties,21,1768,10,526,54,4470,0.185185,0.117673,1.57372,0.0675118,0.0117384,0.118479,true
has_patternProperties,44,1745,17,519,106,4418,0.160377,0.117474,1.36522,0.0429034,0.0245947,0.118479,true
large_enum,74,1715,29,507,188,4336,0.154255,0.116928,1.31923,0.0373273,0.0413639,0.118479,true
has_maxItems,36,1753,14,522,115,4409,0.121739,0.118394,1.02825,0.00334494,0.020123,0.118479,true
many_required,228,1561,84,452,694,3830,0.121037,0.118016,1.02561,0.0030218,0.127446,0.118479,true
has_enum,419,1370,125,411,1040,3484,0.120192,0.117968,1.01886,0.00222445,0.234209,0.118479,true
has_properties,1773,16,531,5,4482,42,0.118474,0.119048,0.995181,-0.000573723,0.991056,0.118479,true
has_anyOf,69,1720,29,507,255,4269,0.113725,0.118763,0.957582,-0.00503769,0.038569,0.118479,true
has_pattern,214,1575,91,445,799,3725,0.113892,0.119463,0.953369,-0.00557072,0.11962,0.118479,true
has_minItems,114,1675,41,495,367,4157,0.111717,0.119076,0.938194,-0.00735964,0.0637228,0.118479,true
has_required,1282,507,378,158,3342,1182,0.113106,0.133672,0.846147,-0.0205658,0.716601,0.118479,true
has_maxLength,154,1635,48,488,478,4046,0.100418,0.120613,0.832567,-0.0201945,0.0860816,0.118479,true
has_boolean_schema,788,1001,222,314,2091,2433,0.106169,0.129059,0.822643,-0.0228895,0.44047,0.118479,true
has_oneOf,75,1714,18,518,184,4340,0.0978261,0.119355,0.819624,-0.0215288,0.0419229,0.118479,true
has_additionalProperties,810,979,224,312,2200,2324,0.101818,0.134251,0.758415,-0.0324331,0.452767,0.118479,true
has_minLength,196,1593,52,484,573,3951,0.0907504,0.122501,0.740816,-0.0317502,0.109558,0.118479,true
has_ref,188,1601,46,490,521,4003,0.0882917,0.122408,0.72129,-0.0341164,0.105087,0.118479,true
many_properties,45,1744,12,524,150,4374,0.08,0.119799,0.667786,-0.0397988,0.0251537,0.118479,true
has_defs,210,1579,47,489,575,3949,0.0817391,0.123829,0.660098,-0.0420897,0.117384,0.118479,true
deep_schema,51,1738,13,523,168,4356,0.077381,0.120064,0.644496,-0.0426833,0.0285075,0.118479,true
has_items,575,1214,113,423,1591,2933,0.0710245,0.144221,0.49247,-0.0731964,0.321409,0.118479,true
has_allOf,22,1767,3,533,79,4445,0.0379747,0.11991,0.316693,-0.0819353,0.0122974,0.118479,true
has_const,10,1779,0,536,26,4498,0,0.119164,0,-0.119164,0.00558971,0.118479,true
has_type,1787,2,536,0,4520,4,0.118584,0,inf,0.118584,0.998882,0.118479,false
has_if_then_else,1,1788,1,535,2,4522,0.5,0.11831,4.22617,0.38169,0.000558971,0.118479,false
has_exclusiveMinimum,2,1787,6,530,13,4511,0.461538,0.117491,3.9283,0.344048,0.00111794,0.118479,false
has_not,5,1784,2,534,18,4506,0.111111,0.118509,0.937578,-0.00739754,0.00279486,0.118479,false
has_maxProperties,2,1787,0,536,6,4518,0,0.118637,0,-0.118637,0.00111794,0.118479,false
