schema_id,test_id,tokens_checked,num_tokens,rejection_ratio,first_rejected_token_index
Github_easy---o10337.json,Github_easy---o10337.json::test_00000,1,19,0.0526316,0
Github_easy---o11187.json,Github_easy---o11187.json::test_00000,14,27,0.518519,13
Github_easy---o11187.json,Github_easy---o11187.json::test_00002,14,29,0.482759,13
Github_easy---o12070.json,Github_easy---o12070.json::test_00000,23,31,0.741935,22
Github_easy---o12078.json,Github_easy---o12078.json::test_00000,36,60,0.6,35
Github_easy---o12078.json,Github_easy---o12078.json::test_00004,53,77,0.688312,52
Github_easy---o12290.json,Github_easy---o12290.json::test_00000,76,83,0.915663,75
Github_easy---o12381.json,Github_easy---o12381.json::test_00000,18,25,0.72,17
Github_easy---o12489.json,Github_easy---o12489.json::test_00000,92,103,0.893204,91
Github_easy---o12489.json,Github_easy---o12489.json::test_00002,88,99,0.888889,87
Github_easy---o12490.json,Github_easy---o12490.json::test_00000,21,29,0.724138,20
Github_easy---o12494.json,Github_easy---o12494.json::test_00000,49,66,0.742424,48
Github_easy---o12494.json,Github_easy---o12494.json::test_00002,49,63,0.777778,48
Github_easy---o12608.json,Github_easy---o12608.json::test_00000,5,54,0.0925926,4
Github_easy---o12629.json,Github_easy---o12629.json::test_00000,16,35,0.457143,15
Github_easy---o12629.json,Github_easy---o12629.json::test_00003,16,44,0.363636,15
Github_easy---o12649.json,Github_easy---o12649.json::test_00000,26,33,0.787879,25
Github_easy---o12970.json,Github_easy---o12970.json::test_00000,59,80,0.7375,58
Github_easy---o12970.json,Github_easy---o12970.json::test_00003,69,90,0.766667,68
Github_easy---o13111.json,Github_easy---o13111.json::test_00000,22,50,0.44,21
Github_easy---o13667.json,Github_easy---o13667.json::test_00000,10,76,0.131579,9
Github_easy---o13687.json,Github_easy---o13687.json::test_00000,20,52,0.384615,19
Github_easy---o13688.json,Github_easy---o13688.json::test_00000,20,67,0.298507,19
Github_easy---o13688.json,Github_easy---o13688.json::test_00002,19,91,0.208791,18
Github_easy---o14479.json,Github_easy---o14479.json::test_00000,69,77,0.896104,68
Github_easy---o14490.json,Github_easy---o14490.json::test_00000,24,60,0.4,23
Github_easy---o14490.json,Github_easy---o14490.json::test_00002,24,61,0.393443,23
Github_easy---o14491.json,Github_easy---o14491.json::test_00000,13,60,0.216667,12
Github_easy---o14491.json,Github_easy---o14491.json::test_00001,13,60,0.216667,12
Github_easy---o17139.json,Github_easy---o17139.json::test_00000,21,37,0.567568,20
Github_easy---o17637.json,Github_easy---o17637.json::test_00000,14,24,0.583333,13
Github_easy---o17637.json,Github_easy---o17637.json::test_00004,14,24,0.583333,13
Github_easy---o17663.json,Github_easy---o17663.json::test_00000,10,12,0.833333,9
Github_easy---o19066.json,Github_easy---o19066.json::test_00000,18,102,0.176471,17
Github_easy---o20389.json,Github_easy---o20389.json::test_00000,43,51,0.843137,42
Github_easy---o20389.json,Github_easy---o20389.json::test_00005,49,57,0.859649,48
Github_easy---o21083.json,Github_easy---o21083.json::test_00000,60,66,0.909091,59
Github_easy---o21096.json,Github_easy---o21096.json::test_00000,21,47,0.446809,20
Github_easy---o21848.json,Github_easy---o21848.json::test_00000,56,63,0.888889,55
Github_easy---o21855.json,Github_easy---o21855.json::test_00000,15,24,0.625,14
Github_easy---o21858.json,Github_easy---o21858.json::test_00000,30,50,0.6,29
Github_easy---o21858.json,Github_easy---o21858.json::test_00003,28,48,0.583333,27
Github_easy---o24465.json,Github_easy---o24465.json::test_00000,15,22,0.681818,14
Github_easy---o25419.json,Github_easy---o25419.json::test_00000,24,30,0.8,23
Github_easy---o25969.json,Github_easy---o25969.json::test_00000,10,12,0.833333,9
Github_easy---o25976.json,Github_easy---o25976.json::test_00000,11,18,0.611111,10
Github_easy---o26627.json,Github_easy---o26627.json::test_00000,9,107,0.0841121,8
Github_easy---o27044.json,Github_easy---o27044.json::test_00000,6,12,0.5,5
Github_easy---o27074.json,Github_easy---o27074.json::test_00000,45,115,0.391304,44
Github_easy---o27074.json,Github_easy---o27074.json::test_00001,38,144,0.263889,37
Github_easy---o27713.json,Github_easy---o27713.json::test_00001,103,296,0.347973,102
Github_easy---o28187.json,Github_easy---o28187.json::test_00000,39,57,0.684211,38
Github_easy---o28187.json,Github_easy---o28187.json::test_00002,37,51,0.72549,36
Github_easy---o28206.json,Github_easy---o28206.json::test_00000,18,42,0.428571,17
Github_easy---o29987.json,Github_easy---o29987.json::test_00000,3,32,0.09375,2
Github_easy---o30060.json,Github_easy---o30060.json::test_00000,3,45,0.0666667,2
Github_easy---o30275.json,Github_easy---o30275.json::test_00000,3,32,0.09375,2
Github_easy---o30305.json,Github_easy---o30305.json::test_00000,11,77,0.142857,10
Github_easy---o30360.json,Github_easy---o30360.json::test_00000,3,22,0.136364,2
Github_easy---o30452.json,Github_easy---o30452.json::test_00000,3,36,0.0833333,2
Github_easy---o30517.json,Github_easy---o30517.json::test_00000,4,22,0.181818,3
Github_easy---o30802.json,Github_easy---o30802.json::test_00000,3,27,0.111111,2
Github_easy---o31008.json,Github_easy---o31008.json::test_00000,3,79,0.0379747,2
Github_easy---o31032.json,Github_easy---o31032.json::test_00000,3,80,0.0375,2
Github_easy---o31055.json,Github_easy---o31055.json::test_00000,11,53,0.207547,10
Github_easy---o31060.json,Github_easy---o31060.json::test_00000,9,56,0.160714,8
Github_easy---o31108.json,Github_easy---o31108.json::test_00000,3,74,0.0405405,2
Github_easy---o31121.json,Github_easy---o31121.json::test_00000,3,81,0.037037,2
Github_easy---o31158.json,Github_easy---o31158.json::test_00000,3,65,0.0461538,2
Github_easy---o31163.json,Github_easy---o31163.json::test_00000,3,49,0.0612245,2
Github_easy---o32480.json,Github_easy---o32480.json::test_00000,27,66,0.409091,26
Github_easy---o32480.json,Github_easy---o32480.json::test_00004,26,65,0.4,25
Github_easy---o33017.json,Github_easy---o33017.json::test_00000,49,131,0.374046,48
Github_easy---o33940.json,Github_easy---o33940.json::test_00000,26,58,0.448276,25
Github_easy---o33940.json,Github_easy---o33940.json::test_00001,17,49,0.346939,16
Github_easy---o36571.json,Github_easy---o36571.json::test_00000,79,105,0.752381,78
Github_easy---o36571.json,Github_easy---o36571.json::test_00003,81,115,0.704348,80
Github_easy---o37786.json,Github_easy---o37786.json::test_00000,29,112,0.258929,28
Github_easy---o37786.json,Github_easy---o37786.json::test_00001,29,125,0.232,28
Github_easy---o37787.json,Github_easy---o37787.json::test_00000,29,305,0.095082,28
Github_easy---o39754.json,Github_easy---o39754.json::test_00002,94,122,0.770492,93
Github_easy---o40228.json,Github_easy---o40228.json::test_00002,168,335,0.501493,167
Github_easy---o40230.json,Github_easy---o40230.json::test_00006,23,32,0.71875,22
Github_easy---o41033.json,Github_easy---o41033.json::test_00000,18,43,0.418605,17
Github_easy---o41033.json,Github_easy---o41033.json::test_00002,18,43,0.418605,17
Github_easy---o41762.json,Github_easy---o41762.json::test_00000,10,67,0.149254,9
Github_easy---o42028.json,Github_easy---o42028.json::test_00000,54,72,0.75,53
Github_easy---o42534.json,Github_easy---o42534.json::test_00003,39,72,0.541667,38
Github_easy---o42536.json,Github_easy---o42536.json::test_00000,2,63,0.031746,1
Github_easy---o42536.json,Github_easy---o42536.json::test_00003,31,64,0.484375,30
Github_easy---o4255.json,Github_easy---o4255.json::test_00000,22,156,0.141026,21
Github_easy---o4262.json,Github_easy---o4262.json::test_00000,34,188,0.180851,33
Github_easy---o4267.json,Github_easy---o4267.json::test_00000,56,101,0.554455,55
Github_easy---o42984.json,Github_easy---o42984.json::test_00000,35,42,0.833333,34
Github_easy---o42984.json,Github_easy---o42984.json::test_00004,34,41,0.829268,33
Github_easy---o43007.json,Github_easy---o43007.json::test_00000,4,44,0.0909091,3
Github_easy---o43007.json,Github_easy---o43007.json::test_00003,4,46,0.0869565,3
Github_easy---o43083.json,Github_easy---o43083.json::test_00000,38,45,0.844444,37
Github_easy---o43297.json,Github_easy---o43297.json::test_00000,54,65,0.830769,53
Github_easy---o44187.json,Github_easy---o44187.json::test_00000,28,67,0.41791,27
Github_easy---o44227.json,Github_easy---o44227.json::test_00000,7,25,0.28,6
Github_easy---o45117.json,Github_easy---o45117.json::test_00000,1,23,0.0434783,0
Github_easy---o45133.json,Github_easy---o45133.json::test_00000,1,41,0.0243902,0
Github_easy---o45138.json,Github_easy---o45138.json::test_00000,1,134,0.00746269,0
Github_easy---o45139.json,Github_easy---o45139.json::test_00000,1,141,0.0070922,0
Github_easy---o45140.json,Github_easy---o45140.json::test_00000,1,143,0.00699301,0
Github_easy---o45160.json,Github_easy---o45160.json::test_00000,1,155,0.00645161,0
Github_easy---o45162.json,Github_easy---o45162.json::test_00000,1,137,0.00729927,0
Github_easy---o45164.json,Github_easy---o45164.json::test_00000,1,194,0.00515464,0
Github_easy---o45166.json,Github_easy---o45166.json::test_00000,1,116,0.00862069,0
Github_easy---o45167.json,Github_easy---o45167.json::test_00000,1,100,0.01,0
Github_easy---o45169.json,Github_easy---o45169.json::test_00000,1,37,0.027027,0
Github_easy---o45171.json,Github_easy---o45171.json::test_00000,1,152,0.00657895,0
Github_easy---o45172.json,Github_easy---o45172.json::test_00000,1,183,0.00546448,0
Github_easy---o45174.json,Github_easy---o45174.json::test_00000,1,185,0.00540541,0
Github_easy---o45175.json,Github_easy---o45175.json::test_00000,1,77,0.012987,0
Github_easy---o45182.json,Github_easy---o45182.json::test_00000,1,80,0.0125,0
Github_easy---o45186.json,Github_easy---o45186.json::test_00000,1,110,0.00909091,0
Github_easy---o45188.json,Github_easy---o45188.json::test_00000,1,123,0.00813008,0
Github_easy---o45193.json,Github_easy---o45193.json::test_00000,1,20,0.05,0
Github_easy---o45195.json,Github_easy---o45195.json::test_00000,1,96,0.0104167,0
Github_easy---o45197.json,Github_easy---o45197.json::test_00000,1,136,0.00735294,0
Github_easy---o45205.json,Github_easy---o45205.json::test_00000,1,110,0.00909091,0
Github_easy---o45209.json,Github_easy---o45209.json::test_00000,1,54,0.0185185,0
Github_easy---o45210.json,Github_easy---o45210.json::test_00000,1,147,0.00680272,0
Github_easy---o45217.json,Github_easy---o45217.json::test_00000,1,184,0.00543478,0
Github_easy---o45219.json,Github_easy---o45219.json::test_00000,1,98,0.0102041,0
Github_easy---o45223.json,Github_easy---o45223.json::test_00000,1,132,0.00757576,0
Github_easy---o47139.json,Github_easy---o47139.json::test_00000,54,61,0.885246,53
Github_easy---o47150.json,Github_easy---o47150.json::test_00000,31,63,0.492063,30
Github_easy---o48257.json,Github_easy---o48257.json::test_00000,21,52,0.403846,20
Github_easy---o48257.json,Github_easy---o48257.json::test_00001,24,55,0.436364,23
Github_easy---o48312.json,Github_easy---o48312.json::test_00000,2,62,0.0322581,1
Github_easy---o48312.json,Github_easy---o48312.json::test_00001,2,62,0.0322581,1
Github_easy---o48748.json,Github_easy---o48748.json::test_00000,10,23,0.434783,9
Github_easy---o48748.json,Github_easy---o48748.json::test_00004,10,23,0.434783,9
Github_easy---o48873.json,Github_easy---o48873.json::test_00000,30,46,0.652174,29
Github_easy---o49496.json,Github_easy---o49496.json::test_00000,2,341,0.0058651,1
Github_easy---o49496.json,Github_easy---o49496.json::test_00003,154,347,0.443804,153
Github_easy---o5116.json,Github_easy---o5116.json::test_00000,35,43,0.813953,34
Github_easy---o5116.json,Github_easy---o5116.json::test_00003,37,43,0.860465,36
