characteristic,bucket,n_schemas,value_min,value_max,schemas_with_under_rate,schemas_with_over_rate,under_test_rate,over_test_rate,timeout_schema_rate
schema_json_chars,q1_low,448,87,330,0.122768,0.147321,0.109617,0.159933,0.015625
schema_json_chars,q2_mid_low,450,331,452,0.124444,0.202222,0.103734,0.196947,0.0133333
schema_json_chars,q3_mid_high,445,453,596,0.152809,0.161798,0.136951,0.163636,0.0224719
schema_json_chars,q4_high,446,597,6550,0.143498,0.246637,0.122586,0.23589,0.00224215
schema_file_bytes,q1_low,448,547,2423,0.0803571,0.174107,0.0953307,0.207836,0.00446429
schema_file_bytes,q2_mid_low,447,2425,3471,0.14094,0.143177,0.140919,0.146226,0.00894855
schema_file_bytes,q3_mid_high,447,3477,5088,0.161074,0.201342,0.141634,0.181295,0.00671141
schema_file_bytes,q4_high,447,5093,84795,0.161074,0.239374,0.0962083,0.225806,0.033557
nb_keywords,q1_low,466,3,11,0.0987124,0.148069,0.0978261,0.161392,0.00858369
nb_keywords,q2_mid_low,548,12,15,0.136861,0.178832,0.113166,0.18481,0.0109489
nb_keywords,q3_mid_high,341,16,18,0.13783,0.205279,0.117778,0.186792,0.00293255
nb_keywords,q4_high,434,19,169,0.172811,0.235023,0.14127,0.228395,0.0299539
nb_properties,q1_low,782,0,3,0.134271,0.163683,0.134573,0.178404,0.00895141
nb_properties,q2_mid_low,324,4,4,0.141975,0.154321,0.125622,0.154008,0.0154321
nb_properties,q3_mid_high,254,5,5,0.125984,0.204724,0.0938897,0.207447,0.023622
nb_properties,q4_high,429,6,63,0.13986,0.254079,0.103194,0.224818,0.013986
nb_required,q1_low,530,0,0,0.126415,0.2,0.131188,0.207895,0.0226415
nb_required,q2_mid_low,620,1,2,0.119355,0.175806,0.0944032,0.188289,0.0193548
nb_required,q3_mid_high,255,3,3,0.172549,0.152941,0.153957,0.146597,0
nb_required,q4_high,384,4,22,0.151042,0.221354,0.114638,0.199319,0
schema_depth,q1_low,513,0,2,0.175439,0.152047,0.180301,0.166445,0.00974659
schema_depth,q2_mid_low,823,3,4,0.127582,0.207776,0.106758,0.197793,0.0133657
schema_depth,q3_mid_high,192,5,5,0.09375,0.109375,0.0709091,0.106383,0.015625
schema_depth,q4_high,261,6,15,0.114943,0.264368,0.0858311,0.275064,0.0191571
nb_branches_combinators,q1_low,1634,0,0,0.131579,0.177479,0.120553,0.177338,0.0110159
nb_branches_combinators,q2_mid_low,0,,,0,0,0,0,0
nb_branches_combinators,q3_mid_high,0,,,0,0,0,0,0
nb_branches_combinators,q4_high,155,1,40,0.180645,0.316129,0.10084,0.327434,0.0387097
nb_enum_values,q1_low,1370,0,0,0.132117,0.20365,0.117968,0.207189,0.00948905
nb_enum_values,q2_mid_low,0,,,0,0,0,0,0
nb_enum_values,q3_mid_high,0,,,0,0,0,0,0
nb_enum_values,q4_high,419,1,293,0.147971,0.143198,0.120192,0.134003,0.026253
nb_regex,q1_low,1545,0,0,0.126214,0.165696,0.118209,0.162343,0.0110032
nb_regex,q2_mid_low,0,,,0,0,0,0,0
nb_regex,q3_mid_high,0,,,0,0,0,0,0
nb_regex,q4_high,244,1,7,0.196721,0.340164,0.119628,0.362637,0.0286885
n_tests,q1_low,735,1,3,0.0748299,0.212245,0.0787487,0.238773,0.00408163
n_tests,q2_mid_low,463,4,4,0.112311,0.177106,0.0779896,0.175074,0.012959
n_tests,q3_mid_high,302,5,5,0.129139,0.152318,0.0995807,0.134981,0.0198675
n_tests,q4_high,289,6,13,0.33564,0.190311,0.186702,0.180698,0.0311419
mean_num_tokens,q1_low,406,5.33333,23.5,0.174877,0.0369458,0.189003,0.0353635,0
mean_num_tokens,q2_mid_low,404,23.6,38.375,0.165842,0.0841584,0.139623,0.0704467,0
mean_num_tokens,q3_mid_high,407,38.4,61.5,0.125307,0.14742,0.102377,0.142857,0
mean_num_tokens,q4_high,403,61.6,1789.67,0.133995,0.210918,0.0923461,0.18,0
