feature,schemas_with_feature,compile_error_schemas_with_feature,compile_error_rate_with_feature,compile_error_rate_without_feature,lift
has_type,4062,523,0.128754,0.5,0.257509
has_properties,3952,511,0.129302,0.141667,0.912717
has_required,2872,410,0.142758,0.0983333,1.45177
has_additionalProperties,1840,312,0.169565,0.0967742,1.75217
has_boolean_schema,1783,303,0.169938,0.0982962,1.72884
many_properties,1437,281,0.195546,0.0937381,2.08609
has_items,1722,267,0.155052,0.111064,1.39606
has_enum,1385,222,0.160289,0.113882,1.4075
many_required,1163,198,0.170249,0.113441,1.50077
has_defs,782,169,0.216113,0.109119,1.98053
has_pattern,795,168,0.211321,0.109857,1.92361
has_ref,706,160,0.226629,0.109329,2.07292
has_default,737,147,0.199457,0.114243,1.74591
deep_schema,492,138,0.280488,0.108939,2.57473
has_patternProperties,192,108,0.5625,0.108247,5.19643
large_enum,429,93,0.216783,0.119407,1.8155
has_minLength,561,88,0.156863,0.12532,1.25169
has_oneOf,329,86,0.261398,0.118087,2.2136
has_minimum,551,83,0.150635,0.126385,1.19188
has_maxLength,448,81,0.180804,0.123344,1.46584
has_minItems,388,63,0.162371,0.126221,1.2864
has_anyOf,221,58,0.262443,0.122046,2.15036
has_maximum,217,49,0.225806,0.124254,1.81729
has_allOf,96,28,0.291667,0.125755,2.31933
has_maxItems,143,27,0.188811,0.127513,1.48072
has_minProperties,61,20,0.327869,0.126652,2.58874
has_not,39,19,0.487179,0.126209,3.86011
has_maxProperties,20,9,0.45,0.128085,3.51329
has_const,29,6,0.206897,0.129112,1.60246
has_exclusiveMaximum,3,3,1,0.129024,7.75048
has_multipleOf,25,3,0.12,0.129726,0.925029
has_propertyNames,3,2,0.666667,0.12927,5.15716
has_if_then_else,5,2,0.4,0.129334,3.09278
has_exclusiveMinimum,11,2,0.181818,0.129525,1.40373
has_contains,1,1,1,0.129452,7.72486
has_anchor,0,0,0,0.129666,0
has_content,2,0,0,0.12973,0
has_dependentRequired,0,0,0,0.129666,0
has_dependentSchemas,0,0,0,0.129666,0
has_dynamicRef,0,0,0,0.129666,0
has_infinite_loop_detection,0,0,0,0.129666,0
has_maxContains,0,0,0,0.129666,0
has_minContains,0,0,0,0.129666,0
has_prefixItems,0,0,0,0.129666,0
has_unevaluatedItems,0,0,0,0.129666,0
has_unevaluatedProperties,0,0,0,0.129666,0
has_uniqueItems,0,0,0,0.129666,0
