feature,n_schemas,n_completed_tests,under_rate,over_rate,correct_rate,timeout_rate
has_exclusiveMaximum,3,19,0,1,0.736842,0
has_propertyNames,3,17,0,1,0.764706,0
has_contains,1,3,0,1,0.666667,0
has_if_then_else,5,23,0.0666667,0.875,0.652174,0
has_patternProperties,192,863,0.071028,0.801829,0.651217,0.0104167
has_allOf,96,474,0.047619,0.805031,0.698312,0.0104167
has_maxProperties,20,102,0,0.827586,0.764706,0.05
has_not,39,203,0.0625,0.728814,0.743842,0
has_maximum,217,1171,0.399767,0.341853,0.615713,0.0829493
has_minimum,551,3053,0.424297,0.252656,0.623321,0.0399274
has_exclusiveMinimum,11,79,0.333333,0.263158,0.683544,0
has_multipleOf,25,105,0.461538,0.125,0.666667,0.04
has_oneOf,329,1423,0.0589544,0.526718,0.768798,0.0577508
large_enum,429,1903,0.0604134,0.506977,0.788229,0.041958
has_minProperties,61,299,0.0703518,0.49,0.789298,0
deep_schema,492,2284,0.0337838,0.523632,0.793783,0.0243902
has_anyOf,221,1186,0.0688019,0.466472,0.816189,0.0316742
has_default,737,3142,0.200593,0.328265,0.753978,0.0434193
has_pattern,795,4337,0.088854,0.404514,0.8273,0.101887
has_ref,706,3419,0.0540897,0.435808,0.818075,0.0226629
many_properties,1437,6826,0.10049,0.383234,0.802666,0.0508003
has_defs,782,3739,0.0505663,0.432518,0.820005,0.0191816
has_maxLength,448,2061,0.107764,0.349206,0.825813,0.198661
has_const,29,147,0.0408163,0.408163,0.836735,0
many_required,1163,5660,0.0949099,0.351165,0.819611,0.0206363
has_minLength,561,2738,0.0805879,0.347712,0.844777,0.135472
has_minItems,388,2124,0.0712871,0.34647,0.849812,0.0231959
has_enum,1385,5927,0.0747038,0.342298,0.832968,0.0563177
has_required,2872,12630,0.117747,0.295752,0.819873,0.0264624
has_maxItems,143,686,0.0525253,0.356021,0.862974,0.153846
has_additionalProperties,1840,8316,0.0894794,0.3125,0.835859,0.048913
has_boolean_schema,1783,7984,0.0923338,0.303571,0.836548,0.0487942
has_properties,3952,16890,0.11296,0.2802,0.827531,0.0301113
has_type,4062,17294,0.111211,0.277751,0.82971,0.0297883
has_items,1722,8057,0.0612586,0.325843,0.851061,0.0389082
has_content,2,7,0,0,1,0
