feature,correct,timeout,under,over,correct_n,timeout_n,under_n,over_n
has_additionalProperties,0.415078,0.743802,0.444834,0.503145,2308,121,571,1113
has_allOf,0.00433276,0.00826446,0.0175131,0.0691824,2308,121,571,1113
has_anyOf,0.0381282,0.0578512,0.0507881,0.0871518,2308,121,571,1113
has_boolean_schema,0.407279,0.719008,0.437828,0.474394,2308,121,571,1113
has_const,0.00649913,0,0.00525394,0.0116801,2308,121,571,1113
has_contains,0,0,0,0.000898473,2308,121,571,1113
has_content,0.000866551,0,0,0,2308,121,571,1113
has_default,0.146447,0.264463,0.267951,0.20575,2308,121,571,1113
has_defs,0.161179,0.123967,0.112084,0.300988,2308,121,571,1113
has_enum,0.306759,0.644628,0.276708,0.410602,2308,121,571,1113
has_exclusiveMaximum,0,0,0,0.00269542,2308,121,571,1113
has_exclusiveMinimum,0.000433276,0,0.0122592,0.00269542,2308,121,571,1113
has_if_then_else,0,0,0.00175131,0.00359389,2308,121,571,1113
has_items,0.415511,0.553719,0.267951,0.490566,2308,121,571,1113
has_maxItems,0.0290295,0.181818,0.0210158,0.0377358,2308,121,571,1113
has_maxLength,0.0615251,0.735537,0.176883,0.115004,2308,121,571,1113
has_maxProperties,0.00216638,0.00826446,0,0.0125786,2308,121,571,1113
has_maximum,0.00953206,0.14876,0.197898,0.0610961,2308,121,571,1113
has_minItems,0.0870884,0.0743802,0.0858144,0.116801,2308,121,571,1113
has_minLength,0.100953,0.628099,0.178634,0.145553,2308,121,571,1113
has_minProperties,0.00823224,0,0.0210158,0.0269542,2308,121,571,1113
has_minimum,0.0190641,0.181818,0.632224,0.120395,2308,121,571,1113
has_multipleOf,0.00129983,0.00826446,0.0297723,0.00359389,2308,121,571,1113
has_not,0.0017331,0,0.0105079,0.0278527,2308,121,571,1113
has_oneOf,0.0480936,0.157025,0.0683012,0.145553,2308,121,571,1113
has_pattern,0.128683,0.669421,0.236427,0.268643,2308,121,571,1113
has_patternProperties,0.00736568,0.0165289,0.0350263,0.137466,2308,121,571,1113
has_properties,0.961438,0.983471,0.987741,0.980234,2308,121,571,1113
has_propertyNames,0,0,0,0.00269542,2308,121,571,1113
has_ref,0.142114,0.132231,0.110333,0.272237,2308,121,571,1113
has_required,0.669411,0.628099,0.772329,0.75292,2308,121,571,1113
has_type,0.998267,1,0.998249,0.995508,2308,121,571,1113
large_enum,0.0658579,0.14876,0.0858144,0.199461,2308,121,571,1113
many_required,0.246101,0.198347,0.269702,0.380054,2308,121,571,1113
many_properties,0.266898,0.603306,0.355517,0.504942,2308,121,571,1113
deep_schema,0.084922,0.0991736,0.0577933,0.228212,2308,121,571,1113
