feature,schemas_with_feature,schemas_without_feature,over_with_feature,over_without_feature,over_denominator_with,over_denominator_without,over_rate_with,over_rate_without,lift,delta,support,global_over_rate,eligible_lift
has_patternProperties,192,3880,263,1450,328,5821,0.801829,0.249098,3.21893,0.552731,0.0471513,0.278582,true
has_allOf,96,3976,128,1585,159,5990,0.805031,0.264608,3.04236,0.540424,0.0235756,0.278582,true
has_maxProperties,20,4052,24,1689,29,6120,0.827586,0.27598,2.99871,0.551606,0.00491159,0.278582,true
has_not,39,4033,43,1670,59,6090,0.728814,0.27422,2.65777,0.454594,0.0095776,0.278582,true
deep_schema,492,3580,421,1292,804,5345,0.523632,0.241721,2.16626,0.281911,0.120825,0.278582,true
has_oneOf,329,3743,276,1437,524,5625,0.526718,0.255467,2.06179,0.271251,0.0807957,0.278582,true
large_enum,429,3643,327,1386,645,5504,0.506977,0.251817,2.01328,0.25516,0.105354,0.278582,true
has_defs,782,3290,548,1165,1267,4882,0.432518,0.238632,1.81249,0.193886,0.192043,0.278582,true
has_ref,706,3366,499,1214,1145,5004,0.435808,0.242606,1.79636,0.193202,0.173379,0.278582,true
many_properties,1437,2635,896,817,2338,3811,0.383234,0.214379,1.78764,0.168854,0.352898,0.278582,true
has_minProperties,61,4011,49,1664,100,6049,0.49,0.275087,1.78126,0.214913,0.0149804,0.278582,true
has_anyOf,221,3851,160,1553,343,5806,0.466472,0.267482,1.74394,0.19899,0.0542731,0.278582,true
has_pattern,795,3277,466,1247,1152,4997,0.404514,0.24955,1.62098,0.154964,0.195236,0.278582,true
has_const,29,4043,20,1693,49,6100,0.408163,0.277541,1.47064,0.130622,0.00712181,0.278582,true
many_required,1163,2909,663,1050,1888,4261,0.351165,0.246421,1.42506,0.104744,0.285609,0.278582,true
has_enum,1385,2687,700,1013,2045,4104,0.342298,0.246832,1.38676,0.0954659,0.340128,0.278582,true
has_items,1722,2350,870,843,2670,3479,0.325843,0.242311,1.34473,0.0835317,0.422888,0.278582,true
has_properties,3952,120,1684,29,6010,139,0.2802,0.208633,1.34303,0.0715666,0.97053,0.278582,true
has_minLength,561,3511,266,1447,765,5384,0.347712,0.268759,1.29377,0.0789531,0.13777,0.278582,true
has_maxItems,143,3929,68,1645,191,5958,0.356021,0.276099,1.28947,0.0799216,0.0351179,0.278582,true
has_maxLength,448,3624,198,1515,567,5582,0.349206,0.271408,1.28665,0.0777983,0.11002,0.278582,true
has_minItems,388,3684,211,1502,609,5540,0.34647,0.271119,1.27792,0.0753505,0.0952849,0.278582,true
has_required,2872,1200,1309,404,4426,1723,0.295752,0.234475,1.26134,0.0612776,0.705305,0.278582,true
has_additionalProperties,1840,2232,870,843,2784,3365,0.3125,0.25052,1.24741,0.0619799,0.451866,0.278582,true
has_maximum,217,3855,107,1606,313,5836,0.341853,0.275188,1.24225,0.0666645,0.0532908,0.278582,true
has_default,737,3335,367,1346,1118,5031,0.328265,0.267541,1.22697,0.0607235,0.180992,0.278582,true
has_boolean_schema,1783,2289,816,897,2688,3461,0.303571,0.259174,1.17131,0.0443978,0.437868,0.278582,true
has_minimum,551,3521,214,1499,847,5302,0.252656,0.282724,0.893652,-0.0300671,0.135314,0.278582,true
has_multipleOf,25,4047,5,1708,40,6109,0.125,0.279587,0.447087,-0.154587,0.00613949,0.278582,true
has_exclusiveMaximum,3,4069,5,1708,5,6144,1,0.277995,3.59719,0.722005,0.000736739,0.278582,false
has_propertyNames,3,4069,4,1709,4,6145,1,0.278112,3.59567,0.721888,0.000736739,0.278582,false
has_contains,1,4071,1,1712,1,6148,1,0.278465,3.59112,0.721535,0.00024558,0.278582,false
has_if_then_else,5,4067,7,1706,8,6141,0.875,0.277805,3.14969,0.597195,0.0012279,0.278582,false
has_exclusiveMinimum,11,4061,5,1708,19,6130,0.263158,0.27863,0.944472,-0.0154718,0.00270138,0.278582,false
has_type,4062,10,1704,9,6135,14,0.277751,0.642857,0.432057,-0.365107,0.997544,0.278582,false
has_content,2,4070,0,1713,3,6146,0,0.278718,0,-0.278718,0.000491159,0.278582,false
