feature_pair,feature_a,feature_b,n_schemas,support,timeout_rate,under_rate,over_rate
has_maxLength__AND__has_maxProperties,has_maxLength,has_maxProperties,2,0.000491159,0.5,0,1
has_default__AND__has_maxItems,has_default,has_maxItems,7,0.00171906,0.428571,0,0
has_maxItems__AND__has_maxLength,has_maxItems,has_maxLength,40,0.00982318,0.425,0.0701754,0.736842
has_maxItems__AND__has_minLength,has_maxItems,has_minLength,41,0.0100688,0.390244,0.0967742,0.658537
has_maxItems__AND__has_multipleOf,has_maxItems,has_multipleOf,3,0.000736739,0.333333,0.307692,0
has_default__AND__has_maxLength,has_default,has_maxLength,68,0.0166994,0.323529,0.190184,0.453333
has_default__AND__has_minLength,has_default,has_minLength,69,0.016945,0.318841,0.118227,0.432099
has_maxLength__AND__has_pattern,has_maxLength,has_pattern,229,0.0562377,0.28821,0.110565,0.474074
has_maxItems__AND__has_oneOf,has_maxItems,has_oneOf,32,0.00785855,0.28125,0.0212766,0.769231
has_maxItems__AND__has_pattern,has_maxItems,has_pattern,66,0.0162083,0.272727,0.0361991,0.402439
has_enum__AND__has_maxLength,has_enum,has_maxLength,224,0.0550098,0.272321,0.0736544,0.435115
has_maxLength__AND__has_maximum,has_maxLength,has_maximum,60,0.0147348,0.266667,0.153509,0.567568
has_minLength__AND__has_pattern,has_minLength,has_pattern,249,0.0611493,0.240964,0.104101,0.477848
has_maximum__AND__has_minLength,has_maximum,has_minLength,54,0.0132613,0.240741,0.133641,0.507042
has_maxLength__AND__has_minLength,has_maxLength,has_minLength,324,0.0795678,0.234568,0.0997151,0.4
has_boolean_schema__AND__has_maxLength,has_boolean_schema,has_maxLength,293,0.0719548,0.228669,0.0979766,0.391549
has_enum__AND__has_maxItems,has_enum,has_maxItems,70,0.0171906,0.228571,0.0386473,0.555556
has_enum__AND__has_minLength,has_enum,has_minLength,242,0.0594303,0.227273,0.0581114,0.470395
has_items__AND__has_maxLength,has_items,has_maxLength,176,0.043222,0.227273,0.0982405,0.447489
has_additionalProperties__AND__has_maxLength,has_additionalProperties,has_maxLength,295,0.072446,0.227119,0.0973545,0.398329
has_maxLength__AND__has_oneOf,has_maxLength,has_oneOf,64,0.0157171,0.21875,0.0864865,0.638554
has_boolean_schema__AND__has_maxItems,has_boolean_schema,has_maxItems,98,0.0240668,0.214286,0.0306748,0.325203
has_additionalProperties__AND__has_maxItems,has_additionalProperties,has_maxItems,99,0.0243124,0.212121,0.0299401,0.34127
has_maximum__AND__has_pattern,has_maximum,has_pattern,73,0.0179273,0.205479,0.255663,0.489583
has_minItems__AND__has_multipleOf,has_minItems,has_multipleOf,5,0.0012279,0.2,0.181818,0.142857
has_minLength__AND__has_multipleOf,has_minLength,has_multipleOf,5,0.0012279,0.2,0.173913,0.142857
has_multipleOf__AND__has_pattern,has_multipleOf,has_pattern,5,0.0012279,0.2,0.166667,0.333333
has_maxLength__AND__has_type,has_maxLength,has_type,448,0.11002,0.198661,0.107764,0.349206
has_maxLength__AND__has_properties,has_maxLength,has_properties,443,0.108792,0.196388,0.108564,0.347518
has_boolean_schema__AND__has_minLength,has_boolean_schema,has_minLength,326,0.0800589,0.184049,0.0909091,0.35514
has_additionalProperties__AND__has_minLength,has_additionalProperties,has_minLength,330,0.0810413,0.181818,0.089539,0.360092
has_enum__AND__has_pattern,has_enum,has_pattern,373,0.0916012,0.171582,0.0629021,0.508065
has_maxLength__AND__has_minimum,has_maxLength,has_minimum,94,0.0230845,0.170213,0.221106,0.419847
has_enum__AND__has_multipleOf,has_enum,has_multipleOf,6,0.00147348,0.166667,0.210526,0.111111
