feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,timeout_with_pair,timeout_without_pair,timeout_denominator_with,timeout_denominator_without,timeout_rate_with,timeout_rate_without,lift,delta,eligible_lift
has_maxLength__AND__has_type,has_maxLength,has_type,448,3624,0.11002,89,32,448,3624,0.198661,0.00883002,22.4983,0.189831,true
has_maxLength__AND__has_properties,has_maxLength,has_properties,443,3629,0.108792,87,34,443,3629,0.196388,0.00936897,20.9616,0.187019,true
has_maxLength__AND__has_pattern,has_maxLength,has_pattern,229,3843,0.0562377,66,55,229,3843,0.28821,0.0143117,20.138,0.273898,true
has_maxLength__AND__has_minLength,has_maxLength,has_minLength,324,3748,0.0795678,76,45,324,3748,0.234568,0.0120064,19.5369,0.222561,true
has_enum__AND__has_maxLength,has_enum,has_maxLength,224,3848,0.0550098,61,60,224,3848,0.272321,0.0155925,17.4649,0.256729,true
has_maxItems__AND__has_maxLength,has_maxItems,has_maxLength,40,4032,0.00982318,17,104,40,4032,0.425,0.0257937,16.4769,0.399206,true
has_boolean_schema__AND__has_maxLength,has_boolean_schema,has_maxLength,293,3779,0.0719548,67,54,293,3779,0.228669,0.0142895,16.0026,0.214379,true
has_additionalProperties__AND__has_maxLength,has_additionalProperties,has_maxLength,295,3777,0.072446,67,54,295,3777,0.227119,0.0142971,15.8857,0.212822,true
has_minLength__AND__has_pattern,has_minLength,has_pattern,249,3823,0.0611493,60,61,249,3823,0.240964,0.0159561,15.1017,0.225008,true
has_maxItems__AND__has_minLength,has_maxItems,has_minLength,41,4031,0.0100688,16,105,41,4031,0.390244,0.0260481,14.9816,0.364196,true
has_default__AND__has_maxItems,has_default,has_maxItems,7,4065,0.00171906,3,118,7,4065,0.428571,0.0290283,14.7639,0.399543,true
has_enum__AND__has_minLength,has_enum,has_minLength,242,3830,0.0594303,55,66,242,3830,0.227273,0.0172324,13.1887,0.21004,true
has_default__AND__has_maxLength,has_default,has_maxLength,68,4004,0.0166994,22,99,68,4004,0.323529,0.0247253,13.085,0.298804,true
has_default__AND__has_minLength,has_default,has_minLength,69,4003,0.016945,22,99,69,4003,0.318841,0.0247315,12.8921,0.294109,true
has_boolean_schema__AND__has_minLength,has_boolean_schema,has_minLength,326,3746,0.0800589,60,61,326,3746,0.184049,0.016284,11.3024,0.167765,true
has_additionalProperties__AND__has_minLength,has_additionalProperties,has_minLength,330,3742,0.0810413,60,61,330,3742,0.181818,0.0163014,11.1535,0.165517,true
has_enum__AND__has_pattern,has_enum,has_pattern,373,3699,0.0916012,64,57,373,3699,0.171582,0.0154096,11.1348,0.156172,true
has_items__AND__has_maxLength,has_items,has_maxLength,176,3896,0.043222,40,81,176,3896,0.227273,0.0207906,10.9315,0.206482,true
has_maxItems__AND__has_pattern,has_maxItems,has_pattern,66,4006,0.0162083,18,103,66,4006,0.272727,0.0257114,10.6072,0.247016,true
has_minLength__AND__has_type,has_minLength,has_type,561,3511,0.13777,76,45,561,3511,0.135472,0.0128169,10.5699,0.122656,true
has_minLength__AND__has_properties,has_minLength,has_properties,556,3516,0.136542,75,46,556,3516,0.134892,0.013083,10.3104,0.121809,true
has_maxLength__AND__has_maximum,has_maxLength,has_maximum,60,4012,0.0147348,16,105,60,4012,0.266667,0.0261715,10.1892,0.240495,true
has_maxItems__AND__has_oneOf,has_maxItems,has_oneOf,32,4040,0.00785855,9,112,32,4040,0.28125,0.0277228,10.1451,0.253527,true
has_maximum__AND__has_minLength,has_maximum,has_minLength,54,4018,0.0132613,13,108,54,4018,0.240741,0.026879,8.95645,0.213862,true
has_enum__AND__has_maxItems,has_enum,has_maxItems,70,4002,0.0171906,16,105,70,4002,0.228571,0.0262369,8.71184,0.202335,true
has_pattern__AND__has_properties,has_pattern,has_properties,782,3290,0.192043,81,40,782,3290,0.103581,0.0121581,8.5195,0.0914225,true
has_boolean_schema__AND__has_maxItems,has_boolean_schema,has_maxItems,98,3974,0.0240668,21,100,98,3974,0.214286,0.0251636,8.51571,0.189122,true
has_additionalProperties__AND__has_maxItems,has_additionalProperties,has_maxItems,99,3973,0.0243124,21,100,99,3973,0.212121,0.0251699,8.42758,0.186951,true
has_pattern__AND__has_type,has_pattern,has_type,793,3279,0.194745,81,40,793,3279,0.102144,0.0121988,8.37323,0.0899449,true
has_maxLength__AND__has_oneOf,has_maxLength,has_oneOf,64,4008,0.0157171,14,107,64,4008,0.21875,0.0266966,8.19393,0.192053,true
has_maxLength__AND__has_required,has_maxLength,has_required,338,3734,0.0830059,51,70,338,3734,0.150888,0.0187467,8.04877,0.132141,true
has_maximum__AND__has_pattern,has_maximum,has_pattern,73,3999,0.0179273,15,106,73,3999,0.205479,0.0265066,7.752,0.178973,true
has_additionalProperties__AND__has_pattern,has_additionalProperties,has_pattern,486,3586,0.119352,60,61,486,3586,0.123457,0.0170106,7.25764,0.106446,true
has_boolean_schema__AND__has_pattern,has_boolean_schema,has_pattern,476,3596,0.116896,59,62,476,3596,0.12395,0.0172414,7.18908,0.106708,true
has_minItems__AND__has_multipleOf,has_minItems,has_multipleOf,5,4067,0.0012279,1,120,5,4067,0.2,0.0295058,6.77833,0.170494,true
has_minLength__AND__has_multipleOf,has_minLength,has_multipleOf,5,4067,0.0012279,1,120,5,4067,0.2,0.0295058,6.77833,0.170494,true
has_multipleOf__AND__has_pattern,has_multipleOf,has_pattern,5,4067,0.0012279,1,120,5,4067,0.2,0.0295058,6.77833,0.170494,true
has_maxLength__AND__has_minimum,has_maxLength,has_minimum,94,3978,0.0230845,16,105,94,3978,0.170213,0.0263952,6.44863,0.143818,true
has_enum__AND__has_maximum,has_enum,has_maximum,110,3962,0.0270138,18,103,110,3962,0.163636,0.025997,6.29444,0.137639,true
has_items__AND__has_maxItems,has_items,has_maxItems,140,3932,0.0343811,22,99,140,3932,0.157143,0.025178,6.24127,0.131965,true
