feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,under_with_pair,under_without_pair,under_denominator_with,under_denominator_without,under_rate_with,under_rate_without,lift,delta,eligible_lift
has_minimum__AND__has_properties,has_minimum,has_properties,541,3531,0.132859,936,306,2166,9010,0.432133,0.0339623,12.7239,0.398171,true
has_minimum__AND__has_type,has_minimum,has_type,551,3521,0.135314,936,306,2206,8970,0.424297,0.0341137,12.4377,0.390184,true
has_minimum__AND__has_required,has_minimum,has_required,451,3621,0.110756,757,485,1873,9303,0.404164,0.0521337,7.75246,0.352031,true
has_default__AND__has_minimum,has_default,has_minimum,174,3898,0.0427308,368,874,640,10536,0.575,0.0829537,6.93158,0.492046,true
has_default__AND__has_maximum,has_default,has_maximum,69,4003,0.016945,141,1101,248,10928,0.568548,0.10075,5.64314,0.467798,true
has_maximum__AND__has_properties,has_maximum,has_properties,212,3860,0.0520629,343,899,839,10337,0.40882,0.0869691,4.70075,0.321851,true
has_minimum__AND__has_multipleOf,has_minimum,has_multipleOf,12,4060,0.00294695,20,1222,39,11137,0.512821,0.109724,4.67372,0.403096,true
has_maximum__AND__has_minimum,has_maximum,has_minimum,212,3860,0.0520629,337,905,831,10345,0.405535,0.0874819,4.63565,0.318054,true
has_maximum__AND__has_type,has_maximum,has_type,217,3855,0.0532908,343,899,858,10318,0.399767,0.0871293,4.5882,0.312638,true
has_multipleOf__AND__has_properties,has_multipleOf,has_properties,25,4047,0.00613949,30,1212,65,11111,0.461538,0.109081,4.23115,0.352457,true
has_multipleOf__AND__has_type,has_multipleOf,has_type,25,4047,0.00613949,30,1212,65,11111,0.461538,0.109081,4.23115,0.352457,true
has_boolean_schema__AND__has_minimum,has_boolean_schema,has_minimum,243,3829,0.0596758,346,896,977,10199,0.354145,0.0878518,4.03117,0.266294,true
has_additionalProperties__AND__has_minimum,has_additionalProperties,has_minimum,250,3822,0.0613949,350,892,1017,10159,0.344149,0.0878039,3.91952,0.256346,true
has_additionalProperties__AND__has_multipleOf,has_additionalProperties,has_multipleOf,22,4050,0.00540275,23,1219,54,11122,0.425926,0.109603,3.88609,0.316323,true
has_boolean_schema__AND__has_multipleOf,has_boolean_schema,has_multipleOf,22,4050,0.00540275,23,1219,54,11122,0.425926,0.109603,3.88609,0.316323,true
has_maximum__AND__has_required,has_maximum,has_required,168,3904,0.0412574,246,996,689,10487,0.357039,0.0949747,3.75931,0.262064,true
has_multipleOf__AND__has_required,has_multipleOf,has_required,18,4054,0.00442043,19,1223,50,11126,0.38,0.109923,3.45697,0.270077,true
has_exclusiveMinimum__AND__has_items,has_exclusiveMinimum,has_items,6,4066,0.00147348,14,1228,39,11137,0.358974,0.110263,3.25562,0.248711,true
has_boolean_schema__AND__has_maximum,has_boolean_schema,has_maximum,121,3951,0.0297151,157,1085,495,10681,0.317172,0.101582,3.12231,0.215589,true
has_additionalProperties__AND__has_maximum,has_additionalProperties,has_maximum,123,3949,0.0302063,158,1084,503,10673,0.314115,0.101565,3.09276,0.212551,true
has_exclusiveMinimum__AND__has_properties,has_exclusiveMinimum,has_properties,11,4061,0.00270138,20,1222,60,11116,0.333333,0.109932,3.03219,0.223402,true
has_exclusiveMinimum__AND__has_type,has_exclusiveMinimum,has_type,11,4061,0.00270138,20,1222,60,11116,0.333333,0.109932,3.03219,0.223402,true
has_enum__AND__has_minimum,has_enum,has_minimum,194,3878,0.0476424,206,1036,766,10410,0.26893,0.0995197,2.70227,0.16941,true
has_exclusiveMinimum__AND__has_required,has_exclusiveMinimum,has_required,10,4062,0.0024558,16,1226,55,11121,0.290909,0.110242,2.63883,0.180667,true
has_properties__AND__has_type,has_properties,has_type,3946,126,0.969057,1228,14,10873,303,0.11294,0.0462046,2.44435,0.0667357,true
has_maximum__AND__has_pattern,has_maximum,has_pattern,73,3999,0.0179273,79,1163,309,10867,0.255663,0.107021,2.3889,0.148642,true
has_default__AND__has_required,has_default,has_required,555,3517,0.136297,331,911,1481,9695,0.223498,0.093966,2.3785,0.129532,true
has_items__AND__has_minimum,has_items,has_minimum,216,3856,0.0530452,238,1004,1035,10141,0.229952,0.099004,2.32265,0.130948,true
has_items__AND__has_multipleOf,has_items,has_multipleOf,8,4064,0.00196464,7,1235,28,11148,0.25,0.110782,2.25668,0.139218,true
has_default__AND__has_properties,has_default,has_properties,725,3347,0.178045,406,836,1989,9187,0.204123,0.0909981,2.24315,0.113125,true
has_minimum__AND__has_pattern,has_minimum,has_pattern,133,3939,0.0326621,156,1086,673,10503,0.231798,0.103399,2.24178,0.128399,true
has_enum__AND__has_maximum,has_enum,has_maximum,110,3962,0.0270138,98,1144,416,10760,0.235577,0.10632,2.21574,0.129257,true
has_default__AND__has_type,has_default,has_type,737,3335,0.180992,406,836,2024,9152,0.200593,0.0913462,2.19596,0.109247,true
has_maxLength__AND__has_minimum,has_maxLength,has_minimum,94,3978,0.0230845,88,1154,398,10778,0.221106,0.10707,2.06506,0.114036,true
has_items__AND__has_maximum,has_items,has_maximum,86,3986,0.0211198,74,1168,388,10788,0.190722,0.108268,1.76156,0.0824532,true
has_maxLength__AND__has_multipleOf,has_maxLength,has_multipleOf,6,4066,0.00147348,5,1237,26,11150,0.192308,0.110942,1.73341,0.081366,true
has_default__AND__has_maxLength,has_default,has_maxLength,68,4004,0.0166994,31,1211,163,11013,0.190184,0.109961,1.72956,0.0802231,true
has_defs__AND__has_minimum,has_defs,has_minimum,103,3969,0.0252947,84,1158,473,10703,0.17759,0.108194,1.6414,0.0693959,true
has_minItems__AND__has_multipleOf,has_minItems,has_multipleOf,5,4067,0.0012279,4,1238,22,11154,0.181818,0.110992,1.63813,0.0708266,true
has_minimum__AND__has_ref,has_minimum,has_ref,104,3968,0.0255403,83,1159,473,10703,0.175476,0.108287,1.62046,0.0671883,true
has_minLength__AND__has_multipleOf,has_minLength,has_multipleOf,5,4067,0.0012279,4,1238,23,11153,0.173913,0.111002,1.56676,0.0629115,true
has_minLength__AND__has_minimum,has_minLength,has_minimum,101,3971,0.0248035,78,1164,472,10704,0.165254,0.108744,1.51966,0.0565098,true
has_minItems__AND__has_minimum,has_minItems,has_minimum,88,3984,0.021611,75,1167,456,10720,0.164474,0.108862,1.51085,0.0556117,true
has_multipleOf__AND__has_pattern,has_multipleOf,has_pattern,5,4067,0.0012279,4,1238,24,11152,0.166667,0.111011,1.50135,0.0556552,true
has_maxLength__AND__has_maximum,has_maxLength,has_maximum,60,4012,0.0147348,35,1207,228,10948,0.153509,0.110248,1.39239,0.0432603,true
has_anyOf__AND__has_minimum,has_anyOf,has_minimum,34,4038,0.00834971,31,1211,204,10972,0.151961,0.110372,1.37681,0.0415889,true
