feature,schemas_with_feature,schemas_without_feature,timeout_with_feature,timeout_without_feature,timeout_rate_with,timeout_rate_without,lift,support,global_timeout_rate
has_type,4062,10,121,0,0.0297883,0,inf,0.997544,0.0297151
has_maxLength,448,3624,89,32,0.198661,0.00883002,22.4983,0.11002,0.0297151
has_minLength,561,3511,76,45,0.135472,0.0128169,10.5699,0.13777,0.0297151
has_pattern,795,3277,81,40,0.101887,0.0122063,8.34708,0.195236,0.0297151
has_maxItems,143,3929,22,99,0.153846,0.0251973,6.10567,0.0351179,0.0297151
has_additionalProperties,1840,2232,90,31,0.048913,0.0138889,3.52174,0.451866,0.0297151
has_enum,1385,2687,78,43,0.0563177,0.016003,3.5192,0.340128,0.0297151
has_boolean_schema,1783,2289,87,34,0.0487942,0.0148536,3.285,0.437868,0.0297151
has_maximum,217,3855,18,103,0.0829493,0.0267185,3.10456,0.0532908,0.0297151
many_properties,1437,2635,73,48,0.0508003,0.0182163,2.78872,0.352898,0.0297151
has_oneOf,329,3743,19,102,0.0577508,0.0272509,2.11923,0.0807957,0.0297151
has_properties,3952,120,119,2,0.0301113,0.0166667,1.80668,0.97053,0.0297151
has_items,1722,2350,67,54,0.0389082,0.0229787,1.69323,0.422888,0.0297151
has_maxProperties,20,4052,1,120,0.05,0.029615,1.68833,0.00491159,0.0297151
has_default,737,3335,32,89,0.0434193,0.0266867,1.627,0.180992,0.0297151
large_enum,429,3643,18,103,0.041958,0.0282734,1.48401,0.105354,0.0297151
has_minimum,551,3521,22,99,0.0399274,0.028117,1.42004,0.135314,0.0297151
has_multipleOf,25,4047,1,120,0.04,0.0296516,1.349,0.00613949,0.0297151
has_anyOf,221,3851,7,114,0.0316742,0.0296027,1.06998,0.0542731,0.0297151
deep_schema,492,3580,12,109,0.0243902,0.0304469,0.801074,0.120825,0.0297151
has_minItems,388,3684,9,112,0.0231959,0.0304017,0.762979,0.0952849,0.0297151
has_ref,706,3366,16,105,0.0226629,0.0311943,0.726507,0.173379,0.0297151
has_required,2872,1200,76,45,0.0264624,0.0375,0.705664,0.705305,0.0297151
many_required,1163,2909,24,97,0.0206363,0.0333448,0.618876,0.285609,0.0297151
has_defs,782,3290,15,106,0.0191816,0.0322188,0.595353,0.192043,0.0297151
has_allOf,96,3976,1,120,0.0104167,0.0301811,0.345139,0.0235756,0.0297151
has_patternProperties,192,3880,2,119,0.0104167,0.0306701,0.339636,0.0471513,0.0297151
has_const,29,4043,0,121,0,0.0299283,0,0.00712181,0.0297151
has_contains,1,4071,0,121,0,0.0297224,0,0.00024558,0.0297151
has_content,2,4070,0,121,0,0.0297297,0,0.000491159,0.0297151
has_exclusiveMaximum,3,4069,0,121,0,0.029737,0,0.000736739,0.0297151
has_exclusiveMinimum,11,4061,0,121,0,0.0297956,0,0.00270138,0.0297151
has_if_then_else,5,4067,0,121,0,0.0297517,0,0.0012279,0.0297151
has_minProperties,61,4011,0,121,0,0.030167,0,0.0149804,0.0297151
has_not,39,4033,0,121,0,0.0300025,0,0.0095776,0.0297151
has_propertyNames,3,4069,0,121,0,0.029737,0,0.000736739,0.0297151
