context_feature,context_value,support_schemas,support_tests,under_rate,over_rate,baseline_under_rate,baseline_over_rate,under_lift,over_lift,low_support
allOf_satisfied_branch_count_bucket,0,3914,17060,0.0721571,0.0969519,0.0716883,0.0988745,1.00654,0.980556,false
allOf_satisfied_branch_count_bucket,1,40,138,0.0724638,0.0942029,0.0716883,0.0988745,1.01082,0.952753,false
allOf_satisfied_branch_count_bucket,2,33,104,0.00961538,0.307692,0.0716883,0.0988745,0.134128,3.11195,false
allOf_satisfied_branch_count_bucket,3,7,20,0,0.6,0.0716883,0.0988745,0,6.0683,true
allOf_satisfied_branch_count_bucket,6+,1,3,0,0.666667,0.0716883,0.0988745,0,6.74256,true
anyOf_satisfied_branch_count_bucket,0,3886,16704,0.0725575,0.095965,0.0716883,0.0988745,1.01212,0.970575,false
anyOf_satisfied_branch_count_bucket,1,137,505,0.049505,0.166337,0.0716883,0.0988745,0.690558,1.6823,false
anyOf_satisfied_branch_count_bucket,2,36,99,0.0505051,0.242424,0.0716883,0.0988745,0.704509,2.45184,false
anyOf_satisfied_branch_count_bucket,3,2,3,0,0,0.0716883,0.0988745,0,0,true
anyOf_satisfied_branch_count_bucket,4-5,1,7,0,0.285714,0.0716883,0.0988745,0,2.88967,true
anyOf_satisfied_branch_count_bucket,6+,1,7,0,0,0.0716883,0.0988745,0,0,true
branches_conflicting_types,false,3952,17325,0.0716883,0.0988745,0.0716883,0.0988745,1,1,false
branches_have_enum,false,3821,16673,0.0732921,0.0956037,0.0716883,0.0988745,1.02237,0.96692,false
branches_have_enum,true,131,652,0.0306748,0.182515,0.0716883,0.0988745,0.427892,1.84593,false
branches_have_not,false,3936,17236,0.0717104,0.0983407,0.0716883,0.0988745,1.00031,0.994601,false
branches_have_not,true,16,89,0.0674157,0.202247,0.0716883,0.0988745,0.940401,2.04549,false
branches_have_properties,false,3730,16267,0.0746296,0.0912891,0.0716883,0.0988745,1.04103,0.923283,false
branches_have_properties,true,222,1058,0.026465,0.215501,0.0716883,0.0988745,0.369168,2.17954,false
branches_have_required,false,3747,16300,0.0723313,0.0941718,0.0716883,0.0988745,1.00897,0.952438,false
branches_have_required,true,205,1025,0.0614634,0.173659,0.0716883,0.0988745,0.85737,1.75635,false
branches_have_same_type,false,3559,15395,0.0759337,0.0863267,0.0716883,0.0988745,1.05922,0.873094,false
branches_have_same_type,true,393,1930,0.0378238,0.198964,0.0716883,0.0988745,0.527615,2.01229,false
branches_overlapping_properties,false,3859,16851,0.0729334,0.0956026,0.0716883,0.0988745,1.01737,0.966909,false
branches_overlapping_properties,true,93,474,0.0274262,0.21519,0.0716883,0.0988745,0.382575,2.17639,false
combinator_branch_count_bucket,0,3412,14674,0.0769388,0.085798,0.0716883,0.0988745,1.07324,0.867747,false
combinator_branch_count_bucket,1,31,180,0.05,0.0611111,0.0716883,0.0988745,0.697464,0.618068,false
combinator_branch_count_bucket,2,336,1579,0.0550982,0.152628,0.0716883,0.0988745,0.768579,1.54366,false
combinator_branch_count_bucket,3,79,406,0.0197044,0.194581,0.0716883,0.0988745,0.274863,1.96796,false
combinator_branch_count_bucket,4-5,42,212,0.0141509,0.226415,0.0716883,0.0988745,0.197395,2.28992,false
combinator_branch_count_bucket,6+,52,274,0.0218978,0.273723,0.0716883,0.0988745,0.305459,2.76839,false
combinator_type,absent,3412,14674,0.0769388,0.085798,0.0716883,0.0988745,1.07324,0.867747,false
combinator_type,allOf,45,197,0.0203046,0.279188,0.0716883,0.0988745,0.283234,2.82366,false
combinator_type,anyOf,171,936,0.0544872,0.115385,0.0716883,0.0988745,0.760057,1.16698,false
combinator_type,mixed,70,382,0.0287958,0.253927,0.0716883,0.0988745,0.401681,2.56817,false
combinator_type,oneOf,254,1136,0.0413732,0.170775,0.0716883,0.0988745,0.577127,1.72719,false
oneOf_satisfied_branch_count_bucket,0,3844,16526,0.0731574,0.0919158,0.0716883,0.0988745,1.02049,0.929621,false
oneOf_satisfied_branch_count_bucket,1,239,758,0.0329815,0.253298,0.0716883,0.0988745,0.460068,2.56182,false
oneOf_satisfied_branch_count_bucket,2,28,41,0.195122,0.0487805,0.0716883,0.0988745,2.72181,0.493358,false
