context_feature,context_value,support_schemas,support_tests,under_rate,over_rate,baseline_under_rate,baseline_over_rate,under_lift,over_lift,low_support
numeric_boundary_case,above_max,122,241,0.618257,0.00414938,0.0716883,0.0988745,8.62424,0.0419661,false
numeric_boundary_case,below_min,361,922,0.745119,0,0.0716883,0.0988745,10.3939,0,false
numeric_boundary_case,equal_max,11,16,0.0625,0.125,0.0716883,0.0988745,0.87183,1.26423,true
numeric_boundary_case,equal_min,135,317,0.0662461,0.113565,0.0716883,0.0988745,0.924084,1.14857,false
numeric_boundary_case,inside_range,328,910,0.0197802,0.0978022,0.0716883,0.0988745,0.27592,0.989155,false
numeric_boundary_case,multiple_ok,21,56,0.142857,0.0714286,0.0716883,0.0988745,1.99275,0.722417,false
numeric_boundary_case,multiple_violation,20,28,0.75,0,0.0716883,0.0988745,10.462,0,false
numeric_boundary_case,not_applicable,3554,14835,0.0227165,0.106572,0.0716883,0.0988745,0.316879,1.07785,false
numeric_has_default,false,3814,16556,0.0538173,0.101353,0.0716883,0.0988745,0.750713,1.02507,false
numeric_has_default,true,138,769,0.456437,0.0455137,0.0716883,0.0988745,6.36696,0.460318,false
numeric_has_min_and_max,false,3754,16161,0.055999,0.0992513,0.0716883,0.0988745,0.781146,1.00381,false
numeric_has_min_and_max,true,198,1164,0.289519,0.0936426,0.0716883,0.0988745,4.03858,0.947086,false
numeric_is_in_properties,false,3447,14430,0.0224532,0.105613,0.0716883,0.0988745,0.313206,1.06816,false
numeric_is_in_properties,true,505,2895,0.317098,0.065285,0.0716883,0.0988745,4.42329,0.660281,false
numeric_parent_keyword,$defs,16,102,0.254902,0.0784314,0.0716883,0.0988745,3.5557,0.793242,false
numeric_parent_keyword,absent,3399,14144,0.0197257,0.105416,0.0716883,0.0988745,0.275159,1.06616,false
numeric_parent_keyword,additionalProperties,1,11,0,0.181818,0.0716883,0.0988745,0,1.83888,true
numeric_parent_keyword,allOf,1,6,0,0.166667,0.0716883,0.0988745,0,1.68564,true
numeric_parent_keyword,anyOf,4,35,0.257143,0,0.0716883,0.0988745,3.58696,0,true
numeric_parent_keyword,items,10,59,0.152542,0.135593,0.0716883,0.0988745,2.12786,1.37137,false
numeric_parent_keyword,mixed,31,219,0.210046,0.0958904,0.0716883,0.0988745,2.92998,0.96982,false
numeric_parent_keyword,oneOf,3,11,0.0909091,0.272727,0.0716883,0.0988745,1.26812,2.75832,true
numeric_parent_keyword,other,3,12,0,0.416667,0.0716883,0.0988745,0,4.2141,true
numeric_parent_keyword,patternProperties,2,10,0,0.2,0.0716883,0.0988745,0,2.02277,true
numeric_parent_keyword,properties,475,2684,0.324888,0.0633383,0.0716883,0.0988745,4.53196,0.640593,false
numeric_parent_keyword,root,7,32,0,0.0625,0.0716883,0.0988745,0,0.632115,true
numeric_property_required,false,3648,15591,0.0425887,0.104291,0.0716883,0.0988745,0.594081,1.05478,false
numeric_property_required,true,304,1734,0.333333,0.050173,0.0716883,0.0988745,4.64976,0.507442,false
numeric_target_type,absent,3401,14157,0.0197076,0.10546,0.0716883,0.0988745,0.274906,1.06661,false
numeric_target_type,integer,286,1669,0.267825,0.074296,0.0716883,0.0988745,3.73597,0.751417,false
numeric_target_type,mixed,81,477,0.371069,0.0398323,0.0716883,0.0988745,5.17615,0.402857,false
numeric_target_type,number,184,1022,0.331703,0.0753425,0.0716883,0.0988745,4.62701,0.762001,false
