context_feature,context_value,support_schemas,support_tests,under_rate,over_rate,baseline_under_rate,baseline_over_rate,under_lift,over_lift,low_support
additionalProperties_value,absent,3843,16784,0.073999,0.0911582,0.0716883,0.0988745,1.03223,0.921959,false
additionalProperties_value,false,105,525,0,0.344762,0.0716883,0.0988745,0,3.48687,false
additionalProperties_value,schema,1,4,0,0.25,0.0716883,0.0988745,0,2.52846,true
additionalProperties_value,true,3,12,0,0.0833333,0.0716883,0.0988745,0,0.84282,true
instance_has_unmatched_keys,false,3671,14209,0.0852981,0.0818495,0.0716883,0.0988745,1.18985,0.827813,false
instance_has_unmatched_keys,true,1481,3116,0.00962773,0.176508,0.0716883,0.0988745,0.1343,1.78518,false
instance_matching_pattern_keys_count_bucket,0,3801,16614,0.072469,0.0897436,0.0716883,0.0988745,1.01089,0.907652,false
instance_matching_pattern_keys_count_bucket,1,41,96,0.03125,0.21875,0.0716883,0.0988745,0.435915,2.2124,false
instance_matching_pattern_keys_count_bucket,2,72,234,0.034188,0.376068,0.0716883,0.0988745,0.476898,3.80349,false
instance_matching_pattern_keys_count_bucket,3,61,176,0.0738636,0.272727,0.0716883,0.0988745,1.03034,2.75832,false
instance_matching_pattern_keys_count_bucket,4-5,42,96,0.0729167,0.354167,0.0716883,0.0988745,1.01713,3.58198,false
instance_matching_pattern_keys_count_bucket,6+,31,109,0.0642202,0.284404,0.0716883,0.0988745,0.895825,2.87641,false
patternProperties_regex_has_alternation,false,3928,17219,0.0721296,0.097102,0.0716883,0.0988745,1.00616,0.982074,false
patternProperties_regex_has_alternation,true,24,106,0,0.386792,0.0716883,0.0988745,0,3.91196,false
patternProperties_regex_has_anchor,false,3805,16629,0.073907,0.0897228,0.0716883,0.0988745,1.03095,0.907441,false
patternProperties_regex_has_anchor,true,147,696,0.0186782,0.317529,0.0716883,0.0988745,0.260547,3.21143,false
patternProperties_regex_has_charclass,false,3837,16786,0.0734541,0.0915644,0.0716883,0.0988745,1.02463,0.926067,false
patternProperties_regex_has_charclass,true,115,539,0.0166976,0.326531,0.0716883,0.0988745,0.232919,3.30248,false
patternProperties_regex_has_dotstar,false,3913,17155,0.0711163,0.0972311,0.0716883,0.0988745,0.992021,0.98338,false
patternProperties_regex_has_dotstar,true,39,170,0.129412,0.264706,0.0716883,0.0988745,1.8052,2.67719,false
patternProperties_with_properties,false,3910,17112,0.0725806,0.0961898,0.0716883,0.0988745,1.01245,0.972848,false
patternProperties_with_properties,true,42,213,0,0.314554,0.0716883,0.0988745,0,3.18135,false
