context_family,context_feature,context_value,support_schemas,schemas_with_under,schemas_with_over,schema_under_rate,schema_over_rate,baseline_schema_under_rate,baseline_schema_over_rate,schema_under_lift,schema_over_lift
combinators,allOf_satisfied_branch_count_bucket,0,3914,566,1083,0.144609,0.276699,0.144484,0.28163,1.00087,0.982493
combinators,allOf_satisfied_branch_count_bucket,1,40,7,26,0.175,0.65,0.144484,0.28163,1.21121,2.308
combinators,allOf_satisfied_branch_count_bucket,2,33,4,29,0.121212,0.878788,0.144484,0.28163,0.838932,3.12037
combinators,allOf_satisfied_branch_count_bucket,3,7,0,7,0,1,0.144484,0.28163,0,3.55076
combinators,allOf_satisfied_branch_count_bucket,6+,1,0,1,0,1,0.144484,0.28163,0,3.55076
combinators,allOf_satisfied_branch_ratio,0,3914,566,1083,0.144609,0.276699,0.144484,0.28163,1.00087,0.982493
combinators,allOf_satisfied_branch_ratio,0.333333,1,0,1,0,1,0.144484,0.28163,0,3.55076
combinators,allOf_satisfied_branch_ratio,0.5,22,3,19,0.136364,0.863636,0.144484,0.28163,0.943799,3.06657
combinators,allOf_satisfied_branch_ratio,0.666667,6,0,6,0,1,0.144484,0.28163,0,3.55076
combinators,allOf_satisfied_branch_ratio,1,52,8,37,0.153846,0.711538,0.144484,0.28163,1.0648,2.5265
combinators,anyOf_satisfied_branch_count,0,3886,565,1085,0.145394,0.279207,0.144484,0.28163,1.0063,0.9914
combinators,anyOf_satisfied_branch_count,1,137,17,53,0.124088,0.386861,0.144484,0.28163,0.858834,1.37365
combinators,anyOf_satisfied_branch_count,2,36,10,16,0.277778,0.444444,0.144484,0.28163,1.92255,1.57812
combinators,anyOf_satisfied_branch_count,3,2,0,0,0,0,0.144484,0.28163,0,0
combinators,anyOf_satisfied_branch_count,4,1,0,1,0,1,0.144484,0.28163,0,3.55076
combinators,anyOf_satisfied_branch_count,8,1,1,0,1,0,0.144484,0.28163,6.92119,0
combinators,anyOf_satisfied_branch_count_bucket,0,3886,565,1085,0.145394,0.279207,0.144484,0.28163,1.0063,0.9914
combinators,anyOf_satisfied_branch_count_bucket,1,137,17,53,0.124088,0.386861,0.144484,0.28163,0.858834,1.37365
combinators,anyOf_satisfied_branch_count_bucket,2,36,10,16,0.277778,0.444444,0.144484,0.28163,1.92255,1.57812
combinators,anyOf_satisfied_branch_count_bucket,3,2,0,0,0,0,0.144484,0.28163,0,0
combinators,anyOf_satisfied_branch_count_bucket,4-5,1,0,1,0,1,0.144484,0.28163,0,3.55076
combinators,anyOf_satisfied_branch_count_bucket,6+,1,1,0,1,0,0.144484,0.28163,6.92119,0
combinators,branches_conflicting_types,false,3952,571,1113,0.144484,0.28163,0.144484,0.28163,1,1
combinators,branches_have_enum,false,3821,556,1040,0.145512,0.27218,0.144484,0.28163,1.00711,0.966447
combinators,branches_have_enum,true,131,15,73,0.114504,0.557252,0.144484,0.28163,0.792503,1.97867
combinators,branches_have_not,false,3936,567,1100,0.144055,0.279472,0.144484,0.28163,0.997031,0.992337
combinators,branches_have_not,true,16,4,13,0.25,0.8125,0.144484,0.28163,1.7303,2.885
combinators,branches_have_properties,false,3730,556,978,0.149062,0.262198,0.144484,0.28163,1.03168,0.931005
combinators,branches_have_properties,true,222,15,135,0.0675676,0.608108,0.144484,0.28163,0.467648,2.15925
combinators,branches_have_required,false,3747,533,1007,0.142247,0.268748,0.144484,0.28163,0.98452,0.954262
combinators,branches_have_required,true,205,38,106,0.185366,0.517073,0.144484,0.28163,1.28295,1.836
combinators,branches_overlapping_properties,false,3859,564,1052,0.146152,0.272609,0.144484,0.28163,1.01154,0.967972
combinators,branches_overlapping_properties,true,93,7,61,0.0752688,0.655914,0.144484,0.28163,0.52095,2.329
combinators,combinator_branch_count_bucket,0,3412,502,842,0.147128,0.246776,0.144484,0.28163,1.0183,0.876244
combinators,combinator_branch_count_bucket,1,31,5,8,0.16129,0.258065,0.144484,0.28163,1.11632,0.916326
combinators,combinator_branch_count_bucket,2,336,52,143,0.154762,0.425595,0.144484,0.28163,1.07114,1.51119
combinators,combinator_branch_count_bucket,3,79,6,44,0.0759494,0.556962,0.144484,0.28163,0.52566,1.97764
combinators,combinator_branch_count_bucket,4-5,42,2,32,0.047619,0.761905,0.144484,0.28163,0.329581,2.70534
combinators,combinator_branch_count_bucket,6+,52,4,44,0.0769231,0.846154,0.144484,0.28163,0.532399,3.00449
combinators,combinator_type,absent,3412,502,842,0.147128,0.246776,0.144484,0.28163,1.0183,0.876244
combinators,combinator_type,allOf,45,3,34,0.0666667,0.755556,0.144484,0.28163,0.461413,2.6828
combinators,combinator_type,anyOf,171,24,65,0.140351,0.380117,0.144484,0.28163,0.971395,1.34971
combinators,combinator_type,mixed,70,7,58,0.1,0.828571,0.144484,0.28163,0.692119,2.94206
